conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
diane| Oh well Darren doesn t like to drive So maybe we find a place on his side of river| [person:darren m 2-2][person:we g(diane:ann) 10-10][location:place s 13-13][person:darren m 15-15]
ann| That would probably be a good idea|
diane| Ok I need suggestions then please| [person:diane f 1-1]
ann| How about the new Chinese restaurant Its 1 block from the bridge| [location:restaurant s 5-5]
diane| Sounds perfect to me I will call them tonight| [person:diane f 3-3][person:diane f 4-4][person:them g(marie:darren:bradley) 7-7]

conv:people_2019081902_56:aug_0:chat_0:chataug_0| keith pedro| [person:keith m 0-0][person:pedro m 1-1]
keith| Hey Pedro you all set for going to Martin s today| [person:pedro m 1-1][person:pedro m 2-2][person:martin m 8-8]
pedro| Yeah man Just wondering what we should bring any ideas| [person:we g(keith:pedro) 5-5]
keith| I was thinking some expensive wine would do the trick| [person:keith m 0-0]
pedro| I had heard they quit drinking a few years back| [person:pedro m 0-0][person:they g(martin) 3-3]
keith| What a pity How about some icecream it will do well with whatever they serve for desert| [person:they g(martin) 13-13]
pedro| You are forgetting that Mr Martin in diabetic| [person:keith m 0-0][person:martin m 5-5]
keith| This is so hard it sucks that we don t know them well enough Perhaps we should ask Gregory he knows them well| [person:we g(keith:pedro) 7-7][person:they g(martin) 11-11][person:we g(keith:pedro) 15-15][person:gregory m 18-18][person:gregory m 19-19][person:they g(martin) 21-21]
pedro| Yeah he was the best man at their wedding he would know better for sure| [person:gregory m 1-1][person:they g(martin) 7-7][person:gregory m 9-9]
keith| Sounds good tell me what he comes up with| [person:keith m 3-3][person:gregory m 5-5]
pedro| Yeah man I will just get whatever he says I will see you at Martin s place then| [person:pedro m 2-2][person:gregory m 7-7][person:pedro m 9-9][person:keith m 12-12][person:martin m 14-14][location:place s 16-16]

conv:people_2019081902_57:aug_0:chat_0:chataug_0| julie steven| [person:julie f 0-0][person:steven m 1-1]
steven| Julie Remember we talked about inviting the Andersons and Bryants over to our place for dinner last week| [person:julie f 0-0][person:we g(steven:julie) 2-2][person:andersons g() 7-7][person:bryants g() 9-9][person:we g(steven:julie) 12-12][location:place s 13-13]
julie| Yes I do What is the matter| [person:julie f 1-1]
steven| When do you think we should invite them When are you free| [person:julie f 2-2][person:we g(steven:julie) 4-4][person:them g() 7-7][person:julie f 10-10]
julie| I believe that they mentioned that they were free on Fridays and I am also free on that day| [person:julie f 0-0][person:them g() 3-3][person:them g() 6-6][person:julie f 12-12]
steven| Hey me too Shall we invite them over on Friday then| [person:steven m 1-1][person:we g(steven:julie) 4-4][person:them g() 6-6]
julie| That sounds great Who should send them the invitation then| [person:them g() 6-6]
steven| How about I call up the Andersons since I am closer to them and you call up the Bryants| [person:steven m 2-2][person:andersons g() 6-6][person:steven m 8-8][person:andersons g() 12-12][person:julie f 14-14][person:bryants g() 18-18]
julie| Sure thing I will call them after my work then| [person:julie f 2-2][person:bryants g() 5-5][person:julie f 7-7]
steven| That is great Thank you so much love you| [person:julie f 4-4][person:julie f 8-8]
julie| Love you too I have to get back to work now then See you tonight| [person:steven m 1-1][person:julie f 3-3][person:steven m 13-13]

conv:people_2019081902_58:aug_0:chat_0:chataug_0| dennis pedro| [person:dennis m 0-0][person:pedro m 1-1]
pedro| Have you decided if you want to take the Smiths up on their offer for a movie at their house| [person:dennis m 1-1][person:dennis m 4-4][person:smiths g() 9-9][person:smiths g() 12-12][person:smiths g() 18-18]
dennis| Sure why not It sounds like fun Tom said he wanted to go too| [person:tom m 7-7][person:tom m 9-9]
pedro| Excellent He s always fun to hang out with We should probably bring something with us right| [person:tom m 1-1][person:we g(pedro:dennis) 9-9][person:we g(pedro:dennis) 15-15]
dennis| I think that would be polite yeah I never know what to bring for stuff like this though| [person:dennis m 0-0][person:dennis m 7-7]
pedro| Neither do I It s kind of hard to predict what the Smiths would like you know| [person:pedro m 2-2][person:smiths g() 12-12][person:dennis m 15-15]
dennis| They re not really beer drinkers and they don t eat a lot of snacks so I don t know| [person:smiths g() 0-0][person:smiths g() 7-7][person:dennis m 16-16]
pedro| I know we have to bring something though It s just common courtesy| [person:pedro m 0-0][person:we g(pedro:dennis) 2-2]
dennis| Yeah we have to come up with something And it s getting late so we don t have a lot of time| [person:we g(pedro:dennis) 1-1][person:we g(pedro:dennis) 14-14]
pedro| You know what you should call Tom since he knows them better than we do He d probably have an idea or two| [person:dennis m 0-0][person:dennis m 3-3][person:tom m 6-6][person:tom m 8-8][person:smiths g() 10-10][person:we g(pedro:dennis) 13-13][person:tom m 15-15]
dennis| Great idea I ll give him a call right now and see| [person:dennis m 2-2][person:tom m 5-5]

conv:people_2019081902_59:aug_0:chat_0:chataug_0| angela jacqueline| [person:angela f 0-0][person:jacqueline f 1-1]
angela| Hi Jaqueline Isn t this time of year just gorgeous One of my favorite things to do is go for a picnic There s so many beautiful places in this area| [person:angela f 12-12][location:places g() 27-27][location:area s 30-30]
jacqueline| Hey Angela Yes I do love this time of year When are you thinking of going on a picnic| [person:angela f 1-1][person:jacqueline f 3-3][person:angela f 12-12]
angela| I would like to go some time next month Would you be interested in coming| [person:angela f 0-0][person:jacqueline f 10-10]
jacqueline| Next month is oone of the busiest times at work And I have an especially large project coming up that will keep me extremely busy| [person:jacqueline f 11-11][person:jacqueline f 22-22]
angela| You don t have any time just to take an afternoon to relax at a beautiful park| [person:jacqueline f 0-0][location:park s 16-16]
jacqueline| I seriously wish I could come but with the kids and their activties on top of my work it just isn t feasible| [person:jacqueline f 0-0][person:jacqueline f 3-3][person:kids g() 11-11][person:jacqueline f 16-16]
angela| I wonder who else might be interested in going on a picnic| [person:angela f 0-0]
jacqueline| My friend Cynthia loves picnics I bet she would go with you do you want her number| [person:jacqueline f 0-0][person:cynthia f 1-1][person:cynthia f 2-2][person:jacqueline f 5-5][person:cynthia f 7-7][person:angela f 11-11][person:angela f 13-13][person:cynthia f 15-15]
angela| Yea that would be great I m sure if she is a friend of yours I will like her company| [person:angela f 5-5][person:cynthia f 9-9][person:cynthia f 12-12][person:jacqueline f 14-14][person:angela f 15-15][person:cynthia f 18-18]
jacqueline| Her number is 00000000 Give her a call Enjoy Talk to you later| [person:cynthia f 0-0][person:cynthia f 5-5][person:angela f 11-11]

conv:people_2019081902_61:aug_0:chat_0:chataug_0| diane jordan| [person:diane f 0-0][person:jordan m 1-1]
jordan| Hi Diane When could we visit our work friends| [person:diane f 1-1][person:we g(jordan:diane) 4-4][person:we g(jordan:diane) 6-6][person:friends g() 8-8]
diane| Hi Jordan We could go to Evan and Sophia in July| [person:jordan m 1-1][person:we g(jordan:diane) 2-2][person:evan m 6-6][person:sophia f 8-8]
jordan| Yes it would be perfect in July Do you prefer in the first days of the month or in the middle of the month| [person:diane f 8-8]
diane| Sophia will be on vacation in the first days of the month so better at that time| [person:sophia f 0-0]
jordan| It s OK for me What could we bring to our friends| [person:jordan m 4-4][person:we g(jordan:diane) 7-7][person:we g(jordan:diane) 10-10][person:friends g(evan:sophia) 11-11]
diane| I thought we could buy something for their new house What do you say| [person:diane f 0-0][person:we g(jordan:diane) 2-2][person:friends g(evan:sophia) 7-7][location:house s 9-9][person:jordan m 12-12]
jordan| It seems like an excellent idea Something for the garden or for the kitchen| [location:kitchen s 13-13]
diane| I saw some very nice objects for the garden in a shop in my neighborhood| [person:diane f 0-0][location:shop s 11-11][person:diane f 13-13]
jordan| I really like garden furniture Can I come with you to choose something| [person:jordan m 0-0][person:jordan m 6-6][person:diane f 9-9]
diane| Of course This will make it easier to decide Are we going there tomorrow afternoon| [person:we g(jordan:diane) 10-10][location:shop s 12-12]
jordan| Why not See you tomorrow| [person:diane f 3-3]

conv:people_2019081902_62:aug_0:chat_0:chataug_0| roger william| [person:roger m 0-0][person:william m 1-1]
william| So are you ready for the big game| [person:roger m 2-2]
roger| Yessss Getting ready to get off work here in a bit| [location:here u 7-7]
roger| Remember to bring your own beer| [person:william m 3-3]
william| Right on I ll stop by the pizza place and get us a couple of supremes| [person:william m 2-2][location:place s 8-8][person:us g(william:roger) 11-11]
roger| Sounds great I really need to start watching my weight I might just make a salad but you do you| [person:roger m 2-2][person:roger m 8-8][person:roger m 10-10][person:william m 17-17][person:william m 19-19]
william| Knowing Doug you ll be in good company That guy can lift a cow And he eats like one too| [person:doug m 1-1][person:roger m 2-2][person:doug m 15-15]
william| Doug eats a lot| [person:doug m 0-0]
roger| Oh I got it| [person:roger m 1-1]
roger| I m glad you decided to invite Billy too He s going through some hard times| [person:roger m 0-0][person:william m 3-3][person:billy m 7-7][person:billy m 9-9]
william| Yeah he is We ve gotta make sure and cheer him up| [person:billy m 1-1][person:us g(william:roger) 3-3][person:billy m 10-10]
roger| Women just are not his specialty| [person:billy m 4-4]
william| I get that| [person:william m 0-0]
william| So my house or yours| [person:william m 1-1][location:house s 2-2][person:roger m 4-4]
roger| I think I d rather go to yours this time My wife s not in a great mood| [person:roger m 0-0][person:roger m 2-2][person:william m 7-7][person:roger m 10-10][person:wife f 11-11]
william| Gotcha No problem bro|
roger| Do we want pizza from Pizza Hut or Dominoes| [person:us g(william:roger) 1-1][location:pizza_hut s 5-6][location:dominoes s 8-8]
william| I think the Hut is closer to work for me| [person:william m 0-0][location:pizza_hut s 3-3][person:william m 9-9]
roger| Okay sounds great See you there| [person:william m 4-4][location:pizza_hut s 5-5]
william| Over and out|

conv:people_2019081902_63:aug_0:chat_0:chataug_0| carl harry| [person:carl m 0-0][person:harry m 1-1]
carl| There s an upcoming Yankee game that I think you me Eduardo and Josh should go to| [person:carl m 7-7][person:harry m 9-9][person:carl m 10-10][person:eduardo m 11-11][person:josh m 13-13]
harry| Bro there s no way You know they both like the LA Dodgers| [person:carl m 5-5][person:they g(eduardo:josh) 7-7]
carl| The LA Dodgers suck why would they want to see them They aren t even from LA| [person:they g(eduardo:josh) 6-6][person:them g() 10-10][person:they g(eduardo:josh) 11-11]
harry| And you re not originally from New York lol You can t ask that question| [person:carl m 1-1][location:new_york s 6-7][person:carl m 9-9]
carl| When you think of baseball you think Yankee s regardless of where you re from They are America s favorite team| [person:harry m 1-1][person:harry m 5-5][person:harry m 12-12][person:they g() 15-15][location:america s 17-17]
harry| Ok but good luck trying to convince them| [person:they g(eduardo:josh) 7-7]
carl| Ok how about this I ll check the schedule to see when the LA Dodgers are playing at Yankee Stadium| [person:carl m 4-4][location:stadium s 19-19]
harry| Now that sounds like a plan|
carl| In 1 month on a Thursday night the LA Dodgers are coming to Yankee Stadium Do you think you Eduardo and Josh will go| [location:stadium s 14-14][person:harry m 16-16][person:harry m 18-18][person:eduardo m 19-19][person:josh m 21-21]
harry| Well definitely count me in| [person:harry m 3-3]
harry| I m sure they d like to go as well the LOVE the LA Dodger| [person:harry m 0-0][person:they g(eduardo:josh) 3-3]
carl| Sweet thanks It will be a lot of fun|

conv:people_2019081902_64:aug_0:chat_0:chataug_0| ivan keith| [person:ivan m 0-0][person:keith m 1-1]
ivan| Hey Keith How are you buddy| [person:keith m 1-1][person:ivan m 4-4][person:ivan m 5-5]
keith| I am good What s the matter Ivan| [person:keith m 0-0][person:ivan m 7-7]
ivan| I need one favor from you My friends are visiting Los Vegas and I need your help| [person:ivan m 0-0][person:keith m 5-5][person:ivan m 6-6][person:friends g() 7-7][location:los_vegas s 10-11][person:ivan m 13-13][person:keith m 15-15]
keith| That s nice Who are them Will I know them| [person:them g() 5-5][person:keith m 7-7][person:them g() 9-9]
ivan| Yes you already knew them They are Lawrence and Josh| [person:keith m 1-1][person:them g() 4-4][person:they g() 5-5][person:lawrence m 7-7][person:josh m 9-9]
keith| Oh Yes I know them I can definitely help them When are they going to visit here| [person:keith m 2-2][person:them g(lawrence:josh) 4-4][person:keith m 5-5][person:them g(lawrence:josh) 9-9][person:they g(lawrence:josh) 12-12][location:los_vegas s 16-16]
ivan| I don t know the exact date but I need you to take them around Las Vegas| [person:ivan m 0-0][person:ivan m 8-8][person:keith m 10-10][person:them g(lawrence:josh) 13-13][location:los_vegas s 15-16]
