conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
conv:people_1011_1528_115:aug_0:chat_0:chataug_0| harry ivan| [person:harry m 0-0][person:ivan m 1-1]
harry| Ivan we need to start talking about our next basketball game we need two more players| [person:ivan m 0-0][person:we g(harry:ivan) 1-1][person:our g(harry:ivan) 7-7][person:we g(harry:ivan) 11-11]
ivan| yeah I know I was thinking about Robert and Wilson what do you think| [person:ivan m 1-1][person:ivan m 3-3][person:robert m 7-7][person:wilson m 9-9][person:harry m 12-12]
harry| I don t think it s a good idea| [person:harry m 0-0]
ivan| why|
harry| Because of Robert s poor shooting skills and Wilson s poor defence| [person:robert m 2-2][person:wilson m 8-8]
ivan| That is true but I think we can put Robert on the defence position and Wilson will be our shooter| [person:ivan m 4-4][person:we g(harry:ivan) 6-6][person:robert m 9-9][person:wilson m 15-15][person:our g(harry:ivan) 18-18]
harry| It can work out at least it s worth a try|
ivan| I m glad you appreciated my suggestion let s see what happens| [person:ivan m 0-0][person:harry m 3-3][person:ivan m 5-5]
ivan| Can you inform them about our decision and see if they re fine with it| [person:harry m 1-1][person:them g(robert:wilson) 3-3][person:our g(harry:ivan) 5-5][person:they g(robert:wilson) 10-10]
harry| Of course I can do that I think they will be 100 positive about it| [person:harry m 2-2][person:harry m 6-6][person:they g(robert:wilson) 8-8]
ivan| i m sure they will Let me know| [person:ivan m 0-0][person:they g(robert:wilson) 3-3][person:ivan m 6-6]

conv:people_1011_1528_119:aug_0:chat_0:chataug_0| lilly mary| [person:lilly f 0-0][person:mary f 1-1]
mary| Hey how about a Netflix and chill night at our apartment| [person:our g(mary:lilly) 9-9][location:apartment s 10-10]
lilly| Sounds like a plan What should we watch| [person:we g(mary:lilly) 6-6]
mary| How about binge watching The Office|
lilly| Yeah That s a very good idea I think it ll be better if we watch it with friends| [person:lilly f 7-7][person:we g(mary:lilly) 14-14][person:friends g() 18-18]
mary| Who among our friends should we invite| [person:our g(mary:lilly) 2-2][person:friends g() 3-3][person:we g(mary:lilly) 5-5]
lilly| Bonnie loves The Office| [person:bonnie f 0-0]
mary| So does Christine| [person:christine f 2-2]
lilly| Tell you what Let s invite them both| [person:mary f 1-1][person:them g(bonnie:christine) 6-6]
mary| Yes lets since they love it as much as we do| [person:they g(bonnie:christine) 3-3][person:we g(mary:lilly) 9-9]
lilly| Woo hoo and we should also do a Taco bar I think Bonnie will be very excited about that| [person:we g(mary:lilly) 3-3][location:bar s 9-9][person:lilly f 10-10][person:bonnie f 12-12]
mary| That s it a great idea but she is working a 12 hour shift All of us should also help her| [person:bonnie f 7-7][person:us g(mary:lilly:christine) 16-16][person:bonnie f 20-20]
lilly| You re absolutely right| [person:mary f 0-0]

conv:people_1011_1528_120:aug_0:chat_0:chataug_0| oliver phillip| [person:oliver m 0-0][person:phillip m 1-1]
oliver| Hi Philip My birthday is coming up in a week Would you like to have come to my bday party| [person:phillip m 1-1][person:oliver m 2-2][person:phillip m 11-11][person:oliver m 17-17][location:party s 19-19]
phillip| Sure Where is it going be Who s gonna be there| [location:party s 3-3][location:party s 10-10]
oliver| I m just inviting some of my closest school friends It ll be after school next Friday I am also celebrating this weekend if anyone wants to join me| [person:oliver m 0-0][person:oliver m 6-6][location:school s 8-8][person:friends g() 9-9][location:party s 10-10][person:oliver m 17-17][person:anyone u 24-24][person:oliver m 28-28]
phillip| Happy Birthday That s cool|
oliver| Invite some of your friends too| [person:phillip m 3-3][person:friends g() 4-4]
phillip| There s Sarah and Sharon You might remember them from my Christmas party| [person:sarah f 2-2][person:sharon f 4-4][person:oliver m 5-5][person:them g(sarah:sharon) 8-8][person:phillip m 10-10][location:christmas_party s 11-12]
oliver| Are those the twins They are blond right| [person:twins g(sarah:sharon) 3-3][person:they g(sarah:sharon) 4-4]
phillip| That s right They are in your grade so you might have had classes with them| [person:they g(sarah:sharon) 3-3][person:oliver m 6-6][person:oliver m 9-9][person:them g(sarah:sharon) 15-15]
oliver| I think Sarah was in my English class| [person:oliver m 0-0][person:sarah f 2-2][person:oliver m 5-5]
phillip| Cool They are really great people Super chill| [person:they g(sarah:sharon) 1-1]
oliver| Yeah Sure bring them to the party too I would love to celebrate with them too Hope you all can make it| [person:them g(sarah:sharon) 3-3][location:party s 6-6][person:oliver m 8-8][person:them g(sarah:sharon) 14-14][person:phillip m 17-17]

conv:people_1011_1528_121:aug_0:chat_0:chataug_0| bruce cynthia| [person:bruce m 0-0][person:cynthia f 1-1]
bruce| Cynthia did you come to a conclusion about the dinner place| [person:cynthia f 0-0][person:cynthia f 2-2][location:place s 10-10]
cynthia| Nope Still I am thinking Do you have any favorite restaurant in your mind| [person:cynthia f 2-2][person:bruce m 6-6][location:restaurant s 10-10][person:bruce m 12-12]
bruce| I don t have in particular What about a plan to discuss this with your friends Betty and Tanya| [person:bruce m 0-0][person:cynthia f 14-14][person:friends g() 15-15][person:betty f 16-16][person:tanya f 18-18]
cynthia| Yes that s okay I can ask them Do you have any pending work to complete now If so make it faster so that we can go for the dinner| [person:cynthia f 4-4][person:them g(betty:tanya) 7-7][person:bruce m 9-9][person:we g(bruce:cynthia) 24-24]
bruce| No I can t complete it before the dinner time So we first go to the dinner and then I return to complete my work| [person:bruce m 1-1][person:we g(bruce:cynthia) 11-11][person:bruce m 19-19][person:bruce m 23-23]
cynthia| Okay After we finished our dinner I will drop you at home and you can continue your work| [person:we g(bruce:cynthia) 2-2][person:our g(bruce:cynthia) 4-4][person:cynthia f 6-6][person:bruce m 9-9][location:home s 11-11][person:bruce m 13-13][person:bruce m 16-16]
bruce| That will be helpful to me What is your plan after dinner| [person:bruce m 5-5][person:cynthia f 8-8]
cynthia| Me and my friends are going to a Movie after dinner| [person:cynthia f 0-0][person:cynthia f 2-2][person:friends g(betty:tanya) 3-3][location:movie s 8-8]
bruce| It was a nice idea Now ready for the dinner its getting late already|
cynthia| Okay I will discuss with my friends about the restaurant and come back to you| [person:cynthia f 1-1][person:cynthia f 5-5][person:friends g(betty:tanya) 6-6][location:restaurant s 9-9][person:bruce m 14-14]
bruce| Okay I will wait| [person:bruce m 1-1]

conv:people_1011_1528_124:aug_0:chat_0:chataug_0| hannah jacky| [person:hannah f 0-0][person:jacky f 1-1]
jacky| Hi how are you doing| [person:hannah f 3-3]
hannah| I m good How about you| [person:hannah f 0-0][person:jacky f 5-5]
jacky| Good too Thanks|
jacky| What time will go for grocery| [location:grocery s 5-5]
hannah| We can go by 5pm today| [person:we g(jacky:hannah) 0-0]
jacky| What are all the grocery items you are buying| [person:hannah f 6-6]
jacky| I have listed all the items in the paper Please confirm what is your plan| [person:jacky f 0-0][person:hannah f 13-13]
hannah| Ok I ve also written in the paper for my side| [person:hannah f 1-1][person:hannah f 9-9]
hannah| So we will buy all the grocery first and will decide for dinner| [person:we g(jacky:hannah) 1-1]
jacky| Sure I agree| [person:jacky f 1-1]
hannah| I will prepare veg biryani tonight Ok for you| [person:hannah f 0-0][person:jacky f 8-8]
jacky| I m ok with veg biryani| [person:jacky f 0-0]
hannah| Thank you cheers| [person:jacky f 1-1]
jacky| Cheers bye|

conv:people_1011_1528_125:aug_0:chat_0:chataug_0| claire jaime| [person:claire f 0-0][person:jaime m 1-1]
claire| Hey Jamie how are you doing| [person:jaime m 1-1][person:jaime m 4-4]
jaime| Hello Claire I am doing fine thanks for asking so what s up| [person:claire f 1-1][person:jaime m 2-2]
claire| Did you see out new neighbor Alice unpacking the car| [person:jaime m 1-1][person:alice f 5-5][person:alice f 6-6]
jaime| Indeed I saw her saw she is our new neighbor| [person:jaime m 1-1][person:alice f 3-3][person:alice f 5-5][person:our g(claire:jaime) 7-7][person:alice f 9-9]
claire| So do you think we should get to know her| [person:jaime m 2-2][person:we g(claire:jaime) 4-4][person:alice f 9-9]
jaime| Sure After all we should know who our neighbor is| [person:we g(claire:jaime) 3-3][person:our g(claire:jaime) 7-7][person:alice f 8-8]
claire| So what do you think we invite her over for dinner| [person:jaime m 3-3][person:we g(claire:jaime) 5-5][person:alice f 7-7]
jaime| I think it would be nice to get to know her| [person:jaime m 0-0][person:alice f 10-10]
claire| A dinner should be a nice occasion to make her feel welcomed too| [person:alice f 9-9]
jaime| I agree and at the same time we present ourselves to her and she to us| [person:jaime m 0-0][person:we g(claire:jaime) 7-7][person:alice f 11-11][person:alice f 13-13][person:us g(claire:jaime) 15-15]
claire| Alright I will be inviting her| [person:claire f 1-1][person:alice f 5-5]

conv:people_1011_1528_127:aug_0:chat_0:chataug_0| grace joshua| [person:grace f 0-0][person:joshua m 1-1]
grace| I m excited about taking our first family vacation| [person:grace f 0-0][person:our g(grace:joshua) 5-5][person:family g(grace:joshua) 7-7][location:vacation s 8-8]
joshua| Yeah me too I want to make it really special for the twins| [person:joshua m 1-1][person:joshua m 3-3][location:vacation s 7-7][person:twins g() 12-12]
grace| So where should we go| [person:we g(grace:joshua) 3-3]
joshua| What about 6 Flags Lots of run rides and stuff| [location:6_flags s 2-3]
grace| That wouldn t be good for Becky She s scared of roller coasters and Josh would make her feel bad if she didn t go with him How about a water park| [person:becky f 6-6][person:becky f 7-7][person:josh m 14-14][person:becky f 17-17][person:becky f 21-21][person:josh m 26-26][location:water_park s 30-31]
joshua| That wont work Josh doesn t like spending a lot of time in the water it creeps him out when his fingers get all wrinkly| [person:josh m 3-3][person:josh m 17-17][person:josh m 20-20]
grace| How can twins be so different It would be so much easier if they like the same kinds of things| [person:twins g(becky:josh) 2-2][person:they g(becky:josh) 13-13]
joshua| They like some of the same things we just need to think of something they both like that we could do on a family vacation| [person:they g(becky:josh) 0-0][person:we g(grace:joshua) 7-7][person:they g(becky:josh) 14-14][person:we g(grace:joshua) 18-18][person:family g(grace:joshua:becky:josh) 23-23]
grace| What about Sea World| [location:sea_world s 2-3]
joshua| No remember that movie about how they treat the whales Both kids were upset about that| [person:they g() 6-6]
grace| Oh yeah I forgot| [person:grace f 2-2]
joshua| They are both big Harry Potter fans is there anything around that has a magic theme| [person:they g(becky:josh) 0-0][person:harry m 4-4]
grace| I think Universal Studios has a whole Harry Potter section That would be fun for all of us| [person:grace f 0-0][location:universal_studios s 2-3][person:harry m 7-7][person:us g(grace:joshua:becky:josh) 17-17]
joshua| Sound s perfect Let s plan on that|

conv:people_1011_1528_130:aug_0:chat_0:chataug_0| chloe scott| [person:chloe f 0-0][person:scott m 1-1]
chloe| Well your sister will be here next week what should I stock up on| [person:scott m 1-1][person:sister f 2-2][location:here u 5-5][person:chloe f 10-10]
scott| I don t know I don t even remember what she liked when we were kids| [person:scott m 0-0][person:scott m 4-4][person:sister f 10-10][person:we g(scott:sister) 13-13]
chloe| You ve got to have some idea you ve had holiday dinners with her and gone out to eat with her a few times| [person:scott m 0-0][person:scott m 7-7][person:sister f 13-13][person:sister f 20-20]
scott| She ate holiday stuff and how am I supposed to remember what she orders| [person:sister f 0-0][person:scott m 7-7][person:sister f 12-12]
chloe| Is she on any kind of special diet by choice or necessity| [person:sister f 1-1]
scott| I don t think she s a diabetic or a vegetarian if that s what you mean| [person:scott m 0-0][person:sister f 4-4][person:chloe f 15-15]
chloe| Okay is here anything she hates| [location:here u 2-2][person:sister f 4-4]
scott| Spinach peas and fish unless its fish sticks|
chloe| That helps a little I guess I ll just stock up on typical things like chips and soda maybe some fruit what do you think| [person:chloe f 4-4][person:chloe f 6-6][person:scott m 23-23]
scott| Oh I remember she likes soup and ice cream get those too I have to go now bye| [person:scott m 1-1][person:sister f 3-3][person:scott m 12-12]
