conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
john| Hi Andrea How much are you done with| [person:andrea f 1-1][person:andrea f 5-5]
andrea| I went through the notes 25 times yet all the concepts are very confusing| [person:andrea f 0-0]
john| The same goes for me| [person:john m 4-4]
andrea| I am worried about the midterm I do not want to fail| [person:andrea f 0-0][person:andrea f 6-6]
john| Let s email Dr Smith for guidance| [person:smith m 4-4]
andrea| That is a good idea but do you think he will respond| [person:john m 7-7][person:smith m 9-9]
john| I think it ll be very late by the time he responds We should email TA Jake also to be on the safer side| [person:john m 0-0][person:smith m 10-10][person:we g(john:andrea) 12-12][person:jake m 16-16]
andrea| You are right you know him well He will definitely respond to you| [person:john m 0-0][person:john m 3-3][person:jake m 5-5][person:jake m 7-7][person:john m 12-12]
john| Alright I emailed both of them| [person:john m 1-1][person:them g(smith:jake) 5-5]
andrea| Let s hope they reply soon| [person:them g(smith:jake) 3-3]

conv:chats_1126_165:aug_0:chat_0:chataug_0| duncan emily| [person:duncan m 0-0][person:emily f 1-1]
emily| Hey Duncan we need to discuss about our class project| [person:duncan m 1-1][person:we g(emily:duncan) 2-2][person:we g(emily:duncan) 7-7]
duncan| Yeah I was thinking of telling you about that| [person:duncan m 1-1][person:emily f 6-6]
emily| We should start working on the project as soon as possible| [person:we g(emily:duncan) 0-0]
duncan| But we should first figure out a way to distribute the work among the team| [person:we g(emily:duncan) 1-1][person:team g(emily:duncan) 14-14]
emily| You are right but we should speak to Edward and Joan before deciding anything| [person:duncan m 0-0][person:we g(emily:duncan) 4-4][person:edward m 8-8][person:joan f 10-10]
duncan| Okay that s fine I will talk to Edward and you talk to Joan about this| [person:duncan m 4-4][person:edward m 8-8][person:emily f 10-10][person:joan f 13-13]
emily| Okay once we talk to them we can distribute the work and start working| [person:we g(emily:duncan) 2-2][person:them g(edward:joan) 5-5][person:we g(emily:duncan) 6-6]
duncan| Yeah I will get back to you once I finish talking to Edward| [person:duncan m 1-1][person:emily f 6-6][person:duncan m 8-8][person:edward m 12-12]
emily| Alright we will see what they have to say and then decide on the project| [person:we g(emily:duncan) 1-1][person:them g(edward:joan) 5-5]
duncan| Okay See you in the classroom tomorrow| [person:emily f 2-2]

conv:chats_1126_166:aug_0:chat_0:chataug_0| bradley troy| [person:bradley m 0-0][person:troy m 1-1]
bradley| Hi Troy How do you feel about coach Pedro s decision| [person:troy m 1-1][person:troy m 4-4][person:pedro m 8-8]
troy| Hi I can t believe that he made us second string| [person:troy m 1-1][person:pedro m 6-6][person:us g(bradley:troy) 8-8]
bradley| Exactly It is unbelievable We did good in the practice match| [person:us g(bradley:troy) 4-4]
troy| I don t understand why he decided to do this| [person:troy m 0-0][person:pedro m 5-5]
bradley| I think we should confront him about it| [person:troy m 0-0][person:us g(bradley:troy) 2-2][person:pedro m 5-5]
troy| Do you think it is a good idea| [person:bradley m 1-1]
bradley| You are right We don t want him getting angry| [person:troy m 0-0][person:us g(bradley:troy) 3-3][person:pedro m 7-7]
troy| We will wait and see if he puts us on the team soon| [person:us g(bradley:troy) 0-0][person:pedro m 6-6][person:us g(bradley:troy) 8-8][person:team g() 11-11]
bradley| Okay This time we will do better at practice| [person:us g(bradley:troy) 3-3]
troy| Alright see you at the practice tomorrow| [person:bradley m 2-2]

conv:chats_1126_167:aug_0:chat_0:chataug_0| barry bobby| [person:barry m 0-0][person:bobby m 1-1]
bobby| Hi Barry I want to purchase tires for my truck can you suggest me in doing that| [person:barry m 1-1][person:bobby m 2-2][person:bobby m 8-8][person:barry m 11-11][person:bobby m 13-13]
barry| Hi Bobby Yeah I can suggest you What about your Sales Associate Alissa| [person:bobby m 1-1][person:barry m 3-3][person:bobby m 6-6][person:bobby m 9-9][person:alissa f 12-12]
bobby| She offered me a great price and also the quality is not so good| [person:alissa f 0-0][person:bobby m 2-2]
barry| Okay I know an associate April She gave me good deals last time| [person:barry m 1-1][person:april f 5-5][person:april f 6-6][person:barry m 8-8]
bobby| That s cool Can you give an intro for me so I can purchase in the reasonable price| [person:barry m 4-4][person:bobby m 9-9][person:bobby m 11-11]
barry| That s not easy We have to book an appointment with April| [person:bobby_and_barry g(bobby:barry) 4-4][person:april f 11-11]
bobby| Is it so How can we book Let us check online| [person:bobby_and_barry g(bobby:barry) 5-5][person:bobby_and_barry g(bobby:barry) 8-8]
barry| Yes Bobby I will check it in the online and let you know| [person:bobby m 1-1][person:barry m 2-2][person:bobby m 11-11]
bobby| Okay Then I will be waiting for your reply| [person:bobby m 2-2][person:barry m 7-7]
barry| Okay I will inform you by the end of the day See you| [person:barry m 1-1][person:bobby m 4-4][person:bobby m 12-12]

conv:chats_1126_168:aug_0:chat_0:chataug_0| mary rusell| [person:mary f 0-0][person:rusell m 1-1]
rusell| Mary I ve heard that Belle is looking for a bike| [person:mary f 0-0][person:rusell m 1-1][person:belle f 5-5]
mary| Yes Rusell it is true that Belle is looking for a bike| [person:rusell m 1-1][person:belle f 6-6]
rusell| I recently found an advertisement for a bike that suites Belle s requirements| [person:rusell m 0-0][person:belle f 10-10]
mary| Don t you think the price is too high| [person:rusell m 2-2]
rusell| We need to make sure that she really wants the bike| [person:we g(rusell:mary) 0-0][person:belle f 6-6]
mary| I don t have Belle s number to contact her| [person:mary f 0-0][person:belle f 4-4][person:belle f 9-9]
rusell| Neither do I have her contact number| [person:rusell m 2-2][person:belle f 4-4]
mary| I guess Danielle might have Belle s number| [person:mary f 0-0][person:danielle f 2-2][person:belle f 5-5]
rusell| I ll ask Danielle if it is the exact bike Belle wanted and is the price okay for her| [person:rusell m 0-0][person:danielle f 3-3][person:belle f 10-10][person:belle f 18-18]
mary| Yes I hope that would work out| [person:mary f 1-1]

conv:chats_1126_169:aug_0:chat_0:chataug_0| michelle wilson| [person:michelle f 0-0][person:wilson m 1-1]
michelle| Hey Wilson I have a huge secret that I wanted to share with you| [person:wilson m 1-1][person:michelle f 2-2][person:michelle f 8-8][person:wilson m 13-13]
wilson| Yeah tell me what is it Michelle| [person:wilson m 2-2][person:michelle f 6-6]
michelle| I wanted to resign from this job as I got an offer from a better company| [person:michelle f 0-0][person:michelle f 8-8]
wilson| That s great Michelle congrats| [person:michelle f 3-3]
michelle| Thank you But I need an advice from you and don t tell this to anyone even to Jake and Jon| [person:wilson m 1-1][person:michelle f 3-3][person:wilson m 8-8][person:anyone u 15-15][person:jake m 18-18][person:jon m 20-20]
wilson| Okay I won t tell this to anyone but why you don t want to tell that to Jake and Jon I feel that they can give you a better advice than me| [person:wilson m 1-1][person:anyone u 7-7][person:michelle f 10-10][person:jake m 18-18][person:jon m 20-20][person:wilson m 21-21][person:they g(jake:jon) 24-24][person:michelle f 27-27]
michelle| I just want to keep it private till I resign from the company| [person:michelle f 0-0][person:michelle f 8-8]
wilson| Okay so what is the advice you want| [person:michelle f 6-6]
michelle| How do I reach our team lead regarding the resignation| [person:michelle f 2-2][person:our g(michelle:wilson:jake:jon) 4-4][person:our g(michelle:wilson:jake:jon) 5-5]
wilson| Just drop a mail about the resignation to the team lead and give the reason of your resignation that s it| [person:our g(michelle:wilson:jake:jon) 9-9][person:michelle f 16-16]

conv:chats_1126_172:aug_0:chat_0:chataug_0| aaron stephen| [person:aaron m 0-0][person:stephen m 1-1]
stephen| Hey Aaron do you have any plans for this weekend Why don t we go out on a fishing trip| [person:aaron m 1-1][person:aaron m 3-3][person:we g(stephen:aaron) 13-13][location:trip s 19-19]
aaron| Hey Stephen yeah that sounds interesting But I need to get a new boat before we begin the trip| [person:stephen m 1-1][person:aaron m 7-7][person:we g(stephen:aaron) 15-15][location:trip s 18-18]
stephen| Why don t you get back to Jim since you have been associated with him for long| [person:aaron m 3-3][person:jim m 7-7][person:aaron m 9-9][person:jim m 14-14]
aaron| Yeah that s true but i don t want to negotiate with him| [person:aaron m 5-5][person:jim m 12-12]
stephen| I also have a very good experience with Jim| [person:stephen m 0-0][person:jim m 8-8]
aaron| Have you seen Jim s collection these days| [person:stephen m 1-1][person:jim m 3-3]
stephen| I ve been observing lately that his collection has been reduced and he has been very pushy with his sales| [person:stephen m 0-0][person:jim m 6-6][person:jim m 12-12][person:jim m 18-18]
aaron| Do you have any other salesman in your reference| [person:stephen m 1-1][person:stephen m 7-7]
stephen| I would like to recommend Heather as I ve recently bought a boat from her and I like the collection at her place| [person:stephen m 0-0][person:heather f 5-5][person:stephen m 7-7][person:heather f 14-14][person:stephen m 16-16][person:heather f 21-21][location:place s 22-22]
aaron| That sounds great Let s go|

conv:chats_1126_174:aug_0:chat_0:chataug_0| alexander josh| [person:alexander m 0-0][person:josh m 1-1]
alexander| Hey where are you I need your suggestion| [person:josh m 3-3][person:alexander m 4-4][person:josh m 6-6]
josh| Sure tell me how may I help you| [person:josh m 2-2][person:josh m 5-5][person:alexander m 7-7]
alexander| Well I need to buy tires for my truck Just help me out in purchasing them| [person:alexander m 1-1][person:alexander m 7-7][person:alexander m 11-11]
josh| Did you check anywhere about the tires| [person:alexander m 1-1]
alexander| Yeah I checked with the salesperson Sara previously She gave me in a great price but I m not okay with it| [person:alexander m 1-1][person:sara f 6-6][person:sara f 8-8][person:alexander m 10-10][person:alexander m 16-16]
josh| Well I know Ellen I ve been associated with her for lot many times Why don t you check with her| [person:josh m 1-1][person:ellen f 3-3][person:josh m 4-4][person:ellen f 9-9][person:alexander m 17-17][person:ellen f 20-20]
alexander| Okay I just checked her reviews and she is great at her work| [person:alexander m 1-1][person:ellen f 4-4][person:ellen f 7-7][person:ellen f 11-11]
josh| If you are okay with her you can finalize the deal| [person:alexander m 1-1][person:ellen f 5-5][person:alexander m 6-6]
alexander| Of course its fine but I think you should finalize the deal by meeting her| [person:alexander m 5-5][person:josh m 7-7][person:ellen f 14-14]
josh| No issue I will do it by this evening| [person:josh m 2-2]

conv:chats_1126_175:aug_0:chat_0:chataug_0| billy sophia| [person:billy m 0-0][person:sophia f 1-1]
billy| Hey Sophia I have reached chicken wings To my surprise the offer is still here| [person:sophia f 1-1][person:billy m 2-2][location:chicken_wings s 5-6][person:billy m 8-8][location:chicken_wings s 14-14]
sophia| That s great news How much wings they are expecting| [person:they g() 7-7]
billy| The deal is for 200 wings per table Do we have the right candidate| [person:we g(billy:sophia) 9-9]
sophia| My friends Lilly Juan and Steven are very good at this They usually do this and won t pay the bills| [person:sophia f 0-0][person:friends g() 1-1][person:lilly f 2-2][person:juan m 3-3][person:steven m 5-5][person:they g(lilly:juan:steven) 11-11]
billy| Alright We can only invite any two of those three Will that be okay for you| [person:we g(billy:sophia) 1-1][person:sophia f 15-15]
sophia| That s fine Juan and Steven are best in the business I just spoke to them They are on their way| [person:juan m 3-3][person:steven m 5-5][person:sophia f 11-11][person:them g(juan:steven) 15-15][person:they g(juan:steven) 16-16][person:their g(juan:steven) 19-19]
billy| That s nice Where are you now How long will it take for you| [person:sophia f 5-5][person:sophia f 13-13]
sophia| I am struck at the Bellagio signal I ll there in few minutes| [person:sophia f 0-0][location:bellagio s 5-5][person:sophia f 7-7][location:chicken_wings s 9-9]
billy| Great Make sure they are hungry We have a lot of food to eat| [person:they g(juan:steven) 3-3][person:we g(billy:sophia:juan:steven) 6-6]
