conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
amanda| Did you tell him that we can t make breakfast this weekend| [person:cameron f 1-1][person:harry m 3-3][person:ca g(cameron:amanda) 5-5]
cameron| Yes we re of the hook What time are you going to be up| [person:ca g(cameron:amanda) 1-1][person:amanda f 9-9]
amanda| I will be up in the afternoon Let s say after 100 PM Whatever we do we need to find time for me to have a manicure| [person:amanda f 0-0][person:ca g(cameron:amanda) 14-14][person:ca g(cameron:amanda) 16-16][person:amanda f 22-22]
cameron| Sure no problem I was wondering if we could go watch a movie later that evening| [person:cameron f 3-3][person:ca g(cameron:amanda) 7-7]
amanda| We can watch a movie but on one condition We eat pizza before it| [person:ca g(cameron:amanda) 0-0][person:ca g(cameron:amanda) 9-9]
cameron| Sounds like a plan Look at the movie listing and tell me what you d like| [person:cameron f 11-11][person:amanda f 13-13]
amanda| Sure thing Can t wait for the weekend Don t be late|

conv:people_2019082001_91:aug_0:chat_0:chataug_0| james judy| [person:james m 0-0][person:judy f 1-1]
james| Hey Judy are you working this weekend| [person:judy f 1-1][person:judy f 3-3]
judy| No thank goodness I m finally getting a weekend off Did you want to do something| [person:judy f 3-3][person:james m 11-11]
james| Well I m off too so I thought it might be nice to have a dinner party Friday night We could invite the Rangers and Parkers over What do you think| [person:james m 1-1][person:james m 6-6][person:we g(james:judy) 19-19][person:rangers g() 23-23][person:parkers g() 25-25][person:judy f 29-29]
judy| I think it would be lovely They are both such great couples The Rangers are so funny together| [person:judy f 0-0][person:rangers g() 6-6][person:rangers g() 13-13]
james| Yes and the Parkers always tell the best stories about their travel I can ask the Rangers tomorrow I ll see him at work| [person:parkers g() 3-3][person:parkers g() 10-10][person:james m 12-12][person:rangers g() 16-16][person:james m 18-18][person:rangers g() 21-21]
judy| Okay that s a good time then Tell them around 8 pm Saturday would be great| [person:rangers g() 8-8]
james| You got it| [person:judy f 0-0]
judy| I ll ask the Parkers this evening We have Pilates class at 5| [person:judy f 0-0][person:parkers g() 4-4][person:parkers g() 7-7]
james| Sounds like a plan I think it will do us all some good| [person:james m 4-4][person:we g(james:judy) 9-9]
judy| Very true I know they are so busy and have hectic schedules But I think it ll work out good for all of us| [person:judy f 2-2][person:parkers g() 4-4][person:judy f 13-13][person:we g(james:judy) 23-23]

conv:people_2019082001_92:aug_0:chat_0:chataug_0| sharon theresa| [person:sharon f 0-0][person:theresa f 1-1]
sharon| Hi Theresa| [person:theresa f 1-1]
theresa| Hi Sharon| [person:sharon f 1-1]
sharon| Wanna go to a picnic with me| [person:sharon f 6-6]
theresa| When is it|
sharon| This Saturday|
theresa| What time|
sharon| 1 pm to 3 pm|
theresa| Oh I am sorry I work 126pm that day| [person:theresa f 1-1][person:theresa f 4-4]
sharon| No way to get it off|
theresa| No we are short handed| [person:we g(theresa) 1-1]
sharon| Oh I am bummed| [person:sharon f 1-1]
theresa| How about Stella she loves picnics| [person:stella f 2-2][person:stella f 3-3]
sharon| Oh yes|
theresa| Lemme text you her number| [person:theresa f 2-2][person:stella f 3-3]
sharon| Ok I will call her| [person:sharon f 1-1][person:stella f 4-4]
theresa| I am sure she is free| [person:theresa f 0-0][person:stella f 3-3]
sharon| Awesome she said yes and thanks| [person:stella f 1-1]

conv:people_2019082001_93:aug_0:chat_0:chataug_0| jack josh| [person:jack m 0-0][person:josh m 1-1]
josh| Wanna get lunch this weekend|
jack| Sure Where do you have in mind| [person:josh m 3-3]
josh| I wanna try that new Peruvian restaurant I heard they have great food| [person:josh m 0-0][location:restaurant s 6-6][person:josh m 7-7]
jack| Sounds good Why don t we call up Marilyn and Robert and invite them along| [person:we g(josh:jack) 5-5][person:marilyn f 8-8][person:robert m 10-10][person:we g(josh:jack) 13-13]
josh| Sure But Robert is allergic to Peruvian food so we ll have to go someplace else| [person:robert m 2-2][person:we g(josh:jack) 9-9]
jack| Bummer How about that new diner Americana I heard they have awesome boozy milkshakes| [person:jack m 7-7][person:we g(josh:jack) 9-9]
josh| I heard they have roaches| [person:josh m 0-0]
jack| Yuck I guess not| [person:jack m 1-1]
josh| There s the old reliable Thai II|
jack| Yeah Boring but roach free and liked by all of us| [person:we g(josh:jack) 10-10]
josh| Can you make the reservation| [person:jack m 1-1]
jack| Sure I ll do it after we hang up| [person:jack m 1-1][person:we g(josh:jack) 6-6]

conv:people_2019082001_94:aug_0:chat_0:chataug_0| helen mary| [person:helen f 0-0][person:mary f 1-1]
helen| Mary I saw Gregory this morning and gave me bad news| [person:mary f 0-0][person:helen f 1-1][person:gregory m 3-3][person:helen f 8-8]
mary| oh no what happened|
helen| Nothing serious sorry Just that Hannah and him can t meet us for breakfast this weekend| [person:hannah f 5-5][person:gregory m 7-7][person:us g(helen:mary) 11-11]
mary| Oh that s all I was worried for a moment| [person:mary f 4-4]
helen| Sorry about that So do you still want to meet for breakfast| [person:mary f 5-5]
mary| Sure thing What time works for you| [person:helen f 6-6]
helen| I m flexible between 700 and 830 am How about you| [person:helen f 0-0][person:mary f 10-10]
mary| I think 800 am would be good for me| [person:mary f 0-0][person:mary f 8-8]
helen| Sounds good Lets meet and at the corner of Oak and Maple| [location:oak_and_maple s 9-11]
mary| Ok I ll be there with my appetite| [person:mary f 1-1][location:oak_and_maple s 4-4][person:mary f 6-6]

conv:people_2019082001_95:aug_0:chat_0:chataug_0| linda theresa| [person:linda f 0-0][person:theresa f 1-1]
theresa| Are you having a good time with Olivia and Jessica| [person:linda f 1-1][person:olivia f 7-7][person:jessica f 9-9]
linda| Sort of I am not sure where we should go| [person:linda f 2-2][person:we g(theresa:linda:olivia:jessica) 7-7]
theresa| New York is a big city There should should be a lot of attractions| [location:new_york s 0-1][location:city s 5-5][location:new_york s 6-6]
linda| That is the problem There are so many that we can t decide where to go| [location:new_york s 4-4][person:we g(theresa:linda:olivia:jessica) 9-9]
theresa| Have you googled anything| [person:linda f 1-1]
linda| Yes but that doesn t help too much|
theresa| Maybe you should try a tour or something| [person:linda f 1-1]
linda| That seems like a good idea I will ask someone at the hotel for a recommendation| [person:linda f 6-6][person:someone u 9-9][location:hotel s 12-12]
theresa| Great Take a lot of pictures|
linda| I will put them on Instagram when I am done| [person:linda f 0-0][person:them g(theresa:linda:olivia:jessica:someone) 3-3][person:linda f 7-7]

conv:people_2019082001_100:aug_0:chat_0:chataug_0| gloria johnny| [person:gloria f 0-0][person:johnny m 1-1]
gloria| Hey Johnny how have you been| [person:johnny m 1-1][person:gloria f 4-4]
johnny| Hey Gloria I ve been good You| [person:gloria f 1-1][person:johnny m 2-2][person:gloria f 6-6]
gloria| Great I m having a game night with Jon next week and wanted to know if you could make it| [person:gloria f 1-1][person:johnny m 8-8][person:johnny m 16-16]
johnny| Wow I haven t seen Jon in forever| [person:johnny m 1-1][person:jon m 5-5]
johnny| Yes I d love to come but my friend Pedro will be in town that day| [person:johnny m 1-1][person:johnny m 7-7][person:friend g(johnny) 8-8][person:pedro m 9-9][location:town s 13-13]
johnny| Is it okay if Pedro comes too| [person:pedro m 4-4]
gloria| Yeah that d be awesome sure he can come| [person:pedro m 6-6]
johnny| I m a little worried because he doesn t really know anyone| [person:johnny m 0-0][person:pedro m 6-6][person:johnny m 11-11]
gloria| That s okay me and Jon will help keep him company| [person:gloria f 3-3][person:jon m 5-5][person:jon m 9-9]
johnny| Great Can t wait|
gloria| Me too See you next week with Pedro| [person:gloria f 0-0][person:johnny m 3-3][person:pedro m 7-7]

conv:people_2019082001_101:aug_0:chat_0:chataug_0| gary john| [person:gary m 0-0][person:john m 1-1]
gary| I wanna go to dinner| [person:gary m 0-0]
john| Where do you wanna go| [person:john m 2-2]
gary| Lets get a burger|
john| I wanna invite Edward and Tom| [person:john m 0-0][person:edward m 3-3][person:tom m 5-5]
gary| sure they can come with us| [person:they g(edward:tom) 1-1][person:us g(john:edward:tom) 5-5]
john| Tom is a big burger fan| [person:tom m 0-0]
gary| Good to know We will go to a burger place| [person:we g(gary:john:edward:tom:tom) 3-3][location:burger_place s 9-9]
john| I will let them know then| [person:john m 0-0][person:them g(edward:tom:tom) 3-3]
gary| Let s go in a couple hours|
john| sounds good to me| [person:john m 3-3]

conv:people_2019082001_103:aug_0:chat_0:chataug_0| sharon susan| [person:sharon f 0-0][person:susan f 1-1]
susan| Would you happen to know any place in Boston that I can bring my uncle and aunt to visit| [person:sharon f 1-1][location:place s 6-6][location:boston s 8-8][person:susan f 10-10][person:susan f 13-13][person:aunt f 16-16]
sharon| You mean like a tourist attraction I have a couple of ideas you might be interested in| [person:susan f 0-0][person:sharon f 6-6][person:susan f 12-12]
susan| A tourist attraction would be perfect I figure since you live here you would be a good person to ask for reccomendations| [person:susan f 6-6][person:sharon f 9-9][location:boston s 11-11][person:sharon f 12-12]
sharon| You can always check out a local museum such as the Museum of Fine arts or the Museum of Science| [person:susan f 0-0][location:museum s 7-7][location:museum s 11-11][location:museum s 17-17]
sharon| If not a museum I can also recommend you visit the Charles River Esplanade or the USS Constitution| [location:museum s 3-3][person:sharon f 4-4][person:susan f 8-8][location:charles_river_esplanade s 11-13][location:uss_constitution s 16-17]
susan| Those all sound great thanks for the help I am sure they will love seeing those places| [person:susan f 8-8][person:aunt f 11-11][location:places g() 16-16]
sharon| Have you decided where you will eat for the day| [person:susan f 1-1][person:susan f 4-4]
susan| Not really I was thinking of checking online for a good place to eat later on in the day| [person:susan f 2-2][location:place s 11-11]
sharon| You should come by my place for dinner today it will be no problem on my end| [person:susan f 0-0][person:sharon f 4-4][location:place s 5-5][person:sharon f 15-15]
susan| Really I think that would be great it will be a good way for us to catch up and discuss about the trip| [person:susan f 1-1][person:us g(susan:sharon) 14-14]
sharon| Great I will see you later today stop by some time around 5 pm| [person:sharon f 1-1][person:susan f 4-4]

conv:people_2019082001_104:aug_0:chat_0:chataug_0| aaron scott| [person:aaron m 0-0][person:scott m 1-1]
scott| Hey how s it going|
aaron| Not too bad and you| [person:scott m 4-4]
scott| I d be better if I could figure out what to bring to the Millers house for the dinner| [person:scott m 0-0][person:scott m 5-5][person:millers g() 14-14][location:millers_house s 14-15]
aaron| Need some help I heard they like red velvet cake maybe you can bring one of those| [person:aaron m 3-3][person:millers g() 5-5][person:scott m 11-11]
scott| I wanted to bring an appetizer not dessert Do they like mozzarella sticks| [person:scott m 0-0][person:millers g() 9-9]
aaron| I m not sure to be honest| [person:aaron m 0-0]
scott| Would you mind asking Dylan what they like He knows them best| [person:aaron m 1-1][person:dylan m 4-4][person:millers g() 6-6][person:dylan m 8-8][person:millers g() 10-10]
aaron| Yeah I can do that for you| [person:aaron m 1-1][person:scott m 6-6]
scott| Thanks so much|
aaron| My pleasure| [person:aaron m 0-0]
scott| In the meantime i ll try to think of more things to bring| [person:scott m 3-3]
aaron| If you need anymore help just let me know| [person:aaron m 1-1][person:aaron m 7-7]
scott| Will do|

conv:people_2019082001_105:aug_0:chat_0:chataug_0| rodger rusell| [person:rodger m 0-0][person:rusell m 1-1]
rodger| Hey Rusell would you like go watch a movie tomorrow| [person:rusell m 1-1][person:rusell m 3-3]
rusell| I thought you d never ask There s that new superhero movie that i really wanted to watch| [person:rusell m 0-0][person:rodger m 2-2][person:rusell m 13-13]
rodger| Exactly The movie is revolutionary It s beautiful what they ve created| [person:they g() 9-9]
rusell| I know right Would you mind if I invited Melinda and Keith| [person:rusell m 0-0][person:rodger m 4-4][person:rodger m 7-7][person:melinda f 9-9][person:keith m 11-11]
rodger| I don t see why not I was discussing the movie with them earlier today Sounds like a blast| [person:rodger m 0-0][person:rodger m 6-6][person:them g(melinda:keith) 12-12]
