conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
jeff| That d be awesome you know I love this place What do they like| [person:alan m 4-4][person:jeff m 6-6][location:boston s 9-9][person:they g(raymond:larry) 12-12]
alan| Well Raymond enjoys theater and cultural stuff like that| [person:raymond m 1-1]
jeff| Okay great what about Larry what does he like| [person:larry m 4-4][person:larry m 7-7]
alan| Larry is a bit more complicated really he s into sports and stuff but only a little I think he also likes cultural things but again not to a great degree| [person:larry m 0-0][person:larry m 7-7][person:alan m 17-17][person:larry m 19-19]
jeff| Hm that s a tough one then I suppose we could go to a musical or something and check out a baseball game| [person:jeff m 7-7][person:we g(jeff:larry:raymond) 9-9]
alan| Yeah I think they d like that hopefully I m sure Raymond would But Larry Honestly i m not sure about him| [person:alan m 1-1][person:they g(raymond:larry) 3-3][person:alan m 8-8][person:raymond m 11-11][person:larry m 14-14][person:alan m 16-16][person:larry m 21-21]
jeff| Well we ll try that and see how it goes| [person:we g(jeff:larry:raymond) 1-1]
alan| Sounds good to me| [person:alan m 3-3]

conv:people_2019081401_30:aug_0:chat_0:chataug_0| christine karen| [person:christine f 0-0][person:karen f 1-1]
christine| Uncle Dylan and aunt Gloria are visiting Dallas soon| [person:dylan m 1-1][person:gloria f 3-3][person:gloria f 4-4][location:dallas s 7-7]
karen| How exciting Do you have plans yet| [person:christine f 3-3]
christine| Not yet I was hoping you could make recommendations| [person:christine f 2-2][person:karen f 5-5]
karen| What do they like| [person:they g(dylan:gloria) 2-2]
christine| They love rock concerts seafood shopping and site seeing| [person:they g(dylan:gloria) 0-0]
karen| The North Park Center is excellent for shopping| [location:the_north_park s 2-2]
karen| There is the botanical Gardens a zoo and a Nature and Science museum| [location:botanical_gardens s 4-4][location:zoo s 6-6][location:museum s 12-12]
christine| The gardens and the zoo sound like great ideas Any good seafood restaurants| [location:botanical_gardens s 1-1][location:zoo s 4-4][location:restaurants g() 12-12]
karen| Trulucks is real good| [location:trulucks s 0-0]
christine| We will check out that restaurant| [person:we g(christine:karen:dylan:gloria) 0-0][location:trulucks s 5-5]
karen| Would you like to meet there one day for lunch| [person:christine f 1-1][location:trulucks s 5-5]
christine| That s a great idea|
karen| I work nights so any day is fine| [person:karen f 0-0]
christine| I will let you know after they arrive and we will set a date| [person:christine f 0-0][person:karen f 3-3][person:they g(dylan:gloria) 6-6][person:we g(christine:karen:dylan:gloria) 9-9]
karen| Looking forward to it Have a great day|
christine| You have a great day too| [person:karen f 0-0]

conv:people_2019081401_35:aug_0:chat_0:chataug_0| frank stephen| [person:frank m 0-0][person:stephen m 1-1]
frank| Hello Stephen Shall we lunch out| [person:stephen m 1-1][person:we g(frank:stephen) 3-3]
stephen| Thats great idea Then we can invite Christian and Jerry no| [person:we g(frank:stephen) 4-4][person:christian m 7-7][person:jerry m 9-9]
frank| Which restaurant do you prefer| [location:restaurant s 1-1][person:stephen m 3-3]
stephen| I am not particular| [person:stephen m 0-0]
frank| But there is one problem Jerry will demand one serving burgers| [person:jerry m 5-5]
stephen| Its not a problem I shall insist him to negotiate| [person:stephen m 4-4][person:jerry m 7-7]
frank| There is one nice restaurant near to the Airport what do you think| [location:restaurant s 4-4][location:airport s 8-8][person:stephen m 11-11]
stephen| Do they have music|
frank| I am not sure but there is good pizza| [person:frank m 0-0][location:restaurant s 5-5]
stephen| That will be a right choice Jerry can also adjust with pizza| [person:jerry m 6-6]

conv:people_2019081401_36:aug_0:chat_0:chataug_0| rachel tommy| [person:rachel f 0-0][person:tommy m 1-1]
tommy| Hey Rachel| [person:rachel f 1-1]
tommy| I am plannning to watch a movie Do you have any recommendations| [person:tommy m 0-0][person:rachel f 8-8]
rachel| Hi Tommy| [person:tommy m 1-1]
rachel| Past few weeks I have watched a lot of movies And I would suggest you if you havn t watched Avengers infinity war yet Go and watch it| [person:rachel f 3-3][person:rachel f 11-11][person:tommy m 14-14][person:tommy m 16-16]
tommy| When did you watch this movie| [person:rachel f 2-2]
rachel| Last week I went with Philip and Cheryl| [person:rachel f 2-2][person:philip m 5-5][person:cheryl f 7-7]
tommy| Last week I went with Philip and Cheryl| [person:tommy m 2-2][person:philip m 5-5][person:cheryl f 7-7]
tommy| And what are their viewa about the movie| [person:their g(rachel:philip:cheryl:cheryl) 3-3]
rachel| Both of them are doing great And they also loved the movie| [person:them g(tommy:philip:cheryl:cheryl) 2-2][person:they g(tommy:philip:cheryl:cheryl) 7-7]
tommy| Okay I will go for Avengers then| [person:tommy m 1-1]
rachel| You should You will not regret| [person:tommy m 0-0][person:tommy m 2-2]
tommy| Thank you for the recommendation See you| [person:rachel f 1-1][person:rachel f 6-6]
rachel| Anytime You too| [person:tommy m 1-1]

conv:people_2019081401_39:aug_0:chat_0:chataug_0| philip ricky| [person:philip m 0-0][person:ricky m 1-1]
philip| wanna come watch the playoff game|
ricky| who is going with you again| [person:philip m 4-4]
philip| John and Jordan are| [person:john m 0-0][person:jordan m 2-2]
ricky| Okay I think I will| [person:ricky m 1-1][person:ricky m 3-3]
philip| Can you recommend which place to go| [person:ricky m 1-1][location:place s 4-4]
ricky| For food you mean| [person:philip m 2-2]
ricky| Yes for food|
philip| How about Burger King| [location:burger_king s 2-3]
ricky| Yeah I could go for that| [person:ricky m 1-1]
philip| Cool Need a ride there| [location:burger_king s 4-4]
ricky| No thanks I will meet you| [person:ricky m 2-2][person:philip m 5-5]

conv:people_2019081401_40:aug_0:chat_0:chataug_0| pete stephen| [person:pete m 0-0][person:stephen m 1-1]
pete| Hey Pete my brother and his friend are coming for the superbowl do you know of any good parks| [person:pete m 1-1][person:pete m 2-2][person:brother m 3-3][person:brother m 5-5][person:friend u 6-6][person:stephen m 13-13][location:parks s 18-18]
stephen| Yes I know fo a couple good ones in the area theres one down the road from the library hold on ill check the address for you| [person:stephen m 1-1][location:library s 18-18][person:pete m 26-26]
pete| ok great would you be willing to come with us they would love to see you| [person:stephen m 3-3][person:us g(pete:stephen) 9-9][person:they g(brother:friend) 10-10][person:stephen m 15-15]
stephen| Im not to sure I would have to check my schedule| [person:stephen m 4-4][person:stephen m 9-9]
pete| Who all is coming again|
stephen| its my brother and his friend then me of course| [person:stephen m 1-1][person:brother m 2-2][person:brother m 4-4][person:friend u 5-5][person:stephen m 7-7]
pete| wow that sounds amazing|
pete| ill check my schedule and get back to you| [person:pete m 2-2][person:stephen m 8-8]
stephen| thatll be aweesome|
stephen| i cant wait for it its gonna be so much fun| [person:stephen m 0-0]
pete| oh i know i lovethe superbowl games this will be my first time actually going to ne| [person:pete m 1-1][person:pete m 3-3][person:pete m 10-10]

conv:people_2019081401_41:aug_0:chat_0:chataug_0| jill judith| [person:jill f 0-0][person:judith f 1-1]
judith| So where does everyone live| [person:everyone g(jill) 3-3]
jill| I live in the north side Jen lives downtown Walter lives in Lincoln Park and Nick live in the business dristrict| [person:jill f 0-0][person:jen f 6-6][location:downtown s 8-8][person:walter m 9-9][location:lincoln_park s 12-13][location:lincoln_park s 13-13][person:nick m 15-15][location:business_dristrict s 19-20]
judith| So where do you think would be the best place to meet| [person:jill f 3-3][location:place s 9-9]
jill| Well Walter doesn t live to drive very far so I d say Lincoln Park| [person:walter m 1-1][person:jill f 10-10][location:lincoln_park s 14-14]
judith| Cool Are there any good restaurants there| [location:lincoln_park s 2-2][location:restaurants g() 5-5][location:lincoln_park s 6-6]
jill| Yes There s a bunch of great ones| [location:lincoln_park s 1-1]
judith| Which one is your favorite| [person:jill f 3-3]
jill| Probably Cubs Grill I love it| [location:cubs_grill s 1-2][person:jill f 3-3][location:cubs_grill s 5-5]
judith| Awesome we can eat there| [person:we g(judith:jill:jen:nick:walter) 1-1][location:cubs_grill s 4-4]
jill| Sounds great I ll see you then| [person:jill f 2-2][person:judith f 5-5]

conv:people_2019081401_42:aug_0:chat_0:chataug_0| doug dwight| [person:doug m 0-0][person:dwight m 1-1]
doug| Hi Dwight are you free now| [person:dwight m 1-1][person:dwight m 3-3]
dwight| Hi Yes dear I have completed all my work and free now| [person:dwight m 3-3][person:dwight m 7-7]
doug| Shall we discuss about our running with our friends Peter Paul and Jerry| [person:we g(doug:dwight) 1-1][person:we g(doug:dwight) 4-4][person:we g(doug:dwight) 7-7][person:friends g() 8-8][person:peter m 9-9][person:paul m 10-10][person:jerry m 12-12]
dwight| Oh yes It will be on this coming Sunday|
doug| Yes dear We have to decide the things to be bring on that day and who has to bring which item| [person:we g(doug:dwight) 2-2]
dwight| Yes It is a correct time to decide about it Let us list down the items to be bring on that day| [person:we g(doug:dwight) 11-11]
doug| Let me write it down dear We need reflector belt UVprotected sunglasses water bottle and towel Apart from this item every one must bring their own shoes costumes and other required items for themselves| [person:doug m 1-1][person:we g(doug:dwight) 6-6][person:we g(doug:dwight) 24-24][person:we g(doug:dwight:peter:paul:jerry) 33-33]
dwight| Yes It is correct Shall we decide what items to be bring by whom| [person:we g(doug:dwight:peter:paul:jerry) 5-5]
doug| Yes Peter will bring reflector belt Paul can bring sunglasses and Jerry may bring water bottle and towel| [person:peter m 1-1][person:paul m 6-6][person:jerry m 11-11]
dwight| Yes It is correct Okay Let us inform it our friends and we will meet on Sunday Bye| [person:we g(doug:dwight:peter:paul:jerry) 6-6][person:we g(doug:dwight:peter:paul:jerry) 9-9][person:friends g(peter:paul:jerry) 10-10][person:we g(doug:dwight:peter:paul:jerry) 12-12]
doug| I will inform it to them Bye| [person:doug m 0-0][person:friends g(peter:paul:jerry) 5-5]

conv:people_2019081401_46:aug_0:chat_0:chataug_0| rafael scott| [person:rafael m 0-0][person:scott m 1-1]
scott| Hey the game is on tonight I am looking forward to it| [person:scott m 6-6]
rafael| Me too Where are you going to watch it| [person:rafael m 0-0][person:scott m 4-4]
scott| Not sure yet Wayne and Ben also want to watch it with us| [person:wayne m 3-3][person:ben m 5-5][person:us g(scott:rafael) 12-12]
rafael| Maybe we can find a sports bar where they serve good beer and food that s half way in between| [person:we g(scott:rafael:wayne:ben) 1-1][location:sports_bar s 5-6]
scott| That s not a bad idea|
rafael| I know of a great place by my work It s usually pretty packed though| [person:rafael m 0-0][location:place s 5-5][person:rafael m 7-7][location:place s 9-9]
scott| Wayne and Ben love crowds I am sure they wouldn t mind Let me run the idea by them and see what they think| [person:wayne m 0-0][person:ben m 2-2][person:scott m 5-5][person:they g(wayne:ben) 8-8][person:scott m 13-13][person:they g(wayne:ben) 18-18][person:they g(wayne:ben) 22-22]
rafael| Cool It s going to be a great game|
scott| Yeah If we want to catch up we can always go to coffee shop afterwards I haven t seen them in a while| [person:we g(scott:rafael:wayne:ben) 2-2][person:we g(scott:rafael:wayne:ben) 7-7][location:coffee_shop s 12-13][person:scott m 15-15][person:they g(wayne:ben) 19-19]
rafael| I would be fine with that| [person:rafael m 0-0]

conv:people_2019081401_48:aug_0:chat_0:chataug_0| jacob tyler| [person:jacob m 0-0][person:tyler m 1-1]
tyler| Hello Jacob my brother Nicholas and his friend Peter are coming into town| [person:jacob m 1-1][person:tyler m 2-2][person:brother m 3-3][person:brother m 4-4][person:brother m 6-6][person:friend u 7-7][person:friend m 8-8][location:town s 12-12]
jacob| That sounds fun what s the occasion for visiting this town| [location:town s 10-10]
tyler| They want to watch the NBA finals at Buffalo Wild Wings| [person:they g(brother:friend) 0-0][location:buffalo_wild_wings s 8-10]
jacob| where are they planning on watching it| [person:they g(brother:friend) 2-2]
tyler| well since they re coming to town they were going to watch it at a restaurantbar| [person:they g(brother:friend) 2-2][location:town s 6-6][person:they g(brother:friend) 7-7][location:restaurant_bar s 15-15]
jacob| you should tell them to watch it at Buffalo Wild Wings| [person:tyler m 0-0][person:they g(brother:friend) 3-3][location:buffalo_wild_wings s 8-10]
tyler| That sounds like a good place to watch it| [location:buffalo_wild_wings s 5-5]
jacob| Yeah it sounds fun Hey do you have plans that day| [person:tyler m 6-6]
tyler| Yeah i was going to watch it with them maybe you want to tag along| [person:tyler m 1-1][person:they g(brother:friend) 8-8][person:jacob m 10-10]
jacob| sure i would love to| [person:jacob m 1-1]

conv:people_2019081401_50:aug_0:chat_0:chataug_0| hannah tony| [person:hannah f 0-0][person:tony m 1-1]
