conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
lewis| Oh that makes sense Do you need me to pick you up after you are finished working on the project| [person:megan f 5-5][person:lewis m 7-7][person:megan f 10-10][person:megan f 13-13]
megan| That would be perfect if you could I know it is a lot of work for you so only if it s okay with you I can see if maybe Larsen or Brandon could take me home if you cant| [person:lewis m 5-5][person:megan f 7-7][person:lewis m 16-16][person:lewis m 24-24][person:megan f 25-25][person:larsen m 30-30][person:brandon m 32-32][person:megan f 35-35]
lewis| No worries I can take you home What time should I be back at school to pick you up| [person:lewis m 2-2][person:megan f 5-5][location:home s 6-6][person:lewis m 10-10][location:school s 14-14][person:megan f 17-17]
megan| It shouldn t take more than 3 hours I would say 6pm is a great time| [person:megan f 8-8]
lewis| Perfect I will see you then Have fun with Larsen and Brandon and get a lot of work done| [person:lewis m 1-1][person:megan f 4-4][person:larsen m 9-9][person:brandon m 11-11]
megan| Thanks I will| [person:megan f 1-1]

conv:people_chats_0628_99:aug_0:chat_0:chataug_0| andrea linda| [person:andrea f 0-0][person:linda f 1-1]
linda| hey Andrea i wish to know if you will still take your boys Parker and Logan to the circus tomorrow| [person:andrea f 1-1][person:linda f 2-2][person:andrea f 7-7][person:andrea f 11-11][person:boys g() 12-12][person:parker m 13-13][person:logan m 15-15]
andrea| Hey dear No i won t take them they don t go to those anymore| [person:andrea f 3-3][person:boys g(parker:logan) 7-7][person:boys g(parker:logan) 8-8]
andrea| they are so cruel to the animals and we both know it is not a good life for them| [person:we g(linda:andrea) 8-8]
linda| true|
andrea| despite how much they beg to go i still refuse| [person:boys g(parker:logan) 3-3][person:andrea f 7-7]
linda| of course it s the right thing to do|
andrea| iv e tried severally to explain it to them but i think they never seem to understand| [person:boys g(parker:logan) 8-8][person:andrea f 10-10][person:boys g(parker:logan) 12-12]
linda| oh dear i know just how that might feel| [person:linda f 2-2]
andrea| but so many still take their kids regardless| [person:everyone g() 5-5][person:kids g() 6-6]
linda| not everyone knows what is actually right| [person:everyone g() 1-1]
andrea| hahaha i know right| [person:andrea f 1-1]
linda| oh yes baby gal| [person:andrea f 3-3]
linda| do have a great day okay|

conv:people_chats_0628_101:aug_0:chat_0:chataug_0| arthur summer| [person:arthur m 0-0][person:summer f 1-1]
summer| hi|
arthur| hii|
summer| how are u| [person:arthur m 2-2]
summer| what are udoing|
summer| hii|
arthur| i am fine| [person:arthur m 0-0]
arthur| what about u| [person:summer f 2-2]
summer| what about u| [person:summer f 2-2]
summer| fine|
arthur| what is ur fav film| [person:summer f 2-2]
summer| my fav every film| [person:summer f 0-0]
arthur| k buddy| [person:summer f 1-1]
summer| u have lunch| [person:arthur m 0-0]
summer| yes|
summer| k|
arthur| k|
summer| i eat lunch| [person:summer f 0-0]
summer| ok buddy| [person:arthur m 1-1]
arthur| k|
arthur| then buddy| [person:summer f 1-1]
summer| u tell me| [person:arthur m 0-0][person:summer f 2-2]
summer| native place| [location:place s 1-1]
arthur| usa| [location:place s 0-0]
summer| i am aslo| [person:summer f 0-0]
arthur| which state| [location:state s 1-1]
summer| virginia| [location:state s 0-0]

conv:people_chats_0628_102:aug_0:chat_0:chataug_0| jemma nicolas| [person:jemma f 0-0][person:nicolas m 1-1]
jemma| Hey what s the door measurements so I can stop by the hardware store and get those tracks on the way home| [person:jemma f 7-7][location:store s 13-13][location:home s 21-21]
nicolas| It s 5 5 ft across and look for the National Hardware Brand|
jemma| Is that actually important|
nicolas| I talked to Milton and Lindsay yesterday and that s what they used| [person:nicolas m 0-0][person:milton f 3-3][person:they g(milton) 11-11]
nicolas| They ve had the for 5 years and no rust| [person:they g(milton) 0-0]
jemma| They don t have that kind here Should I get different ones or go to another store| [location:store s 6-6][person:jemma f 8-8][location:another_store s 15-16]
nicolas| Let me see| [person:nicolas m 1-1]
jemma| I ll just go to another store Can you look up and see who carries them| [person:jemma f 0-0][location:another_store s 5-6][person:nicolas m 8-8]
nicolas| I ll call around and get back to you| [person:nicolas m 0-0][person:jemma f 8-8]
jemma| I m headed to the hardware store by the park so let me know soon| [person:jemma f 0-0][location:store s 6-6][location:park s 9-9][person:jemma f 12-12]

conv:people_chats_0628_105:aug_0:chat_0:chataug_0| lilly ricardo| [person:lilly f 0-0][person:ricardo m 1-1]
lilly| is that not a bit mean|
ricardo| No because douglass would run so slow that the enemey would foret about him| [person:douglass m 2-2][person:douglass m 13-13]
lilly| oh so youy vuys would be a distarction for douglass defeating the enemy|
ricardo| exactly he wouldnt know whats coming| [person:douglass m 1-1]
lilly| oh okay|
ricardo| yeah so thats why i chose douglass|
lilly| Great example ricardo at first i thought you were trying to be mean| [person:ricardo m 2-2][person:lilly f 5-5][person:ricardo m 7-7]
ricardo| oh your okay but no he was apart of the plan| [person:lilly f 1-1][person:douglass m 5-5]
lilly| okay so what are yo doing today|
ricardo| Nothing really would youy like to ride our bikes today| [person:our g(lilly:ricardo) 7-7]
lilly| yeah that wouyld be cool|

conv:people_chats_0628_106:aug_0:chat_0:chataug_0| berta elton| [person:berta f 0-0][person:elton m 1-1]
elton| Hi Berta| [person:berta f 1-1]
berta| hi how are you| [person:elton m 3-3]
elton| am fine what about you| [person:berta f 4-4]
berta| am doing good|
elton| Did you cancel your preorder for that Japanese game| [person:berta f 1-1][person:berta f 3-3]
berta| oh yes i did| [person:berta f 2-2]
elton| why|
berta| because my freind Dan has it and he said it s really bad| [person:berta f 1-1][person:dan m 3-3][person:dan m 7-7]
elton| how is it bad|
berta| Dan said it has an alternate timeline based plot and there are time ghost that that invalidate major events as soon as they happen| [person:dan m 0-0]
elton| Dan might just be too picky| [person:dan m 0-0]
berta| it has to be more than that because Dan s sister Nara agrees with him wholeheartedly| [person:dan m 8-8][person:nara f 10-10][person:nara f 11-11][person:dan m 14-14]
berta| and they rarely agree with each other| [person:they g(dan:nara) 1-1]
elton| do you mean the sister that went as far as hiring out a crane to hang a you re wrong banner outside of her brother s office when she won an argument| [person:berta f 1-1][person:nara f 4-4][person:berta f 17-17][person:nara f 23-23][person:dan m 24-24][location:office s 26-26][person:nara f 28-28]
berta| yes her| [person:nara f 1-1]

conv:people_chats_0628_108:aug_0:chat_0:chataug_0| grant pamela| [person:grant m 0-0][person:pamela f 1-1]
grant| hello|
pamela| hi how are you| [person:grant m 3-3]
grant| i am very fine| [person:grant m 0-0]
pamela| i want one help afor my daughter because of night terrors| [person:pamela f 0-0][person:pamela f 5-5][person:daughte f 6-6]
grant| it was so sad of me is it| [person:grant m 5-5]
pamela| yes she was very annoyed| [person:daughte f 1-1]
grant| you do not worry i will take care| [person:pamela f 0-0][person:grant m 4-4]
pamela| is it was curable|
grant| yes it was soon|
pamela| ohh thank you so much| [person:grant m 2-2]
grant| welcome|
pamela| ok will we will meet you tomorrow at cafe| [person:we g(pamela:daughte) 2-2][person:grant m 5-5][location:cafe s 8-8]

conv:people_chats_0628_110:aug_0:chat_0:chataug_0| esmerelda jose| [person:esmerelda f 0-0][person:jose m 1-1]
jose| Where is your troupe s next show| [person:esmerelda f 2-2]
esmerelda| At a birthday party in the south of town somewhere| [location:town s 8-8]
jose| Who would book erotic mimes for some kid s birthday|
esmerelda| It s not a kid but some thirtyyearold|
jose| That s weird still but less so|
esmerelda| The master mime Lenora thought so too| [person:lenora f 3-3]
jose| Why did you take the job then| [person:esmerelda f 2-2]
esmerelda| For the money mostly as the miming business is rather hard to turn a profit in|
jose| Victor is always looking for capable people with his construction company if the clown thing doesn t work out| [person:victor m 0-0][person:victor m 8-8][location:company s 10-10]
esmerelda| Do you mean the brother that was discovered mixing bones connected to mob hits into the cement used for foundations| [person:jose m 1-1][person:victor m 4-4]
jose| Is that a probelm|

conv:people_chats_0628_111:aug_0:chat_0:chataug_0| brant zora| [person:brant m 0-0][person:zora f 1-1]
brant| hello|
zora| Hi how are you doing| [person:brant m 3-3]
brant| I am good and you| [person:brant m 0-0][person:zora f 4-4]
zora| I am good too| [person:zora f 0-0]
brant| Do you remember my friend Morgan| [person:zora f 1-1][person:brant m 3-3][person:morgan m 4-4][person:morgan m 5-5]
zora| Yes I do what about him| [person:zora f 1-1][person:morgan m 5-5]
brant| Well he s getting married to his long time boyfriend Dale| [person:morgan m 1-1][person:morgan m 6-6][person:dale m 10-10]
zora| Wow that s great|
zora| when is the wedding|
brant| In 3 months I think| [person:brant m 3-3]
brant| also I want you to be my plus one you in| [person:brant m 1-1][person:zora f 3-3][person:brant m 6-6][person:zora f 9-9]
zora| Yes definitely|
zora| I will love to go with you| [person:zora f 0-0][person:brant m 6-6]

conv:people_chats_0629_2:aug_0:chat_0:chataug_0| colin myra| [person:colin m 0-0][person:myra f 1-1]
myra| Hey Colin Here s Kim and Jeremy s address| [person:colin m 1-1][person:kim f 4-4][person:jeremy m 6-6]
colin| Thanks Myra Thanks for inviting me to your graduation party| [person:myra f 1-1][person:colin m 5-5][person:myra f 7-7]
myra| Of course|
colin| I can t believe your graduating college already| [person:colin m 0-0][person:myra f 4-4]
myra| I know It feels like just yesterday I was first stepping foot onto campus| [person:myra f 0-0][person:myra f 7-7]
colin| I ll be at the party around 800 p m| [person:colin m 0-0]
myra| Sounds good|
colin| Would you like me to bring a bottle of wine| [person:myra f 1-1][person:colin m 3-3]
myra| If you could that would be great| [person:colin m 1-1]
colin| Okay I ll bring one over| [person:colin m 1-1]
myra| Thanks again Colin| [person:colin m 2-2]
colin| No problem|
myra| See you at the party| [person:colin m 1-1]

conv:people_chats_0629_3:aug_0:chat_0:chataug_0| jordan lara| [person:jordan m 0-0][person:lara f 1-1]
lara| Hey I ll love to make some changes an do some cleanings with the living room tonght| [person:lara f 1-1]
jordan| That s alright|
lara| I m going to need your help with some liftings and moving around| [person:lara f 0-0][person:jordan m 5-5]
jordan| That shouldn t be a problem|
lara| Alright|
lara| Thanks|
jordan| But i really don t get why you ll want to make changes| [person:jordan m 1-1][person:lara f 7-7]
jordan| It s quite cool the way it is|
lara| Yeah I know| [person:lara f 1-1]
lara| I just wanted something different| [person:lara f 0-0]
jordan| Well my mum used to move the furniture around a lot| [person:jordan m 1-1]
jordan| Like every month|
lara| Really|
lara| Didn t know Patty used to do that| [person:patty f 3-3]
jordan| Yeah she did| [person:patty f 1-1]
jordan| And it pisses my dad off each time| [person:jordan m 3-3][person:bruce m 4-4]
lara| Well I do understand why Bruce could be pissed about this| [person:lara f 1-1][person:bruce m 5-5]
jordan| Just when he s getting used to the furniture settings my mum makes the changes yet again| [person:bruce m 2-2][person:jordan m 10-10]
lara| Quite funny but they still get along so well| [person:they g(patty:bruce) 3-3]
jordan| That s true i guess they are both used to each other| [person:jordan m 3-3][person:they g(patty:bruce) 5-5]
jordan| Alright see you later tonight| [person:lara f 2-2]
lara| Ok|

conv:people_chats_0629_4:aug_0:chat_0:chataug_0| angela virgil| [person:angela f 0-0][person:virgil m 1-1]
angela| Virgil there s this awesome new music festival in Austin| [person:virgil m 0-0][location:austin s 1-1][location:austin s 9-9]
virgil| What s it called|
angela| It s called North by Northeast|
virgil| What so cool about it|
angela| It showcases artists and celebrities who produce educational material for children|
virgil| Oh I think I read a blurb about that in the paper| [person:virgil m 1-1][person:virgil m 3-3]
virgil| I bet my daughter Bridget would really want to go| [person:virgil m 0-0][person:virgil m 2-2][person:bridget f 3-3][person:bridget f 4-4]
angela| I thought she might be interested| [person:angela f 0-0][person:bridget f 2-2]
virgil| She s really into Bill Nye the Science Guy right now| [person:bridget f 0-0][person:bill m 4-4]
angela| I think my son Neil might be a little too old for it| [person:angela f 0-0][person:angela f 2-2][person:neil m 3-3][person:neil m 4-4]
angela| He s more interested in sports and videgames lately| [person:neil m 0-0]
virgil| Do you think you could send me the festival s web address| [person:angela f 1-1][person:angela f 3-3][person:virgil m 6-6]

conv:people_chats_0629_5:aug_0:chat_0:chataug_0| fran lucas| [person:fran f 0-0][person:lucas m 1-1]
lucas| Hi Fran I m going to be late as there is a raccoon in the hood of my car| [person:fran f 1-1][person:lucas m 2-2][person:lucas m 17-17]
fran| Could you turn on the car and scare the raccoon out| [person:lucas m 1-1]
lucas| I cannot The beast has removed two belts and the carburetor from the engine| [person:lucas m 0-0]
fran| How did the raccoon do that by itself|
lucas| My brother Orville likely trained it as a prank| [person:lucas m 0-0][person:orville m 1-1][person:orville m 2-2]
fran| How could you brother even accomplish such a thing| [person:lucas m 2-2][person:orville m 3-3]
lucas| Well it started with my childhood pet cat Penelope| [person:lucas m 4-4][person:penelope f 8-8]
fran| How is this relevant|
lucas| My brother would train the cat to jump through a hulahoop He called himself a lion tamer| [person:lucas m 0-0][person:orville m 1-1][person:orville m 11-11][person:orville m 13-13]
fran| Please stop and just come in to work|
lucas| When our cat died my brother swore he would have vengence| [person:brothers g(lucas:orville) 1-1][person:lucas m 4-4][person:orville m 5-5][person:orville m 7-7]
