conv:task_oriented_1231_amt_22:aug_0:chat_0:chataug_0| margaret nicole| [person:margaret f 0-0][person:nicole f 1-1]
samantha| Yeah Sure I will ask that also| [person:samantha f 2-2]

conv:task_oriented_1231_amt_179:aug_0:chat_0:chataug_0| harriet lorenzo| [person:harriet f 0-0][person:lorenzo m 1-1]
harriet| Hey Lorenzo who do you think is the best rap artist I think Drake is the best because he can sing melodies| [person:lorenzo m 1-1][person:lorenzo m 4-4][person:harriet f 11-11][person:drake m 18-18]
lorenzo| I believe that Lil Wayne is best at rapping because he taught Drake how to make music| [person:lorenzo m 0-0][person:lil__wayne m 4-4][person:lil__wayne m 10-10]
harriet| I think we should ask Dom about this situation as he can settle our debate| [person:harriet f 0-0][person:we g(harriet:lorenzo) 2-2][person:dom m 5-5][person:dom m 10-10][person:our g(harriet:lorenzo) 13-13]
lorenzo| Yeah it s a good idea as he has a great taste in music as well| [person:dom m 7-7]
harriet| Dom is telling that we both are wrong and he says that JayZ is the best rap artist as he has been around the longest| [person:dom m 0-0][person:we g(harriet:lorenzo) 4-4][person:dom m 9-9][person:jayz m 19-19]
lorenzo| I m not at all satisfied with his reply towards our debate now| [person:lorenzo m 0-0][person:dom m 7-7][person:our g(harriet:lorenzo) 10-10]
harriet| Okay what shall we do in order to settle our debate| [person:we g(harriet:lorenzo) 3-3][person:our g(harriet:lorenzo) 9-9]
lorenzo| I ll ask my friend Brendan about this and let s see what he has to tell about this| [person:lorenzo m 0-0][person:lorenzo m 3-3][person:brendan m 4-4][person:brendan m 5-5][person:brendan m 13-13]
harriet| Yeah go ahead and ask him about the best rap artist| [person:brendan m 5-5]
lorenzo| Brendan tells that Lil Wayne is the best rap artist| [person:brendan m 0-0][person:lil__wayne m 4-4]

conv:task_oriented_1231_amt_180:aug_0:chat_0:chataug_0| charlotte jill| [person:charlotte f 0-0][person:jill f 1-1]
charlotte| Hey Jill let s plan to go to the Post Malone concert this evening| [person:jill f 1-1][location:post_malone_concert s 9-11]
jill| I can t go Charlotte I m too sick to attend it| [person:jill f 0-0][person:jill f 5-5][location:post_malone_concert s 11-11]
charlotte| But I m not going without you| [person:charlotte f 1-1][person:jill f 6-6]
jill| Why don t you ask Sasha and Brooke to go with you| [person:charlotte f 3-3][person:sasha f 5-5][person:brooke f 7-7][person:charlotte f 11-11]
charlotte| I would but they won t like Post Malone| [person:charlotte f 0-0][person:they g(sasha:brooke) 3-3][person:malone m 8-8]
jill| You re right they don t Don t tell them it s a Post Malone concert| [person:charlotte f 0-0][person:they g(sasha:brooke) 3-3][person:they g(sasha:brooke) 9-9][location:post_malone_concert s 10-10][location:post_malone_concert s 13-15]
charlotte| Alright I ll tell them that is a Carrie Underwood concert instead of Post Malone| [person:charlotte f 1-1][person:they g(sasha:brooke) 4-4][person:carrie f 8-8][location:carrie_underwood_concert s 8-10][person:malone m 14-14]
jill| Yes do that They will definitely join you then| [person:they g(sasha:brooke) 3-3][person:charlotte f 7-7]
charlotte| Yeah please make sure you don t tell anything about it| [person:jill f 4-4]
jill| Don t worry I won t tell them anything| [person:jill f 3-3][person:they g(sasha:brooke) 7-7]

conv:task_oriented_1231_amt_181:aug_0:chat_0:chataug_0| albert simon| [person:albert m 0-0][person:simon m 1-1]
simon| Virginia are you ready with the next strategy to be presented in the court| [location:virginia s 0-0][person:virginia f 2-2]
albert| Our case is getting lengthy with every possible hearing| [person:our g(simon:albert:virginia) 0-0]
simon| Please let us know if you need any detailed inputs about the case| [person:us g(simon:albert) 2-2][person:virginia f 5-5]
albert| Walt please take care that the legal battle is ended at the earliest| [person:walt m 0-0]
simon| I understand that you Walt want me Albert to meet you in Florida but that is not possible| [person:simon m 0-0][person:walt m 3-3][person:walt m 4-4][person:simon m 6-6][person:albert m 7-7][person:walt m 10-10][location:florida s 12-12]
albert| Simon discussing the legal strategies through telecommunication is highly risky| [person:simon m 0-0]
simon| I understand Albert But I have too many bad memories in Florida| [person:simon m 0-0][person:albert m 2-2][person:simon m 4-4][location:florida s 11-11]
albert| Simon don t let your bad memories take charge on you You need to get control of them| [person:simon m 0-0][person:simon m 4-4][person:simon m 10-10][person:simon m 11-11]
simon| I ve kept on saying the same to our attorney s Virginia Walt But they want us to meet in person to discuss the details of the case| [person:simon m 0-0][person:us g(simon:albert) 8-8][location:virginia s 11-11][person:walt m 12-12][person:they g(virginia:walt) 14-14][person:us g(simon:albert) 16-16]
albert| If that could help us in closing the case at the earliest then let s fly to Florida help in closing this case| [person:us g(simon:albert) 4-4][location:florida s 17-17]

conv:task_oriented_1231_amt_182:aug_0:chat_0:chataug_0| jeff rosa| [person:jeff m 0-0][person:rosa f 1-1]
rosa| Hey Jeff I m afraid that the delivery will be late| [person:jeff m 1-1][person:rosa f 2-2]
jeff| Okay inform the same thing to the Stella regarding the late delivery| [person:stella f 7-7]
rosa| Yeah but I m thinking how to approach her| [person:rosa f 2-2][person:stella f 8-8]
jeff| Okay do one thing ask Lawrence to help you to inform Stella about the delivery| [person:lawrence m 5-5][person:rosa f 8-8][person:stella f 11-11]
rosa| But I don t think that s a good idea| [person:rosa f 1-1]
jeff| Why do you think like that| [person:rosa f 2-2]
rosa| Because I know that she won t like Lawrence conveying my message to her| [person:rosa f 1-1][person:stella f 4-4][person:lawrence m 8-8][person:rosa f 10-10][person:stella f 13-13]
jeff| Okay then what will you do about this situation| [person:rosa f 4-4]
rosa| I ll go and inform everything to Stella as I can t escape from this situation| [person:rosa f 0-0][person:stella f 7-7][person:rosa f 9-9]
jeff| Okay all the best and take care|

conv:task_oriented_1231_amt_183:aug_0:chat_0:chataug_0| harriet jonah| [person:harriet f 0-0][person:jonah m 1-1]
jonah| Hey Harriet Who broke my laptop| [person:harriet f 1-1][person:jonah m 4-4]
harriet| What do I know about your laptop| [person:harriet f 2-2][person:jonah m 5-5]
jonah| Who else may know about it then|
harriet| I wasn t even at home till now| [person:harriet f 0-0][location:home s 5-5]
harriet| Perhaps you should ask Doris and Kelly They might know something about it| [person:jonah m 1-1][person:doris f 4-4][person:kelly f 6-6][person:they g(doris:kelly) 7-7]
jonah| Okay then I think Doris broke it| [person:jonah m 2-2][person:doris f 4-4]
harriet| Why do you think she did it| [person:harriet f 2-2][person:doris f 4-4]
jonah| I don t like her and I had trust issues with her| [person:jonah m 0-0][person:harriet f 4-4][person:jonah m 6-6][person:doris f 11-11]
harriet| Go and ask her about your laptop then| [person:doris f 3-3][person:jonah m 5-5]
jonah| Yeah I will go and ask her about it| [person:jonah m 1-1][person:doris f 6-6]

conv:task_oriented_1231_amt_184:aug_0:chat_0:chataug_0| cole emily| [person:cole m 0-0][person:emily f 1-1]
cole| Hi Emily are you free to talk now| [person:emily f 1-1][person:emily f 3-3]
emily| Hello Cole Yes I am free What is the matter| [person:cole m 1-1][person:emily f 3-3]
cole| I want to go out of town on a work trip so can you take of our children Issac and Khalil| [person:cole m 0-0][person:emily f 13-13][person:our g(cole:emily) 16-16][person:issac m 18-18][person:khalil m 20-20]
emily| Okay I remember that Issac has a science fair project due during that time He still needs to pick a topic| [person:emily f 1-1][person:issac m 4-4][person:issac m 14-14]
cole| Yes please guide him for his project| [person:issac m 3-3][person:issac m 5-5]
emily| Khalil will also have a cooking project You need to make sure the projects get completed| [person:khalil m 0-0][person:cole m 7-7]
cole| Okay I will do that Don t worry| [person:cole m 1-1]
emily| When are you going out of town on a work trip| [person:cole m 2-2][location:town s 6-6]
cole| I am going on Monday and will be back on Thursday please take care of the children| [person:cole m 0-0]
emily| Okay I will take care of them Don t worry| [person:emily f 1-1][person:them g(issac:khalil) 6-6]

conv:task_oriented_1231_amt_186:aug_0:chat_0:chataug_0| dan jason| [person:dan m 0-0][person:jason m 1-1]
jason| Hey Jason I want to make sure our daughters go to the best school in the neighborhood| [person:dan m 1-1][person:jason m 2-2][person:our g(jason:dan) 7-7][location:school s 13-13][location:neighborhood s 16-16]
dan| Hi Dan I agree with you Our girls are so intelligent they deserve the best| [person:jason m 1-1][person:dan m 2-2][person:jason m 5-5][person:our g(jason:dan) 6-6][person:girls g() 7-7][person:girls g() 11-11]
jason| Yeah I believe a rigorous academic curriculum is the most important aspect to a school| [person:jason m 1-1][location:school s 14-14]
dan| I don t deny that But a strong arts program is equally as crucial| [person:dan m 0-0]
jason| I agree with you on that An arts program will definitely make them better individuals| [person:jason m 0-0][person:dan m 3-3][person:girls g() 12-12]
dan| Glad you agree with me Have you looked into any schools yet| [person:jason m 1-1][person:dan m 4-4][person:jason m 6-6][location:schools g() 10-10]
jason| I haven t I thought we should talk to our daughters first and ask what they think is important for them| [person:jason m 0-0][person:jason m 3-3][person:our g(jason:dan) 5-5][person:our g(jason:dan) 9-9][person:girls g() 10-10][person:girls g() 15-15][person:girls g() 20-20]
dan| That sounds like a fair deal Let s check with them first before we make any decision| [person:girls g() 10-10][person:our g(jason:dan) 13-13]
jason| So they said that they would rather prefer to be homeschooled I didn t expect that at all| [person:girls g() 1-1][person:girls g() 4-4][person:jason m 11-11]
dan| Me too I do agree with them homeschool is a great option We have no idea what kind of stuff goes on in schools anyway| [person:dan m 0-0][person:dan m 2-2][person:girls g() 6-6][location:home_school s 7-7][person:our g(jason:dan) 12-12]

conv:task_oriented_1231_amt_187:aug_0:chat_0:chataug_0| henry julian| [person:henry m 0-0][person:julian m 1-1]
julian| Hey Henry What are you doing| [person:henry m 1-1][person:henry m 4-4]
henry| I m busy thinking about the block party Julian I don t understand what to do| [person:henry m 0-0][location:party s 7-7][person:julian m 8-8][person:henry m 9-9]
julian| We have to think something about block party or else it will be big mess| [person:we g(julian:henry) 0-0][location:party s 7-7][location:party s 10-10]
henry| I know but what shall we do We are only two of them and there s lots of work to do| [person:henry m 0-0][person:we g(julian:henry) 5-5][person:we g(julian:henry) 7-7][person:we g(julian:henry) 12-12]
julian| I think we get some help from our neighbours Cara and Lina to set it up| [person:julian m 0-0][person:we g(julian:henry) 2-2][person:we g(julian:henry) 7-7][person:cara f 9-9][person:lina f 11-11][location:party s 14-14]
henry| Yeah that is a great idea But do you think they ll assist us in organizing the party| [person:julian m 8-8][person:they g(cara:lina) 10-10][person:we g(julian:henry) 13-13][location:party s 17-17]
julian| Yeah I think they will be great asset in assisting| [person:julian m 1-1][person:they g(cara:lina) 3-3]
henry| Okay fine Can you please request them to assist us| [person:julian m 3-3][person:they g(cara:lina) 6-6][person:we g(julian:henry) 9-9]
julian| Yeah sure I will ask them and let you know| [person:julian m 2-2][person:they g(cara:lina) 5-5][person:henry m 8-8]
henry| Okay thanks a lot Julian| [person:julian m 4-4]

conv:task_oriented_1231_amt_188:aug_0:chat_0:chataug_0| edward sean| [person:edward m 0-0][person:sean m 1-1]
edward| Hi Sean Carrie and Sue have their birthdays in a week How about planning a surprise party for them| [person:sean m 1-1][person:carrie f 2-2][person:sue f 4-4][person:their g(carrie:sue) 6-6][location:surprise_party s 15-16][location:party s 16-16][person:their g(carrie:sue) 18-18]
sean| That is a good idea Edward I think they would like a night out at a fancy restaurant| [person:edward m 5-5][person:sean m 6-6][person:their g(carrie:sue) 8-8][location:restaurant s 17-17]
edward| No I think a night at home with all of our closest friends is how they d like to spend their birthday| [person:edward m 1-1][location:home s 6-6][person:our g(edward:sean:carrie:sue) 10-10][person:friends g() 12-12][person:their g(carrie:sue) 15-15][person:their g(carrie:sue) 20-20]
sean| That will be very boring Going to the restaurant is a better idea because they consider themselves foodies| [location:restaurant s 8-8][person:their g(carrie:sue) 14-14][person:their g(carrie:sue) 16-16]
edward| Yes but you already know that they don t like spending time outside| [person:sean m 2-2][person:their g(carrie:sue) 6-6]
sean| Then what do you suggest doing for their birthday| [person:edward m 3-3][person:their g(carrie:sue) 7-7]
edward| Okay let s disregard the surprise aspect| [person:we g(edward:sean) 2-2]
sean| Yeah we could just ask them what they d like to do for their birthday| [person:we g(edward:sean) 1-1][person:their g(carrie:sue) 5-5][person:their g(carrie:sue) 7-7][person:their g(carrie:sue) 13-13]
edward| Yeah this way they can spend their birthday the way they want| [person:their g(carrie:sue) 3-3][person:their g(carrie:sue) 6-6][person:their g(carrie:sue) 10-10]
sean| Great I ll ask them about it tomorrow| [person:sean m 1-1][person:their g(carrie:sue) 4-4]

conv:task_oriented_1231_amt_189:aug_0:chat_0:chataug_0| harrison zachary| [person:harrison m 0-0][person:zachary m 1-1]
zachary| Hey Harrison When shall we go out to the pub| [person:harrison m 1-1][person:we g(zachary:harrison) 4-4]
harrison| Let s go tonight by 9 pm|
zachary| Shall I invite our siblings Josh and Erica| [person:zachary m 1-1][person:we g(zachary:harrison) 3-3][person:josh m 5-5][person:erica f 7-7]
harrison| Absolutely not Do not invite them| [person:them g(josh:erica) 5-5]
zachary| Why can t they come along with us| [person:them g(josh:erica) 3-3][person:we g(zachary:harrison) 7-7]
harrison| Because Erica is too young and she s always glued to her boyfriend s side these days| [person:erica f 1-1][person:erica f 6-6][person:erica f 11-11]
zachary| Then why not Josh We can invite him at least| [person:josh m 3-3][person:we g(zachary:harrison) 4-4][person:josh m 7-7]
harrison| No Josh is not at all good at keeping secrets| [person:josh m 1-1]
zachary| Okay that means only we both are going to pub tonight| [person:we g(zachary:harrison) 4-4]
harrison| Yeah I ll meet you at 900| [person:harrison m 1-1][person:zachary m 4-4]

conv:task_oriented_1231_amt_190:aug_0:chat_0:chataug_0| pamela sophia| [person:pamela f 0-0][person:sophia f 1-1]
pamela| Sophia according to me Joe Biden has the best shots because he had been elected by most| [person:sophia f 0-0][person:sophia f 3-3][person:joe m 4-4][person:joe m 11-11]
sophia| I don t agree with you because now the nation is ready for a change| [person:sophia f 0-0][person:joe m 5-5]
sophia| People will rather love to have Elizabeth Warren as the next president| [person:elizabeth f 6-6]
pamela| Let s discuss with Steve and Damien about it| [person:steve m 4-4][person:damien m 6-6]
sophia| They will explain us the correct scenario as they are the most politically inclined person| [person:they g(joe:elizabeth:steve:damien) 0-0][person:us g(pamela:sophia) 3-3][person:they g(joe:elizabeth:steve:damien) 8-8]
pamela| I already asked them regarding this and waiting for the reply| [person:pamela f 0-0][person:they g(joe:elizabeth:steve:damien) 3-3]
pamela| I am sure that my thinking won t be wrong| [person:pamela f 0-0][person:pamela f 4-4]
sophia| Don t be overconfident Thoughts of people are changing nowadays|
pamela| They replied that they concur with your assessment as well| [person:they g(joe:elizabeth:steve:damien) 0-0][person:they g(joe:elizabeth:steve:damien) 3-3][person:pamela f 6-6]
sophia| Well I told you overconfidence is not good| [person:sophia f 1-1][person:pamela f 3-3]

