conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
michael| Let me know if I can help at all| [person:michael m 1-1][person:michael m 4-4]
johnny| Thanks a lot Michael| [person:michael m 3-3]

conv:people_2019082201_145:aug_0:chat_0:chataug_0| douglas dylan| [person:douglas m 0-0][person:dylan m 1-1]
dylan| I can t wait for poker night You better watch out because I ve been sharpening my skills| [person:dylan m 0-0][person:douglas m 7-7][person:dylan m 12-12][person:dylan m 16-16]
douglas| You wish Did you invite anyone else over to play| [person:douglas m 0-0][person:dylan m 3-3][person:anyone u 5-5]
dylan| Not yet I wanted to run some names by you first| [person:dylan m 2-2][person:douglas m 9-9]
douglas| I was thinking about asking Louis from work He s a pretty cool guy| [person:douglas m 0-0][person:louis m 5-5][person:louis m 8-8]
dylan| He seems alright How about Kevin and Wilson| [person:louis m 0-0][person:kevin m 5-5][person:wilson m 7-7]
douglas| I don t know man Last time we had a poker night Wilson got pretty mad about losing Remember the argument he started He accused us all of cheating| [person:douglas m 0-0][person:we g(dylan:douglas:wilson) 7-7][person:wilson m 12-12][person:wilson m 21-21][person:wilson m 23-23][person:us g(dylan:douglas) 25-25]
dylan| I totally forgot about that Yeah he was kind of a jerk that day| [person:dylan m 0-0][person:wilson m 6-6]
douglas| Do you know if Kevin gets along with Louis| [person:dylan m 1-1][person:kevin m 4-4][person:louis m 8-8]
dylan| I think they are fine Kevin said Louis was a cool guy| [person:dylan m 0-0][person:they g(louis:kevin) 2-2][person:kevin m 5-5][person:louis m 7-7]
douglas| Great I ll let Louis know and you can ask Kevin| [person:douglas m 1-1][person:louis m 4-4][person:dylan m 7-7][person:kevin m 10-10]
dylan| Will do Looking forward to it|

conv:people_2019082201_146:aug_0:chat_0:chataug_0| dan jose| [person:dan m 0-0][person:jose m 1-1]
jose| Hey man where should we watch the World Series game with Tyler and Juan| [person:we g(jose:dan) 4-4][person:tyler m 11-11][person:juan m 13-13]
dan| Could we find a bar to go watch it at Or a restaurant| [person:we g(jose:dan:tyler:juan) 1-1][location:bar s 4-4][location:restaurant s 12-12]
jose| Wouldn t it be easier to watch it at one of our houses| [person:we g(jose:dan:tyler:juan) 11-11][location:houses s 12-12]
dan| Yeah probably Whose house would work best|
jose| I was thinking we could watch the World Series at my place| [person:jose m 0-0][person:we g(jose:dan:tyler:juan) 3-3][person:jose m 10-10][location:place s 11-11]
dan| Don t I live more in the middle of everyone| [person:dan m 2-2][person:we g(jose:dan:tyler:juan) 9-9]
jose| Good point You want to host the watching party| [person:dan m 2-2]
dan| Yeah I ll have burgers hot dogs and cold beer| [person:dan m 1-1]
jose| Oh that sounds great See you then I guess| [person:dan m 5-5][person:jose m 7-7]
dan| Yup I ll have the barbeque on and ready See you guys then| [person:dan m 1-1][person:we g(jose:dan:tyler:juan) 10-10]

conv:people_2019082201_147:aug_0:chat_0:chataug_0| joyce lawrence| [person:joyce f 0-0][person:lawrence m 1-1]
lawrence| Ok remind me who all is coming for dinner tonight| [person:lawrence m 2-2]
joyce| We invited Deborah Alexis Jeremy and Timothy| [person:we g(lawrence:joyce) 0-0][person:deborah f 2-2][person:alexis f 3-3][person:jeremy m 4-4][person:timothy m 6-6]
lawrence| Thanks What are we planning to cook| [person:we g(lawrence:joyce) 3-3]
joyce| Let s just grill some burgers everyone likes those| [person:everyone g(lawrence:joyce:jeremy:alexis:deborah:timothy) 6-6]
lawrence| Easy enough Do we have everything we need or should i stop by the store| [person:we g(lawrence:joyce) 3-3][person:we g(lawrence:joyce) 6-6][person:lawrence m 10-10][location:store s 14-14]
joyce| Could you pick up some lettuce and tomato I think we have everything else| [person:lawrence m 1-1][person:joyce f 8-8][person:we g(lawrence:joyce) 10-10]
lawrence| Sure thing What about ice|
joyce| Oh you can never have too much ice Will you grab a bag| [person:lawrence m 1-1][person:lawrence m 9-9]
lawrence| Will do See you tonight| [person:joyce f 3-3]
joyce| Thanks for picking all that up|

conv:people_2019082201_148:aug_0:chat_0:chataug_0| bill joe| [person:bill m 0-0][person:joe m 1-1]
joe| Hey Bill it s good to see you man How you been| [person:bill m 1-1][person:bill m 7-7][person:bill m 10-10]
bill| Man good to see you I ve bee doing real good Just busy finishing up a work project but finally got it finished yesterday| [person:joe m 4-4][person:bill m 5-5]
joe| That s awesome Hey man we should celebrate Peter is coming over my house next weekend We re going to grill out and swim Why don t you and Tiffany come Are y all free next Saturday| [person:we g(joe:bill) 5-5][person:peter m 8-8][person:joe m 12-12][location:house s 13-13][person:we g(joe:peter) 16-16][person:bill m 27-27][person:tiffany f 29-29]
bill| I finally will have some free time on the weekends I m not sure about Tiffany Let me text her real quick and find out| [person:bill m 0-0][person:bill m 10-10][person:tiffany f 15-15][person:bill m 17-17][person:tiffany f 19-19]
joe| Alright sounds good I ve been drooling for some grilled Lobster I ll throw some steaks on there too It s going to be delicious| [person:joe m 3-3][person:joe m 11-11]
bill| You re making my mouth water man Tiffany texted and said she would be free after 5 pm next Saturday| [person:joe m 0-0][person:bill m 3-3][person:tiffany f 7-7][person:tiffany f 11-11]
joe| Alright that sounds great How about 7 pm|
bill| Sounds great Can we bring something Maybe a bottle of wine or dessert| [person:we g(bill:peter:tiffany) 3-3]
joe| Man you just bring whatever you like Surprise me| [person:bill m 1-1][person:bill m 5-5][person:joe m 8-8]
bill| You got it See you next Saturday| [person:joe m 0-0][person:joe m 4-4]

conv:people_2019082201_149:aug_0:chat_0:chataug_0| carol sophia| [person:carol f 0-0][person:sophia f 1-1]
carol| Hi Sophia We made it to Dallas finally| [person:sophia f 1-1][person:carol__michelle__marilyn g() 2-2][location:dallas s 6-6]
sophia| Great what are your plans| [person:carol__michelle__marilyn g(carol) 3-3]
carol| Not too sure Michelle and Marilyn like opposite things as you know| [person:michelle f 3-3][person:marilyn f 5-5][person:sophia f 10-10]
sophia| Yes I know Marilyn is more go with the flow see a museum while Michelle likes high energy| [person:sophia f 1-1][person:marilyn f 3-3][location:museum s 12-12][person:michelle f 14-14]
carol| You nailed it It is hard to find common ground with them| [person:sophia f 0-0][person:michelle__marilyn g(michelle:marilyn) 11-11]
sophia| What about a winery tour or a bike tour|
carol| That sounds like fun I know Michelle enjoys wine and may be okay with a leisurely afternoon if wine is involved| [person:carol f 4-4][person:michelle f 6-6]
sophia| That will be my selling point| [person:sophia f 3-3]
carol| Maybe there is a city tour or something that is bit faster paced for another day for Michelle| [location:city s 4-4][person:michelle f 17-17]
sophia| I agree something like that should be good| [person:sophia f 0-0]
carol| Wish you were with us though Thanks for the advice| [person:sophia f 1-1][person:carol__michelle__marilyn g(carol:michelle:marilyn) 4-4]

conv:people_2019082201_150:aug_0:chat_0:chataug_0| deborah phil| [person:deborah f 0-0][person:phil m 1-1]
phil| I wish to visit some casino Can you recommend me one| [person:phil m 0-0][location:casino s 5-5][person:deborah f 7-7][person:phil m 9-9]
deborah| I have been to some with Clyde and April recently I think one at the central park will be fine| [person:deborah f 0-0][person:clyde m 6-6][person:april f 8-8][person:deborah f 10-10][location:park s 16-16]
phil| What about the one near to the Central station| [location:station s 8-8]
deborah| That is not fine Some antisocials are always there| [location:station s 8-8]
phil| oh right is there any one near to the market I can also purchase something| [person:phil m 10-10]
deborah| There is one near to the post office there But it is very crowded always| [location:casino s 0-0][location:office s 7-7][location:casino s 10-10]
phil| Oh I hate much crowd| [person:phil m 1-1]
deborah| The one I mentioned first is the right one It is very lovely place| [person:deborah f 2-2][location:place s 13-13]
phil| Is it very crowded| [location:casino s 1-1]
deborah| No since it is located in a lonely place there is ample space for parking| [location:casino s 2-2][location:place s 8-8][location:casino s 9-9]

conv:people_2019082201_151:aug_0:chat_0:chataug_0| chris kimberly| [person:chris m 0-0][person:kimberly f 1-1]
chris| Hey Kimberly when were you wanting to go see Christian and Amber| [person:kimberly f 1-1][person:kimberly f 4-4][person:christian m 9-9][person:amber f 11-11]
kimberly| I m free any time after July 7th You| [person:kimberly f 0-0][person:chris m 8-8]
chris| July 29th would be the best day for me| [person:chris m 8-8]
kimberly| That would work for me as well What should we bring when we go| [person:kimberly f 4-4][person:we g(chris:kimberly) 9-9][person:we g(chris:kimberly) 12-12]
chris| I was thinking we should bring them a fruit basket It s been a while since we saw them last| [person:chris m 0-0][person:we g(chris:kimberly) 3-3][person:them g(christian:amber) 6-6][person:we g(chris:kimberly) 16-16][person:them g(christian:amber) 18-18]
kimberly| A fruit basket That s kind of lame How about pizza|
chris| Oh pizza sounds great We should have a picnic| [person:everyone g(chris:kimberly:christian:amber) 4-4]
kimberly| Only in the evening It ll be too hot there in the day time|
chris| That works for me Want me to drive then| [person:chris m 3-3][person:chris m 5-5]
kimberly| Yes that would be great|

conv:people_2019082201_152:aug_0:chat_0:chataug_0| jacqueline kathryn| [person:jacqueline f 0-0][person:kathryn f 1-1]
jacqueline| Hey Kath have you invited anyone to help with the Sunday party| [person:kathryn f 3-3][person:anyone u 5-5]
kathryn| Not anyone beyond Carolyn Victoria and Samantha which we already invited| [person:anyone u 1-1][person:carolyn f 3-3][person:victoria f 4-4][person:samantha f 6-6][person:we g(jacqueline:kathryn) 8-8]
jacqueline| Ok that s fine by me just want to know how many hands we ll have| [person:jacqueline f 5-5][person:we g(jacqueline:kathryn) 13-13]
kathryn| Speaking of which what do you think we need| [person:jacqueline f 5-5][person:we g(jacqueline:kathryn) 7-7]
jacqueline| We already have the foods and drinks ready right| [person:we g(jacqueline:kathryn) 0-0]
kathryn| For the most part but I don t think we got a proper nonalcoholic drink| [person:kathryn f 5-5][person:we g(jacqueline:kathryn) 9-9]
kathryn| We re also counting on have everyone bring some sort of food so| [person:we g(jacqueline:kathryn) 0-0][person:anyone u 6-6]
jacqueline| Ok I ll grab some sodas tomorrow| [person:jacqueline f 1-1]
kathryn| Should anyone bring something else besides food| [person:anyone u 1-1]
jacqueline| Nah I think we re good We should be all set even if they don t bring anything| [person:jacqueline f 1-1][person:we g(jacqueline:kathryn) 3-3][person:we g(jacqueline:kathryn) 6-6][person:they g(carolyn:victoria:samantha) 13-13]
jacqueline| Even if half of them don t bring food we should have enough| [person:they g(carolyn:victoria:samantha) 4-4][person:we g(jacqueline:kathryn) 9-9]
kathryn| True And if we re short we can just order fast food or something| [person:we g(jacqueline:kathryn) 3-3][person:we g(jacqueline:kathryn) 6-6]
jacqueline| Yeah that s fine I think See you later| [person:jacqueline f 4-4][person:kathryn f 7-7]
kathryn| Bye|

conv:people_2019082201_154:aug_0:chat_0:chataug_0| craig ivan| [person:craig m 0-0][person:ivan m 1-1]
ivan| Hey Craig Are we still meeting next week to play soccer| [person:craig m 1-1][person:we g(ivan:craig) 3-3]
craig| YES I m super pumped about it Doug said he can only make it after 6pm because of work| [person:craig m 1-1][person:doug m 7-7][person:doug m 9-9]
ivan| That s fine I like to play when the sun is going down anyway Where are we playing then The courts that we usually play will be closed| [person:ivan m 3-3][person:we g(ivan:craig:doug) 16-16][person:we g(ivan:craig:doug) 22-22]
craig| We could play at my place or the park downtown or maybe James place| [person:we g(ivan:craig:doug) 0-0][person:craig m 4-4][location:place s 5-5][location:park s 8-8][location:downtown s 9-9][person:james m 12-12][location:place s 13-13]
ivan| Either works for me I ll reach out to the guys and see what they d prefer| [person:ivan m 3-3][person:ivan m 4-4][person:they g(doug:james) 14-14]
craig| Sounds good I just wanted to check because I know James place is a bit far for you| [person:craig m 2-2][person:craig m 8-8][person:james m 10-10][location:place s 11-11][person:ivan m 17-17]
ivan| Yeah but i m down I just wanted to hand out with you guys before school starts back| [person:ivan m 2-2][person:ivan m 5-5][person:we g(ivan:craig:doug:james) 12-12][location:school s 15-15]
craig| Yeah James said his place has lights on the fields so I think thats where we should go| [person:james m 1-1][person:james m 3-3][location:place s 4-4][person:craig m 11-11][person:we g(ivan:craig:doug:james) 15-15]
ivan| Sweet I guys i ll see you guys then Be prepared to lose| [person:ivan m 1-1][person:ivan m 3-3][person:we g(ivan:craig:doug:james) 6-6]
