conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
danielle| I can t be contacting men in the middle of the night What kind of girl do you think I am| [person:danielle f 0-0][person:men m 5-5][person:pierre m 17-17][person:danielle f 19-19]
pierre| You contacted me I m a man| [person:danielle f 0-0][person:pierre m 2-2][person:pierre m 3-3]
danielle| Of course you are You are a heroic man And you can see that this damsel is in distress So hop to it Superman Lois Lane is in trouble here| [person:pierre m 2-2][person:pierre m 10-10][person:danielle f 24-24]
pierre| I always thought of myself more as an Ironman sortofguy| [person:pierre m 0-0][person:pierre m 4-4]
danielle| Fine Slap on you metal tights and get busy Ironman It s question number 5| [person:pierre m 3-3]
pierre| Here I go to save the day| [person:pierre m 1-1]
danielle| My hero| [person:danielle f 0-0]
pierre| Oh rats I forgot I left my laptop at school in my locker How am I gonna contact the teacher| [person:pierre m 2-2][person:pierre m 4-4][person:pierre m 6-6][location:school s 9-9][person:pierre m 11-11][person:pierre m 15-15]
danielle| My hero genius apparently doesn t remember that he has a cellphone in his hand This heroic task is not starting out so well Ironman| [person:danielle f 0-0][person:pierre m 8-8][person:pierre m 13-13]
pierre| Just building a little drama into the story|

conv:people_chats_0520_129:aug_0:chat_0:chataug_0| chad patricia| [person:chad m 0-0][person:patricia f 1-1]
patricia| Shall we start to the airport| [person:we g(patricia:chad) 1-1][location:airport s 5-5]
chad| We have more time for landing lets go later| [person:we g(patricia:chad) 0-0]
patricia| We need to go early for the airport to pick up our friends Justin and Jessica| [person:we g(patricia:chad) 0-0][location:airport s 7-7][person:we g(patricia:chad) 11-11][person:friends g() 12-12][person:justin m 13-13][person:jessica f 15-15]
patricia| Jessica will be frustrated if we are late for the pick up| [person:jessica f 0-0][person:we g(patricia:chad) 5-5]
patricia| so we have to start very early| [person:we g(patricia:chad) 1-1]
chad| Patricia you are overthinking it| [person:patricia f 0-0][person:patricia f 1-1]
chad| Justin and Jessica will likely be late| [person:justin m 0-0][person:jessica f 2-2]
chad| Because they have so much luggage with them| [person:friends g(justin:jessica) 1-1][person:friends g(justin:jessica) 7-7]
chad| So we can start late from home| [person:we g(patricia:chad) 1-1][location:home s 6-6]
chad| Don t worry|
patricia| ok chad| [person:chad m 1-1]
patricia| Lets check the flight status and plan according to that|

conv:people_chats_0520_130:aug_0:chat_0:chataug_0| julie sebastian| [person:julie f 0-0][person:sebastian m 1-1]
sebastian| Let s talk about our city helicopter tour| [person:our g(sebastian:julie) 4-4][location:city s 5-5]
julie| Okay What do we need to discuss| [person:our g(sebastian:julie) 3-3]
sebastian| We need to pick a package deal I m looking at the premium package| [person:our g(sebastian:julie) 0-0][person:sebastian m 7-7]
julie| That sounds expensive|
sebastian| It is but it is so nice and luxurious|
julie| We need to stick within our budget| [person:our g(sebastian:julie) 0-0][person:our g(sebastian:julie) 5-5]
sebastian| If you say so| [person:julie f 1-1]
julie| Budget doesn t have to be bad My friends Ryan and Gigi took a helicopter tour last year| [person:julie f 7-7][person:friends g() 8-8][person:ryan m 9-9][person:gigi f 11-11]
sebastian| Yeah I remember you mentioning that| [person:sebastian m 1-1][person:julie f 3-3]
julie| They got a really good deal and said that the tour was really nice| [person:friends g(ryan:gigi) 0-0]
sebastian| Is that so|
julie| Yeah They gave me the link for the website where they got the tickets| [person:friends g(ryan:gigi) 1-1][person:julie f 3-3][person:friends g(ryan:gigi) 10-10]
sebastian| Sound good but that website sounds sketchy Are you sure it s safe| [person:julie f 8-8]
julie| Yeah they had no problems with it| [person:friends g(ryan:gigi) 1-1]
sebastian| Okay we ll look into it| [person:our g(sebastian:julie) 1-1]

conv:people_chats_0520_132:aug_0:chat_0:chataug_0| scotty tommy| [person:scotty m 0-0][person:tommy m 1-1]
tommy| Hey should we get lunch before or after the beach| [person:we g(tommy:scotty) 2-2][location:beach s 9-9]
scotty| Uh maybe before Destiny is coming right after school so she will be hungry| [person:destiny f 3-3][location:school s 8-8][person:destiny f 10-10]
tommy| Oh ok Mackenzie doesn t want to swim on a full stomach| [person:destiny f 2-2]
tommy| So maybe we can get a snack for Destiny| [person:we g(tommy:scotty) 2-2][person:destiny f 8-8]
scotty| Yeah or we could eat something light| [person:we g(tommy:scotty:destiny) 2-2]
tommy| Like a salad What is light lol|
scotty| Yeah lol|
scotty| Nah we can just pack some snacks for Destiny| [person:we g(tommy:scotty) 1-1][person:destiny f 8-8]
tommy| Bet|
scotty| You want me to get anything for you and Mackenzie| [person:tommy m 0-0][person:scotty m 2-2][person:tommy m 7-7][person:destiny f 9-9]
tommy| Yeah maybe some chips and drink|
tommy| Um does a sandwhich place sound good| [location:place s 4-4]
scotty| Yeah and we can figure out where after the beach| [person:we g(tommy:scotty:destiny) 2-2][location:beach s 9-9]

conv:people_chats_0520_134:aug_0:chat_0:chataug_0| asher bella| [person:asher m 0-0][person:bella f 1-1]
asher| Are you excited to go on the ski trip| [person:bella f 1-1]
bella| Yes I am very excited| [person:bella f 1-1]
asher| You know who we should invite| [person:bella f 0-0][person:we g(asher:bella) 3-3]
bella| Who|
asher| Thomas and Claire We would make a good group| [person:thomas m 0-0][person:claire f 2-2][person:group_ g(asher:bella:thomas:claire) 3-3]
bella| I think that s a great idea They both like to ski| [person:bella f 0-0][person:they g(thomas:claire) 7-7]
asher| I will ask them now if they want to come| [person:asher m 0-0][person:they g(thomas:claire) 3-3][person:they g(thomas:claire) 6-6]
bella| Let me know what they say| [person:bella f 1-1][person:they g(thomas:claire) 4-4]
asher| They said yes| [person:they g(thomas:claire) 0-0]
bella| I am happy to hear that| [person:bella f 0-0]
asher| I will book the rooms now| [person:asher m 0-0]
bella| I can t wait| [person:bella f 0-0]

conv:people_chats_0520_135:aug_0:chat_0:chataug_0| donald ria| [person:donald m 0-0][person:ria f 1-1]
ria| Hey Donald did you hear how rude Abigail was to me| [person:donald m 1-1][person:donald m 3-3][person:abigail f 7-7][person:ria f 10-10]
donald| What do you mean| [person:ria f 2-2]
ria| The way that she just expected me to to pick up food for her when I went out for lunch| [person:abigail f 3-3][person:ria f 6-6][person:abigail f 13-13][person:ria f 15-15]
donald| I don t think Abigail was being rude to you She just asked if you would since you were already going out and she was working| [person:donald m 0-0][person:abigail f 4-4][person:ria f 9-9][person:abigail f 10-10][person:ria f 14-14][person:ria f 17-17][person:abigail f 23-23]
ria| What do you mean Oh because she has to work on a big project from the boss come on she was entitled and you know it| [person:donald m 2-2][person:abigail f 6-6][person:abigail f 19-19][person:donald m 23-23]
donald| Well she didn t really have a choice and that project has a pretty short deadline Besides she is the only one who has the qualifications to do it| [person:abigail f 1-1][person:abigail f 17-17]
ria| Well I m not the only one who thinks she is rude| [person:ria f 1-1][person:abigail f 9-9]
donald| What do you mean| [person:ria f 2-2]
ria| Isabella thinks the same thing| [person:isabella f 0-0]
donald| Why|
ria| Because Isabella saw her staying late at work four times last week| [person:isabella f 1-1][person:abigail f 3-3]
donald| So what is the problem|
ria| Isn t it obvious Isabella and I both agree she wants that promotion and is sucking up to the boss| [person:isabella f 4-4][person:ria f 6-6][person:abigail f 9-9]

conv:people_chats_0520_137:aug_0:chat_0:chataug_0| nicholas vince| [person:nicholas m 0-0][person:vince m 1-1]
vince| the wine tasting will be fun|
nicholas| when should we go| [person:nic_vince g(vince:nicholas) 2-2]
nicholas| i think saturday next week| [person:nicholas m 0-0]
vince| yeah sounds great|
vince| we shoudl book hotesl to stay the weekend| [person:nic_vince g(vince:nicholas) 0-0][location:hotesl s 3-3]
vince| and come back home on monday| [location:home s 3-3]
nicholas| we can take my car| [person:nic_vince g(vince:nicholas) 0-0][person:nicholas m 3-3]
nicholas| i think it will be sunny and nice that weekend| [person:nicholas m 0-0]
vince| erin and trish will be really excited| [person:erin f 0-0][person:trish f 2-2]
nicholas| yeah hopefully they will liek that we chose dripping springs| [person:erin_trish g(erin:trish) 2-2][person:nic_vince g(vince:nicholas) 6-6]
vince| yeah dripping springs is great|
nicholas| see you then| [person:vince m 1-1]

conv:people_chats_0520_139:aug_0:chat_0:chataug_0| colleen liam| [person:colleen f 0-0][person:liam m 1-1]
colleen| Hey Liam did you here about aunt Bridget and uncle Geoffrey They went to Greece on a vacation Jealous| [person:liam m 1-1][person:liam m 3-3][person:aunt_bridget f 6-7][person:uncle_geoffrey m 9-10][person:uncle_geoffrey m 10-10][person:they g() 11-11]
liam| I did hear that yeah| [person:liam m 0-0]
liam| Don t be too jealous though With all this Coronavirus and lockdown happening travelling is a nightmare|
colleen| Yeah I didn t think of that I couldn t imagine taking a plane anywhere especially overseas| [person:colleen f 1-1][person:colleen f 7-7]
colleen| But it does make me think When this coronavirus is all over we should take a vacation too It would be good to get out of the house after all this time| [person:colleen f 4-4][person:we g(colleen:liam) 12-12]
liam| That s actually a great idea Where do you want to go| [person:colleen f 8-8]
liam| We could go to Greece like Uncle Geoffrey and Aunt Bridget| [person:we g(colleen:liam) 0-0][location:greece s 4-4][person:uncle_geoffrey m 6-7][person:uncle_geoffrey m 7-7][person:aunt_bridget f 9-10]
colleen| Maybe yeah|
colleen| Let s wait till they get back to hear how it went If they had a good time there it should totally be our destination as well| [person:they g() 4-4][person:they g() 13-13][location:greece s 18-18][person:we g(colleen:liam) 23-23]
liam| Yeah that sounds good If they didn t like Greece then where should we go| [person:they g() 5-5][location:greece s 9-9][person:we g(colleen:liam) 13-13]
colleen| Hmm I m not sure Let s both think about it over night and see what we come up with tomorrow| [person:colleen f 1-1][person:we g(colleen:liam) 16-16]
liam| Sounds good TTYL|

conv:people_chats_0520_142:aug_0:chat_0:chataug_0| evan owen| [person:evan m 0-0][person:owen m 1-1]
owen| hey buddy did you ask about movie suggestions| [person:evan m 1-1][person:evan m 3-3]
evan| yeah buddy i talked to elliot| [person:owen m 1-1][person:evan m 2-2][person:elliot m 5-5]
evan| he had quite an interesting approach| [person:elliot m 0-0]
evan| he saidd comic based ovies would be more entertaining| [person:elliot m 0-0]
evan| he said we could start with the joker or spiderman| [person:elliot m 0-0][person:we g(owen:evan:elliot) 2-2]
owen| thats cool|
owen| i talked to harvey he said their is a new pirates movie that just launched| [person:owen m 0-0][person:harvey m 3-3][person:harvey m 4-4]
owen| he really recommended it saying it was the greatest show of all times| [person:harvey m 0-0]
evan| so were still stuck on the decision again|
evan| atleast now we have options to choose from| [person:we g(owen:evan:elliot) 2-2]
evan| which do you think we should work with| [person:owen m 2-2][person:we g(owen:evan:elliot) 4-4]
owen| lets watch the trailers for all the three|
owen| then we can decide after that| [person:we g(owen:evan:elliot) 1-1]
evan| yeah thats cool|
evan| text me a feedback in the next 10mins then| [person:owen m 1-1]
owen| sure buddy| [person:evan m 1-1]

conv:people_chats_0520_144:aug_0:chat_0:chataug_0| logan wyatt| [person:logan m 0-0][person:wyatt m 1-1]
logan| Hey buddy Happy New Year Any plans for a New Year s resolution| [person:wyatt m 1-1]
wyatt| Same to you Yara and I decided we need some more exercise We are going to go on 52 hikes over the year| [person:logan m 2-2][person:yara f 3-3][person:wyatt m 5-5][person:we g(wyatt:yara) 7-7][person:we g(wyatt:yara) 12-12]
logan| Wow that s a big goal|
wyatt| All Yara s idea She has to do all of the planning| [person:yara f 1-1][person:yara f 4-4]
logan| Audrey is planning on going back to the gym to lose the weight she gained with the baby I should probably join her| [person:audrey f 0-0][location:gym s 8-8][person:audrey f 13-13][person:logan m 18-18][person:audrey f 22-22]
wyatt| You can always join us on our hikes| [person:logan m 0-0][person:we g(wyatt:yara) 4-4][person:we g(wyatt:yara) 6-6]
logan| I might take you up on that offer Have to see if Audrey wants me at the gym with her or not| [person:logan m 0-0][person:wyatt m 3-3][person:audrey f 12-12][person:logan m 14-14][location:gym s 17-17][person:audrey f 19-19]
wyatt| Sounds good Let me know| [person:wyatt m 3-3]
logan| Will do|
logan| Talk to you soon| [person:wyatt m 2-2]
wyatt| Nice talking to you| [person:logan m 3-3]
