conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
rachel| Pheww great I am somewhat relieved So what do we buy him| [person:rachel f 2-2][person:we g(eric:rachel) 9-9][person:sam m 11-11]
eric| Oh we will get him a nice gaming console| [person:we g(eric:rachel) 1-1][person:sam m 4-4]
rachel| Cool Love you honey| [person:eric m 2-2]
eric| Love you too sweetie| [person:rachel f 1-1]

conv:people_0917_2145_43:aug_0:chat_0:chataug_0| sara wilson| [person:sara f 0-0][person:wilson m 1-1]
sara| Hey I ve been meaning to cook dinner for you soon How s Friday| [person:sara f 1-1][person:wilson m 9-9]
wilson| Friday s not great I was planning to go to the bar with Jason| [person:wilson m 4-4][location:bar s 11-11][person:jason m 13-13]
sara| Oh I d love to catch up with Jason Maybe we could invite him to dinner instead| [person:sara f 1-1][person:jason m 8-8][person:we g(sara:wilson) 10-10][person:jason m 13-13]
wilson| That might be awkward with three of us| [person:us g(sara:wilson:jason) 7-7]
sara| We ll invite Amelie as well Then it won t be awkward| [person:we g(sara:wilson) 0-0][person:amelie f 3-3]
wilson| I guess that could work We can t stay late though I still want to go to the bar| [person:wilson m 0-0][person:we g(sara:wilson:jason:amelie) 5-5][person:wilson m 11-11][location:bar s 18-18]
sara| That would work Dinner around 6|
wilson| I ll check with Jason| [person:wilson m 0-0][person:jason m 4-4]
sara| And I ll check with Amelie| [person:sara f 1-1][person:amelie f 5-5]
wilson| Jason says he s in See you at 6| [person:jason m 0-0][person:jason m 2-2][person:sara f 6-6]

conv:people_0917_2145_44:aug_0:chat_0:chataug_0| andrea leslie| [person:andrea f 0-0][person:leslie f 1-1]
andrea| Hello Leslie What are your plans for the weekend| [person:leslie f 1-1][person:leslie f 4-4]
leslie| Nothing much I thought I d go to the mall I need a new pair of shoes| [person:leslie f 2-2][person:leslie f 4-4][location:mall s 9-9][person:leslie f 10-10]
andrea| I need to get a present It s Mary s Birthday I may join you| [person:andrea f 0-0][person:mary f 8-8][person:andrea f 11-11][person:leslie f 14-14]
leslie| We should definitely go together then This is going to be so exciting| [person:we g(andrea:leslie) 0-0]
andrea| The thing is I don t have much money at the moment| [person:andrea f 3-3]
leslie| I am happy to offer you a ride I will even buy you icecream if you help me find a good pair of shoes| [person:leslie f 0-0][person:andrea f 5-5][person:leslie f 8-8][person:andrea f 12-12][person:andrea f 15-15][person:leslie f 17-17]
andrea| It does sound like fun I will definitely join you if Mary agrees to come to mall too| [location:mall s 0-0][person:andrea f 5-5][person:leslie f 9-9][person:mary f 11-11][location:mall s 16-16]
leslie| Yeah that sounds even more exciting Keep me informed on Mary s situation| [person:leslie f 7-7][person:mary f 10-10]
andrea| She has agreed to come See you in the weekend then| [person:mary f 0-0][person:leslie f 6-6]
leslie| This is great It s been a while that we spent quality time with each other See you soon| [person:we g(andrea:leslie) 9-9][person:andrea f 17-17]

conv:people_0917_2145_46:aug_0:chat_0:chataug_0| eduardo gerald| [person:eduardo m 0-0][person:gerald m 1-1]
eduardo| Have you decided which school you want to attend| [person:gerald m 1-1][location:school s 4-4][person:gerald m 5-5]
gerald| No it is so frustrating but I have finally confirmed my major| [location:school s 1-1][person:gerald m 6-6][person:gerald m 10-10]
eduardo| At least that is one down What did you decide| [person:gerald m 8-8]
gerald| My major will be civil engineering| [person:gerald m 0-0]
eduardo| That is great My friend Christina has the same major and has really researched schools| [person:eduardo m 3-3][person:christina f 4-4][person:christina f 5-5][location:school g() 14-14]
gerald| Wow I didn t know she was interested in the same field She may be a good resource| [person:gerald m 1-1][person:christina f 5-5][person:christina f 12-12]
eduardo| She would be a great source of information You should reach out to her for sure| [person:christina f 0-0][person:gerald m 8-8][person:christina f 13-13]
gerald| That would be great if you think she would be open to talking about it| [person:eduardo m 5-5][person:christina f 7-7]
eduardo| Absolutely let me get her contact information for you| [person:eduardo m 2-2][person:christina f 4-4][person:gerald m 8-8]
gerald| Thank you very much| [person:eduardo m 1-1]

conv:people_0917_2145_47:aug_0:chat_0:chataug_0| margaret rose| [person:margaret f 0-0][person:rose f 1-1]
rose| I can t believe it s almost time to go see the show I m so excited| [person:rose f 0-0][location:show s 12-12][person:rose f 13-13]
margaret| Me too I can t wait to see those boys up close| [person:margaret f 0-0][person:margaret f 2-2][person:boys g() 9-9]
rose| It s going to be so much fun The Housemakers always put on an amazing show|
margaret| They really do They are simply amazing on stage| [person:boys g() 0-0][person:boys g() 3-3][location:stage s 8-8]
rose| So true Who do you like best| [person:margaret f 4-4]
margaret| You know I have a thing for drummers so I really like Dave| [person:rose f 0-0][person:margaret f 2-2][person:margaret f 9-9][person:dave m 12-12]
rose| You could probably already guess but I m partial to Lawrence It s those amazing outfits that he wears| [person:margaret f 0-0][person:rose f 6-6][person:lawrence m 10-10][person:lawrence m 17-17]
margaret| Those are so great Hey did you hear that apparently there was some trouble recently between the 2 of them| [person:rose f 6-6][person:boys g(dave:lawrence) 19-19]
rose| Yeah I heard something about some fight backstage between the 2 of them But I m assuming that It s not as big a deal as people are making it out to be| [person:rose f 1-1][location:backstage s 7-7][person:boys g(dave:lawrence) 12-12][person:rose f 14-14]
margaret| I hope not I hate to think there s trouble in paradise| [person:margaret f 0-0][person:margaret f 3-3][location:paradise s 11-11]
rose| Hopefully not|
margaret| I meant to ask you could I get a ride from you to the show| [person:margaret f 0-0][person:rose f 4-4][person:margaret f 6-6][person:rose f 11-11][location:show s 14-14]
rose| Of course I was assuming we would go together| [person:rose f 2-2][person:we g(rose:margaret) 5-5]

conv:people_0917_2145_50:aug_0:chat_0:chataug_0| sara tara| [person:sara f 0-0][person:tara f 1-1]
sara| Hi Tara what s up today| [person:tara f 1-1]
tara| Walter got into a fight with Megan| [person:walter m 0-0][person:megan f 6-6]
sara| What did he and Mom fight about| [person:walter m 2-2][person:mom f 4-4]
tara| Walter asked if he could go out for some snacks at 10 PM Mom said it was too late to take the car| [person:walter m 0-0][person:walter m 3-3][person:mom f 13-13]
sara| At 10 PM That s not that late|
tara| He went anyway and now he is in trouble with her| [person:walter m 0-0][person:walter m 5-5][person:mom f 10-10]
sara| Mom is way too strict| [person:mom f 0-0]
tara| Should we try to help| [person:we g(sara:tara) 1-1]
sara| Yeah I think I will call Walter and you can call Garry how does that sound| [person:sara f 1-1][person:sara f 3-3][person:walter m 6-6][person:tara f 8-8][person:garry m 11-11]
tara| Sounds like a plan I ll go call Dad| [person:tara f 4-4][person:dad m 8-8]

conv:people_0917_2145_51:aug_0:chat_0:chataug_0| cynthia elizabeth| [person:cynthia f 0-0][person:elizabeth f 1-1]
elizabeth| So Samuel really got into it with Mom yesterday| [person:samuel m 1-1][person:mom f 7-7]
cynthia| Why what happened|
elizabeth| Sam wanted to go to the movies with his friends but Mom said no because he still hadn t done his chores from the beginning of the week| [person:samuel m 0-0][person:samuel m 8-8][person:friends g() 9-9][person:mom f 11-11][person:samuel m 15-15][person:samuel m 20-20]
cynthia| That seems kind of extreme of her| [person:mom f 6-6]
elizabeth| Yes she s trying to get him to be more responsible and he s getting more and more unreliable| [person:mom f 1-1][person:samuel m 6-6][person:samuel m 12-12]
cynthia| He s still so young I wish she would give him a break| [person:samuel m 0-0][person:cynthia f 5-5][person:mom f 7-7][person:samuel m 10-10]
elizabeth| Yes well she wishes he would grow up a bit He is definitely taking advantage of his babyofthefamily status| [person:mom f 2-2][person:samuel m 4-4][person:samuel m 10-10][person:samuel m 16-16]
cynthia| I suppose He s such a sweet kid though I know he doesn t mean to be bad| [person:cynthia f 0-0][person:samuel m 2-2][person:cynthia f 9-9][person:samuel m 11-11]
elizabeth| I m sure he doesn t I think they both need to give each other a break He needs to grow up a bit and she needs to calm down a bit| [person:elizabeth f 0-0][person:samuel m 3-3][person:elizabeth f 6-6][person:they g(samuel:mom) 8-8][person:samuel m 17-17][person:mom f 25-25]
cynthia| I m not sure if we should get involved or not| [person:cynthia f 0-0][person:we g(elizabeth:cynthia) 5-5]
elizabeth| Well I ll talk to Dad and see what he thinks He s good in situations like these| [person:elizabeth f 1-1][person:dad m 5-5][person:dad m 9-9][person:dad m 11-11]
cynthia| And I ll talk to Samuel see if I can get him to apologize to Mom| [person:cynthia f 1-1][person:samuel m 5-5][person:cynthia f 8-8][person:samuel m 11-11][person:mom f 15-15]

conv:people_0917_2145_54:aug_0:chat_0:chataug_0| gerald kathryn| [person:gerald m 0-0][person:kathryn f 1-1]
kathryn| Hey Gerald Do you have any nice plan for this Weekend| [person:gerald m 1-1][person:gerald m 3-3]
gerald| Nothing for now But we have to discuss about it now What do you think about a Cinema and dinner| [person:we g(kathryn:gerald) 4-4][location:dinner s 9-9][person:kathryn f 13-13][location:dinner s 19-19]
kathryn| That is good but Oh now only I remember that our son Carl is invited by his friend Christina for her birthday party| [person:kathryn f 7-7][person:we g(kathryn:gerald) 10-10][person:carl m 12-12][person:carl m 16-16][person:christina f 17-17][person:christina f 18-18][person:christina f 20-20]
gerald| Oh is it so Then what do we do now Are you going to that party along with him| [location:dinner s 2-2][person:we g(kathryn:gerald) 7-7][person:kathryn f 11-11][person:carl m 18-18]
kathryn| Still I have to plan for it But we also want to buy some nice present for her| [person:kathryn f 1-1][location:dinner s 6-6][person:we g(kathryn:gerald) 8-8][person:christina f 17-17]
gerald| Tell me whether Christina s parents Gabriel and Rebecca invited both of us for this party| [person:gerald m 1-1][person:christina f 3-3][person:parents g() 5-5][person:gabriel m 6-6][person:rebecca f 8-8][person:we g(kathryn:gerald) 12-12]
kathryn| Yes as they are our neighbors they have to invite us you know| [person:parents g(gabriel:rebecca) 2-2][person:we g(kathryn:gerald) 4-4][person:parents g(gabriel:rebecca) 5-5][person:parents g(gabriel:rebecca) 6-6][person:we g(kathryn:gerald) 10-10][person:gerald m 11-11]
gerald| But I can t come to the party as I have some work on that time| [person:gerald m 1-1][person:gerald m 9-9]
kathryn| Okay do one thing Now you are free then you go and purchase nice present for her and I will attend the party with our son| [person:gerald m 5-5][person:gerald m 9-9][person:christina f 16-16][person:kathryn f 18-18][person:we g(kathryn:gerald) 24-24]
gerald| That is best Idea and I will do it Thank you| [person:gerald m 5-5][location:dinner s 8-8][person:kathryn f 10-10]

conv:people_0917_2145_55:aug_0:chat_0:chataug_0| jeff lauren| [person:jeff m 0-0][person:lauren f 1-1]
lauren| Hey Jeff I m glad I caught you I wanted to touch base with you about how you were coming along on the new song| [person:jeff m 1-1][person:lauren f 2-2][person:lauren f 5-5][person:jeff m 7-7][person:lauren f 8-8][person:jeff m 14-14][person:jeff m 17-17]
jeff| Yeah I was wanting to let you know I had some new lyrics for it and thought we should go over them| [person:jeff m 1-1][person:lauren f 6-6][person:jeff m 8-8][person:we g(lauren:jeff) 17-17]
lauren| Yes we need to get with Doug and Karen too| [person:we g(lauren:jeff) 1-1][person:doug m 6-6][person:karen f 8-8]
jeff| Sure do some time this week for sure|
lauren| Between you and I Darren needs to get it together with his base guitar on that song He s really lacking on it| [person:jeff m 1-1][person:lauren f 3-3][person:darren m 4-4][person:darren m 11-11][person:darren m 17-17]
jeff| I noticed that too But in his defense Karen s plan drums aren t in tune with the style of song Her beats are more fit for a slower and melodramatic style which isn t what we need| [person:jeff m 0-0][person:darren m 6-6][person:karen f 8-8][person:karen f 21-21][person:we g(lauren:jeff) 36-36]
lauren| You re right We need her to have a faster pace with a large degree more of pep in it| [person:jeff m 0-0][person:we g(lauren:jeff) 3-3][person:karen f 5-5]
jeff| Well we can address all that when we have our practice| [person:we g(lauren:jeff) 1-1][person:we g(lauren:jeff) 7-7][person:we g(lauren:jeff) 9-9]
lauren| I can t Thursday I have a dentist appointment and dinner with the parents But I ll check with Doug and Karen to see when their schedule is open| [person:lauren f 0-0][person:lauren f 4-4][person:parents g() 13-13][person:lauren f 15-15][person:doug m 19-19][person:karen f 21-21][person:their g(doug:karen) 25-25]
jeff| Okay I believe I can make it work when you guys can| [person:jeff m 1-1][person:jeff m 3-3][person:lauren f 9-9]
lauren| Great I ll let you know what day when I find out from them See ya| [person:lauren f 1-1][person:jeff m 4-4][person:lauren f 9-9][person:their g(doug:karen) 13-13]
