conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
cynthia| How about Italy or Belgium They are very famous| [location:italy s 2-2][location:belgium s 4-4]
jason| Or we could ask mom and dad where to go because they ve been to Europe many times| [person:we g(jason:cynthia) 1-1][person:mom f 4-4][person:dad m 6-6][person:they g(mom:dad) 11-11][location:europe s 15-15]
cynthia| I spoke to them they suggested to go to Spain| [person:cynthia f 0-0][person:them g(mom:dad) 3-3][person:they g(mom:dad) 4-4][location:spain s 9-9]
jason| But don t you think England will be more fun| [person:cynthia f 3-3][location:england s 5-5]
cynthia| Yeah I agree We should spend some time in England| [person:cynthia f 1-1][person:we g(jason:cynthia) 3-3][location:england s 9-9]
jason| Alright let s visit both England and Spain| [location:england s 5-5][location:spain s 7-7]
cynthia| Yeah that s sounds great I m very excited for the trip| [person:cynthia f 5-5]

conv:people_chats_04182020_553:aug_0:chat_0:chataug_0| andrew denise| [person:andrew m 0-0][person:denise f 1-1]
denise| Hey Andrew I ll be arriving to the bus station today at 300 pm Where do you want me to wait for you there| [person:andrew m 1-1][person:denise f 2-2][location:station s 9-9][person:andrew m 16-16][person:denise f 18-18][person:andrew m 22-22]
andrew| I m really sorry Denise I completely forgot about that I am stuck at work and I won t be able to make it| [person:andrew m 0-0][person:denise f 4-4][person:andrew m 5-5][person:andrew m 10-10][person:andrew m 16-16]
denise| Oh that s alright I should ve reminded you yesterday I ll figure it out myself once I reach the station| [person:denise f 4-4][person:andrew m 8-8][person:denise f 10-10][person:denise f 15-15][person:denise f 17-17][location:station s 20-20]
andrew| You could ask your roommates Madeline or Samuel to pick you up| [person:denise f 0-0][person:denise f 3-3][person:madeline f 5-5][person:samuel m 7-7][person:denise f 10-10]
denise| Yeah alright I m pretty sure Madeline is busy at work but I ll message Samuel| [person:denise f 2-2][person:madeline f 6-6][person:denise f 12-12][person:samuel m 15-15]
andrew| I m sorry again for the trouble I caused| [person:andrew m 0-0][person:andrew m 7-7]
denise| Don t stress about it Samuel just got back to me he s coming to pick me up That s nice of him but I hate his aggressive driving in his sports car| [person:samuel m 5-5][person:denise f 10-10][person:samuel m 11-11][person:denise f 16-16][person:samuel m 22-22][person:denise f 24-24][person:samuel m 26-26][person:samuel m 30-30]
andrew| I didn t know that his driving was aggressive Are you okay It s been an hour did you reach home safely| [person:andrew m 0-0][person:samuel m 5-5][person:denise f 10-10][person:denise f 18-18][location:home s 20-20]
denise| Yeah I got it figured out Samuel picked me up although he wasn t very considerate with his driving| [person:denise f 1-1][person:samuel m 6-6][person:denise f 8-8][person:samuel m 11-11][person:samuel m 17-17]
andrew| Okay can you meet me I ll make it up to you| [person:denise f 2-2][person:andrew m 4-4][person:andrew m 5-5][person:denise f 11-11]

conv:people_chats_04182020_554:aug_0:chat_0:chataug_0| evan owen| [person:evan m 0-0][person:owen m 1-1]
owen| Hey Evan How about going to a movie tonight| [person:evan m 1-1]
evan| That s a great idea Owen Which movie should we watch| [person:owen m 5-5][person:we g(owen:evan) 9-9]
owen| Let s ask our friends Harvey and Elliot for their suggestions| [person:we g(owen:evan) 3-3][person:friends g() 4-4][person:harvey m 5-5][person:elliot m 7-7][person:friends g(harvey:elliot) 9-9]
evan| You re right They are both movie buffs and actors themselves They would give us good advice| [person:owen m 0-0][person:they g(harvey:elliot) 3-3][person:friends g(harvey:elliot) 10-10][person:friends g(harvey:elliot) 11-11][person:us g(owen:evan) 14-14]
owen| Okay then you ask Elliot and I ll ask Harvey| [person:evan m 2-2][person:elliot m 4-4][person:owen m 6-6][person:harvey m 9-9]
evan| Elliot said that in his opinion the new comic book based movie would be the most entertaining| [person:elliot m 0-0][person:elliot m 4-4]
owen| And Harvey recommended seeing the new movie about pirates| [person:harvey m 1-1]
evan| So which one should we watch| [person:we g(owen:evan) 4-4]
owen| Okay then let s go for the one which Elliot suggested| [person:elliot m 9-9]
evan| Alright see you at 6| [person:owen m 2-2]

conv:people_chats_04182020_556:aug_0:chat_0:chataug_0| claudia fred| [person:claudia f 0-0][person:fred m 1-1]
claudia| Fred what should I cook for dinner I really don t understand| [person:fred m 0-0][person:claudia f 3-3][person:claudia f 7-7]
fred| Make whatever you like Claudia| [person:claudia f 2-2][person:claudia f 4-4]
claudia| Do you remember the dinner we had at Jacquline s place last week| [person:fred m 1-1][person:we g(claudia:fred) 5-5][person:jacquline f 8-8][location:place s 10-10]
fred| Of course I do Jacquline and Deandre were excellent hosts| [person:fred m 2-2][person:jacquline f 4-4][person:deandre m 6-6]
claudia| Yeah the trout they made was amazing and I was thinking to cook the same dish tonight| [person:they g(jacquline:deandre) 3-3][person:claudia f 8-8]
fred| You know I don t like trout I ll have anything but trout| [person:claudia f 0-0][person:fred m 2-2][person:fred m 7-7]
claudia| I know but trout is the only dish that is running on my mind| [person:claudia f 0-0][person:claudia f 12-12]
fred| No problem let s go out for dinner then|
claudia| Alright when shall we go| [person:we g(claudia:fred) 3-3]
fred| Let s go in half an hour|

conv:people_chats_04182020_560:aug_0:chat_0:chataug_0| simon tammy| [person:simon m 0-0][person:tammy f 1-1]
simon| Hi Tammy are you going to Brandon s party tonight| [person:tammy f 1-1][person:tammy f 3-3][person:brandon m 6-6]
tammy| Hi Simon I m only going if Jonathan will be there| [person:simon m 1-1][person:tammy f 2-2][person:jonathan m 7-7]
simon| I don t understand why you even likes him| [person:simon m 0-0][person:tammy f 5-5][person:jonathan m 8-8]
tammy| I think he s a good person He s been nice to me since the beginning and we also have a lot in common| [person:tammy f 0-0][person:jonathan m 2-2][person:jonathan m 7-7][person:tammy f 12-12][person:tammy___jonathan g(tammy:jonathan) 17-17]
simon| He s really selfcentered and doesn t even care to bother about others| [person:jonathan m 0-0]
tammy| I don t care what you think We have a solid connection| [person:tammy f 0-0][person:simon m 5-5][person:tammy___jonathan g(tammy:jonathan) 7-7]
simon| Okay fine Don t tell me that I didn t warn you before| [person:simon m 5-5][person:simon m 7-7][person:tammy f 11-11]
tammy| Yeah right Anyways will you be bringing the stuff needed for karaoke tonight| [person:simon m 4-4]
simon| Yeah I am going there early to drop it off Do you think all my stuff will be safe there| [person:simon m 1-1][person:tammy f 11-11][person:simon m 14-14]
tammy| Brandon is really trustworthy dude You shouldn t worry about it| [person:brandon m 0-0][person:simon m 5-5]

conv:people_chats_04182020_561:aug_0:chat_0:chataug_0| danielle scott| [person:danielle f 0-0][person:scott m 1-1]
scott| Danielle I have some exciting news| [person:danielle f 0-0][person:scott m 1-1]
danielle| Tell me then Scott I m all ears| [person:danielle f 1-1][person:scott m 3-3][person:danielle f 4-4]
scott| Aunt Emma just texted Tracey She said that she will take us all shopping at 4 for the new school year| [person:aunt f 0-0][person:emma f 1-1][person:emma f 5-5][person:emma f 8-8][person:us g(scott:danielle) 11-11][location:school s 19-19]
danielle| That s amazing It s going to be so much fun|
scott| Yes Shopping with aunt Emma never fails to be memorable| [person:aunt f 3-3][person:aunt f 4-4]
danielle| You re right She takes us to watch a nice movie after shopping| [person:scott m 0-0][person:emma f 3-3][person:us g(scott:danielle) 5-5]
scott| After that she gets us our favorite icecream| [person:emma f 2-2][person:us g(scott:danielle) 4-4][person:our g(scott:danielle) 5-5]
danielle| Yeah Chocolate for Tracey and vanilla for both of us| [person:us g(scott:danielle) 9-9]
scott| We ll have a great time with her today too| [person:we g(scott:danielle) 0-0][person:emma f 7-7]
danielle| Let s get ready we need to leave at 4| [person:we g(scott:danielle) 4-4]

conv:people_chats_04182020_562:aug_0:chat_0:chataug_0| jane ricky| [person:jane f 0-0][person:ricky m 1-1]
ricky| Hey Jane all set for the Sunday brunch| [person:jane f 1-1]
jane| I am nervous about it I am afraid your friends Anne and Eddie will not like me| [person:jane f 0-0][person:jane f 5-5][person:ricky m 8-8][person:anne f 10-10][person:eddie m 12-12][person:jane f 16-16]
ricky| Don t think like that they are really a good company to be with| [person:they g(anne:eddie:jane) 5-5][person:jane f 10-10]
jane| Thanks but we are very different people they are going to look like an alien| [person:we g(jane:anne:eddie) 2-2][person:they g(anne:eddie:jane:ricky) 7-7][person:alien g(anne:eddie) 14-14]
jane| I am sure they are very good people but I am very self conscious and that makes me nervous| [person:jane f 0-0][person:they g(anne:eddie:jane:ricky) 3-3][person:jane f 9-9][person:jane f 17-17]
ricky| Well that s funny and I also understand that it s your first meet with them| [person:ricky m 5-5][person:jane f 11-11][person:they g(anne:eddie:jane) 15-15]
ricky| And its high time now you should stop being an introvert and start acting like an extrovert| [person:jane f 5-5]
jane| I am not an introvert I just don t get along with new people| [person:jane f 0-0][person:jane f 5-5][person:they g(anne:eddie:jane) 12-13]
ricky| Just give them a chance and meet them on Sunday then things will get along| [person:they g(anne:eddie:jane) 2-2][person:they g(anne:eddie:jane) 7-7]
jane| I think you are right See you on Sunday| [person:jane f 0-0][person:ricky m 2-2][person:ricky m 6-6]

conv:people_chats_04182020_564:aug_0:chat_0:chataug_0| daria sedan| [person:daria f 0-0][person:sedan m 1-1]
daria| Hi sedan How are you are you trying for a job| [person:sedan m 1-1][person:sedan m 4-4][person:sedan m 6-6]
sedan| Hi daria i am fine yes i am looking for a job more in business field| [person:daria f 1-1][person:sedan m 2-2][person:sedan m 6-6]
daria| ok fine actually i am looking for a IT Job| [person:daria f 3-3]
sedan| ok tHat is good Have you got any oppourtunity| [person:daria f 5-5]
daria| Actually my friends selina and omar invited me for a job fair| [person:daria f 1-1][person:friends g() 2-2][person:selina f 3-3][person:omar m 5-5][person:daria f 7-7]
sedan| oH tHat is really nice to Hear wHetHer any entrance fee is tHere for tHat fair|
daria| actually my friends will Help me to get into tHe event for free| [person:daria f 1-1][person:friends g(selina:omar) 2-2][person:daria f 5-5]
sedan| ok tHat is very nice to Hear|
daria| you can also join along with me so that you can meet employers in real life| [person:sedan m 0-0][person:daria f 6-6][person:sedan m 9-9][person:employers g() 12-12]
sedan| ok daria that is a wonderful idea to meet employers in real life| [person:daria f 1-1]
daria| yes sure getting exposure to real life employers is a challenging one| [person:employers g() 7-7]
sedan| but i donot think that we could enter free for that event| [person:sedan m 1-1][person:we g(daria:sedan) 5-5]
daria| actually my friends will help us to get into the event for free let us try| [person:daria f 1-1][person:friends g(selina:omar) 2-2][person:we g(daria:sedan) 5-5][person:we g(daria:sedan) 14-14]
sedan| ok sedan hope for the best we will meet in the event| [person:sedan m 1-1][person:we g(daria:sedan) 6-6]
daria| ok sedan bye for now| [person:sedan m 1-1]

conv:people_chats_04182020_565:aug_0:chat_0:chataug_0| jennifer mason| [person:jennifer f 0-0][person:mason m 1-1]
mason| Look Jenifer I don t think this as fair enough Cindy should consider this issue as a serious one Think about a soft way to notify her about this thing| [person:mason m 2-2][person:cindy f 10-10][person:cindy f 26-26]
jennifer| It s okay sweet heart Let s just not consider it as of now We moved here recently and giving a complaint straight away is not a good idea| [person:mason___jennifer g(mason:jennifer) 14-14]
mason| But encouraging these things is the worst idea Do you know about the chances of getting sick because of this issue She is not risking her life alone That s why I take it so seriously| [person:jennifer f 9-9][person:cindy f 21-21][person:cindy f 25-25][person:mason m 31-31]
jennifer| Yeah I totally get it but maintaining a healthy relationship with neighbors is also necessary So please don t make yourself angry and let s just wait I hope Cindy will understand with time passing| [person:jennifer f 1-1][person:neighbors g() 11-11][person:mason m 20-20][person:jennifer f 27-27][person:cindy f 29-29]
mason| I don t want to run a trail and error method I know a college who s very close with Cindy I will speak with her and we will come to a solution| [person:mason m 0-0][person:mason m 11-11][person:cindy f 20-20][person:mason m 21-21][person:cindy f 25-25][person:mason___cindy g(mason:cindy) 27-27]
jennifer| Okay but deal the matter peacefully don t rush Am I the only one who s hearing some rats sound from outside Do you have any idea where is it coming from| [person:jennifer f 10-10][person:mason m 23-23]
mason| I am sure its from her trash bag only If she dumps her waste every time in the right place then there won t be any issues| [person:mason m 0-0][person:cindy f 5-5][person:cindy f 10-10][person:cindy f 12-12][location:place s 19-19]
jennifer| Oh god it s high time and I cannot tolerate this stuff anymore Let s register a complaint with the apartment officials they will take an action What do you say| [person:jennifer f 7-7][location:apartment s 20-20][person:apartment_officials g() 22-22][person:mason m 29-29]
