conv:people_2019082201_262:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
conv:people_2019082201_346:aug_0:chat_0:chataug_0| michelle susie| [person:michelle f 0-0][person:susie f 1-1]
susie| Hey so you know I m visiting Seattle soon right| [person:michelle f 2-2][person:susie f 4-4][location:seattle s 7-7]
michelle| Yes I can t wait for you to come| [person:michelle f 1-1][person:susie f 6-6]
susie| I m hoping to see Kelly Zachary and Joseph too| [person:susie f 0-0][person:kelly f 5-5][person:zachary m 6-6][person:joseph m 8-8]
michelle| Yes I m sure they d be thrilled to meet up| [person:michelle f 1-1][person:they g(kelly:zachary:joseph) 4-4]
susie| Do you know where they live Maybe we can all go out to eat somewhere convenient| [person:michelle f 1-1][person:they g(kelly:zachary:joseph) 4-4][person:we g(susie:michelle:kelly:zachary:joseph) 7-7]
michelle| Yes they all live near the water I know Zachary doesn t like driving too far so we should pick a place close to him| [person:they g(kelly:zachary:joseph) 1-1][person:michelle f 7-7][person:zachary m 9-9][person:we g(susie:michelle) 17-17][location:place s 21-21][person:zachary m 24-24]
susie| Ok that s cool Do you have any suggestions on where| [person:michelle f 5-5]
michelle| I m not sure but I ll talk to them| [person:michelle f 0-0][person:michelle f 5-5][person:them g(kelly:zachary:joseph) 9-9]
susie| Something casual it doesn t have to be fancy|
michelle| Yeah maybe a pub or something Sounds good|

conv:people_2019082201_347:aug_0:chat_0:chataug_0| dwight josh| [person:dwight m 0-0][person:josh m 1-1]
josh| Dwight we need to make a decision regarding who to take with us to lunch tomorrow| [person:dwight m 0-0][person:we g(josh:dwight) 1-1][person:we g(josh:dwight) 12-12]
dwight| I know there are Henry Ben Walt and Jesse I think we should just take Ben and jesse| [person:dwight m 0-0][person:henry m 4-4][person:ben m 5-5][person:walt m 6-6][person:jesse m 8-8][person:dwight m 9-9][person:we g(josh:dwight) 11-11][person:ben m 15-15]
josh| why specifically those two|
dwight| well Ben because he has been with us the longest and Jesse because he is very accommodating and nothing seem to bother him| [person:ben m 1-1][person:ben m 3-3][person:we g(josh:dwight) 7-7][person:jesse m 11-11][person:jesse m 13-13][person:jesse m 22-22]
josh| I think henry is very cool and we can have good conversation with him while walt is the wild card and can fit into any circumstances| [person:josh m 0-0][person:henry m 2-2][person:we g(josh:dwight) 7-7][person:henry m 13-13][person:walt m 15-15]
dwight| I see your point and based on what we said I think the bes choices are ben and walt| [person:dwight m 0-0][person:josh m 2-2][person:we g(josh:dwight) 8-8][person:dwight m 10-10][person:ben m 16-16][person:walt m 18-18]
josh| I think you are right let s text and let them know what our plans are| [person:josh m 0-0][person:dwight m 2-2][person:them g(ben:walt) 10-10][person:we g(josh:dwight) 13-13]
dwight| where are you thinking of going| [person:josh m 2-2]
josh| Let s just try the new pub on 2nd street as they have a variety of beers to choose from| [location:street s 9-9]
dwight| that sounds good I will text ben and walt and let them know what we decide| [person:dwight m 3-3][person:ben m 6-6][person:walt m 8-8][person:them g(ben:walt) 11-11][person:we g(josh:dwight) 14-14]
josh| Let s meet tomorrow after work at 6pm at the pub|
dwight| sounds greet see you there| [person:josh m 3-3]

conv:people_2019082201_348:aug_0:chat_0:chataug_0| steven wayne| [person:steven m 0-0][person:wayne m 1-1]
wayne| Hey Steven do you remember my friends Gabriel and Eugene| [person:steven m 1-1][person:steven m 3-3][person:wayne m 5-5][person:friends g() 6-6][person:gabriel m 7-7][person:eugene m 9-9]
steven| Yeah we had a good time out the last time they came here| [person:we g(wayne:steven:gabriel:eugene) 1-1][person:friends g(gabriel:eugene) 10-10]
wayne| They ll be visiting again I ll be working one day so I can t take them around I was wondering if you d like to show them around| [person:friends g(gabriel:eugene) 0-0][person:wayne m 5-5][person:wayne m 12-12][person:friends g(gabriel:eugene) 16-16][person:wayne m 18-18][person:steven m 22-22][person:friends g(gabriel:eugene) 27-27]
steven| Yeah I can show them around Is there anywhere in San Francisco they really want to go| [person:steven m 1-1][person:friends g(gabriel:eugene) 4-4][location:san_francisco s 10-11][person:friends g(gabriel:eugene) 12-12]
wayne| Gabriel wanted to see a Warriors game And Eugene is really into craft beer| [person:gabriel m 0-0][person:eugene m 8-8]
steven| What day do you want me to take them around I need to check the schedule of home games| [person:wayne m 3-3][person:steven m 5-5][person:friends g(gabriel:eugene) 8-8][person:steven m 10-10][location:home s 17-17]
wayne| It s for next Tuesday I think there s a home game that day| [person:wayne m 5-5][location:home s 10-10]
steven| Okay perfect We can do that and hit up a couple of breweries before and after| [person:we g(wayne:steven:gabriel:eugene) 2-2][location:breweries g() 12-12]
wayne| Awesome thanks so much Steven| [person:steven m 4-4]
steven| No problem They re good guys Do you want to me us at night for dinner| [person:friends g(gabriel:eugene) 2-2][person:wayne m 7-7][person:we g(wayne:steven:gabriel:eugene) 11-11]
wayne| Yeah that would be great|
steven| Okay we can decide that later| [person:we g(wayne:steven:gabriel:eugene) 1-1]

conv:people_2019082201_349:aug_0:chat_0:chataug_0| dwayne roy| [person:dwayne m 0-0][person:roy m 1-1]
roy| Hey Dwayne What are you up to| [person:dwayne m 1-1][person:dwayne m 4-4]
dwayne| Not much at least for now What about you| [person:roy m 8-8]
roy| Same here buddy I was trying to figure out where we all should watch the playoff game| [person:dwayne m 2-2][person:roy m 3-3][person:we g(roy:dwayne) 10-10]
roy| By the way so far our party is you me Karan and Stephen That sounds good| [person:our g(roy:dwayne) 5-5][person:dwayne m 8-8][person:roy m 9-9][person:karan m 10-10][person:stephen m 12-12]
dwayne| It does man And hey I think we should go watch the playoff game at Chile s They should have Happy Hour and it will be booming by the bar| [person:dwayne m 5-5][person:we g(roy:dwayne:karan:stephen) 7-7][location:bar s 29-29]
dwayne| I just need some time to relax after the game s over because I need to drive home| [person:dwayne m 0-0][person:dwayne m 13-13][location:home s 17-17]
roy| No worries about driving man I ve set us up an Uber ride so we won t need to worry about that| [person:roy m 5-5][person:us g(roy:dwayne:karan:stephen) 8-8][person:we g(roy:dwayne) 14-14]
roy| Chile s sounds good and you say they have Happy Hour so that s even better| [person:dwayne m 5-5]
roy| Have you tried their fresh chicken crispers| [person:dwayne m 1-1]
dwayne| Oh my gosh no But I definitely need to try those and order a bunch before the game starts tomorrow| [person:dwayne m 1-1][person:dwayne m 5-5]
dwayne| I say we should coordinate with Karan and Stephen and plan to all reach there at least a half hour before the game starts| [person:dwayne m 0-0][person:we g(roy:dwayne) 2-2][person:karan m 6-6][person:stephen m 8-8]
dwayne| We can chill and get some food and drinks going to get excited| [person:we g(roy:dwayne) 0-0]
roy| Sounds awesome I ll let them know right now| [person:dwayne m 2-2][person:them g(karan:stephen) 5-5]
dwayne| Alright brother I ll call you early on tomorrow before that time Goodnight| [person:roy m 1-1][person:dwayne m 2-2][person:roy m 5-5]
roy| Goodnight|

conv:people_2019082201_350:aug_0:chat_0:chataug_0| jesse lawrence| [person:jesse m 0-0][person:lawrence m 1-1]
lawrence| Hey Jesse how s it going| [person:jesse m 1-1]
jesse| It s going pretty good And you| [person:lawrence m 6-6]
lawrence| Great I was wondering if you wanted to get a quick meal tomorrow| [person:lawrence m 1-1][person:jesse m 5-5]
jesse| Yes I d love to Ill invite Margaret and Sam too| [person:jesse m 1-1][person:margaret f 7-7][person:sam m 9-9]
lawrence| Cool what restaurant do you have in mind| [location:restaurant s 2-2][person:jesse m 4-4]
jesse| Maybe we can go to the restaurant downtown that sells seafood| [person:we g(lawrence:jesse) 1-1][location:restaurant s 6-6][location:downtown s 7-7]
lawrence| That sounds cool Do you mind making reservations for all of us| [person:jesse m 4-4][person:us g(lawrence:jesse) 11-11]
jesse| Yeah no problem does 8pm sound good|
lawrence| Yes that s perfect I ll see you guys then| [person:lawrence m 4-4][person:jesse m 7-7]
jesse| Great I can t wait see you guys soon| [person:jesse m 1-1][person:lawrence m 6-6]

conv:people_2019082201_351:aug_0:chat_0:chataug_0| paul philip| [person:paul m 0-0][person:philip m 1-1]
philip| You coming with us this summer| [person:paul m 0-0][person:us g(philip) 3-3]
paul| I dunno I wanna but I really don t know Richard and Jacob that well It might be uncomfortable| [person:paul m 0-0][person:paul m 2-2][person:paul m 5-5][person:richard m 10-10][person:jacob m 12-12]
philip| We share a house and live together How is that different from going on vacation| [person:we g(philip:paul:richard:jacob) 0-0]
paul| Yeah but we have our own rooms and our own lives We all have different schedules Going on vacation for a week is different| [person:we g(philip:paul:richard:jacob) 2-2][person:we g(philip:paul:richard:jacob) 4-4][person:we g(philip:paul:richard:jacob) 8-8][person:we g(philip:paul:richard:jacob) 11-11]
philip| Come on Richard is quiet and goes with the flow just like you Jacob is real social and he ll do all the talking| [person:richard m 2-2][person:paul m 12-12][person:jacob m 13-13][person:jacob m 18-18]
paul| You know them better than I do since you work at home| [person:philip m 0-0][person:them g(richard:jacob) 2-2][person:paul m 5-5][person:philip m 8-8][location:home s 11-11]
philip| You gonna give away a trip to the Dominican Republic because you don t know our roommates very well| [person:paul m 0-0][person:paul m 11-11][person:our g(philip:paul) 15-15]
paul| Okay I ll go| [person:paul m 1-1]
philip| Great We re leaving on June 22 Pack your sunblock| [person:we g(philip:paul:richard:jacob) 1-1][person:paul m 8-8]
paul| I hope this works out| [person:paul m 0-0]
philip| Don t worry we ll have so much fun| [person:we g(philip:paul:richard:jacob) 3-3]

conv:people_2019082201_352:aug_0:chat_0:chataug_0| cynthia virginia| [person:cynthia f 0-0][person:virginia f 1-1]
cynthia| Hi Virginia| [person:virginia f 1-1]
virginia| Hi Cynthia| [person:cynthia f 1-1]
cynthia| Are you free now| [person:virginia f 1-1]
virginia| Yes|
cynthia| Barbara Lucy and I are coming to Las Angeles| [person:barbara f 0-0][person:lucy f 1-1][person:cynthia f 3-3]
virginia| Nice When you are coming| [person:cynthia f 2-2]
cynthia| We are coming this weekend| [person:we g(cynthia:barbara:lucy) 0-0]
virginia| Perfect I am also free for this weekend| [person:virginia f 1-1]
cynthia| It s good what are the places are there to visit|
virginia| Here are some memorial places to visit Do you interested in that| [person:cynthia f 8-8]
cynthia| I am really interested to see this traditional and memorial places| [person:cynthia f 0-0]
virginia| But Barbara and Lucy both are interested in fun entertainment So next we will go for cinemas| [person:barbara f 1-1][person:lucy f 3-3][person:everyone g(cynthia:virginia:barbara:lucy) 12-12]
cynthia| That sounds good Otherwise they will torture me| [person:they g(barbara:lucy) 4-4][person:cynthia f 7-7]
virginia| Ok We will talk other things when we meet| [person:everyone g(cynthia:virginia:barbara:lucy) 1-1][person:everyone g(cynthia:virginia:barbara:lucy) 7-7]

conv:people_2019082201_353:aug_0:chat_0:chataug_0| bryan susan| [person:bryan m 0-0][person:susan f 1-1]
bryan| Hey Susan do you know any good museums around| [person:susan f 1-1][person:susan f 3-3][location:museums g() 7-7]
susan| Yeah are you planning to go with someone| [person:bryan m 2-2][person:someone u 7-7]
bryan| Nope just by myself why| [person:bryan m 3-3]
susan| Some of them are more fun to go to with a group| [person:them g(someone) 2-2]
bryan| Why is that|
susan| I went to quite a few museums with Jon and Karen| [person:susan f 0-0][location:museums g() 6-6][person:jon m 8-8][person:karen f 10-10]
susan| But some of them I d prefer to have visited by myself to appreciate each thing at my pace| [person:them g(someone) 3-3][person:susan f 4-4][person:susan f 11-11][person:susan f 17-17]
