conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
conv:people_chats_0629_217:aug_0:chat_0:chataug_0| catrina lee| [person:catrina f 0-0][person:lee m 1-1]
catrina| So what are we going to do with the cat| [person:catrina__lee g(catrina:lee) 3-3]
lee| It ll be fine in the house on its own|
catrina| we re going to be gone for a month| [person:catrina__lee g(catrina:lee) 0-0]
lee| I m just kidding| [person:lee m 0-0]
lee| We should ask Kelly to see if she could watch him| [person:catrina__lee g(catrina:lee) 0-0][person:kelly f 3-3][person:kelly f 7-7][person:cat m 10-10]
catrina| She could but I d rather have someone who has experience with cats before| [person:kelly f 0-0][person:catrina f 3-3]
catrina| I don t think she even has pets| [person:catrina f 0-0][person:kelly f 4-4]
catrina| I might ask William| [person:catrina f 0-0][person:william m 3-3]
lee| Oh That s a good idea|
lee| He has cats right| [person:william m 0-0]
catrina| Yeah He has two| [person:william m 1-1]
catrina| He s great with them and I d think he d take real good care of our cat| [person:william m 0-0][person:cat m 4-4][person:catrina f 6-6][person:william m 9-9][person:catrina__lee g(catrina:lee) 16-16]

conv:people_chats_0629_219:aug_0:chat_0:chataug_0| brett nabela| [person:brett m 0-0][person:nabela f 1-1]
nabela| Hey Brett how s it going| [person:brett m 1-1]
brett| I m good how are you| [person:brett m 0-0][person:nabela f 5-5]
nabela| Good thanks I just wanted to touch base and see how the meeting went this morning| [person:nabela f 2-2]
brett| It went fine Sonia thinks everything s in place and ready for the launch Social media is prepped| [person:sonia f 3-3][location:place s 8-8]
nabela| Oh that s great to hear|
brett| Yeah And Steven is going to hire three more reps to deal with the increased call volume| [person:steven m 2-2]
nabela| Perfect|
brett| He thinks we might not need three people but he wants to be prepared just in case| [person:steven m 0-0][person:we g(nabela:brett:sonia) 2-2][person:steven m 9-9]
nabela| Yeah that s smart|
brett| I think so too| [person:brett m 0-0]
nabela| So should we schedule one more meeting before the launch just to make sure we ve ticked all the boxes| [person:we g(nabela:brett:sonia) 2-2][person:we g(nabela:brett:sonia) 14-14]
brett| Sounds like a good idea to me| [person:brett m 6-6]
nabela| Okay I ll get back to you after I check my schedule| [person:nabela f 1-1][person:brett m 6-6][person:brett m 8-8][person:nabela f 10-10]
brett| Great|

conv:people_chats_0629_221:aug_0:chat_0:chataug_0| gwen jane| [person:gwen f 0-0][person:jane f 1-1]
jane| So have you been to the abandoned insane asylum It seems so cool and creepy I really wanna go| [person:gwen f 2-2][location:insane_asylum s 7-8][location:insane_asylum s 9-9][person:jane f 15-15]
gwen| Abandoned Insane Asylum That s not my idea of fun I barely like haunted houses| [location:insane_asylum s 1-2][person:gwen f 6-6][person:gwen f 10-10]
jane| Come on Jason and Devon went already the other day Nothing happened to them| [person:jason m 2-2][person:devon m 4-4][person:them g(jason:devon) 13-13]
gwen| I don t know I don t think I want to go| [person:gwen f 0-0][person:gwen f 4-4][person:gwen f 8-8]
jane| Really Why Jason and Devon took some awesome pics They said it s creepy but others have been hanging out too| [person:jason m 2-2][person:devon m 4-4][person:them g(jason:devon) 9-9][location:insane_asylum s 11-11][person:others g() 15-15]
gwen| So They can hang out all they want but I m staying far away from there| [person:others g() 1-1][person:them g(jason:devon) 6-6][person:gwen f 9-9][location:insane_asylum s 15-15]
jane| You really don t wanna see it for yourself| [person:gwen f 0-0][location:insane_asylum s 6-6][person:gwen f 8-8]
gwen| No I m fine with the pictures Thanks| [person:gwen f 1-1]
jane| Jason and Devon said next time they go they ll let me know so we can go too The boys will be there to protect you| [person:jason m 0-0][person:devon m 2-2][person:them g(jason:devon) 6-6][person:them g(jason:devon) 8-8][person:jane f 11-11][person:we g(jane:gwen) 14-14][person:gwen f 25-25]
gwen| Even if they re there I really don t wanna go| [person:them g(jason:devon) 2-2][location:insane_asylum s 4-4][person:gwen f 5-5]
gwen| Think about it Jane it could be dangerous and what if we run into a ghost or insane person| [person:jane f 3-3][person:we g(jane:gwen) 11-11]
jane| Don t be chicken|

conv:people_chats_0629_222:aug_0:chat_0:chataug_0| bobert fabrice| [person:bobert m 0-0][person:fabrice f 1-1]
fabrice| hello|
fabrice| i am writing to ask you to come to town with me| [person:fabrice f 0-0][person:bobert m 5-5][location:town s 9-9][person:fabrice f 11-11]
fabrice| will you come to town with me please| [person:bobert m 1-1][location:town s 4-4][person:fabrice f 6-6]
bobert| y|
fabrice| its very important im doing a important petition please coe|
bobert| oh you will die though we will all die fabrice because citizen friendly non lethal blowguns are not nice| [person:fabrice f 1-1][person:we g(fabrice:bobert) 5-5][person:fabrice f 9-9]
bobert| dont u remeber last time u wer abduted| [person:fabrice f 1-1][person:fabrice f 5-5]
fabrice| no i do nt| [person:fabrice f 1-1]
fabrice| i just want to go to thhe all| [person:fabrice f 0-0]
bobert| ok lets do that in the non dystopia world|
fabrice| culod u b more obvious plz| [person:bobert m 1-1]
bobert| what about keenan and phillipssa| [person:keenan m 2-2]
fabrice| idk brometheus|

conv:people_chats_0629_223:aug_0:chat_0:chataug_0| caden colleen| [person:caden m 0-0][person:colleen f 1-1]
colleen| Hey Caden|
caden| Oh hey Colleen whats up| [person:colleen f 2-2]
colleen| I was just texting you to thank you for the all the presents you sent for christmas| [person:colleen f 0-0][person:caden u 4-4][person:caden u 7-7][person:caden u 13-13]
caden| Oh It was no problem at all Colleen| [person:colleen f 7-7]
colleen| Still thank you Caden Natalia and Greyson absolutely love the inflatable swimming pool| [person:caden u 2-2][person:natalia f 4-4][person:greyson m 6-6]
caden| Oh do they| [person:they g(natalia:greyson) 2-2]
colleen| Yep I am sure they will get a lot of fun out of it during the summer| [person:colleen f 1-1][person:they g(natalia:greyson) 4-4]
caden| Well I am glad the kids enjoyed it| [person:caden u 1-1][person:kids g(natalia:greyson) 5-5]
colleen| Anyways I wanted to have the kids send you a thank you letter could I get your address| [person:colleen f 1-1][person:kids g(natalia:greyson) 6-6][person:caden u 8-8][person:caden u 11-11][person:colleen f 14-14][person:caden u 16-16]
caden| Sure its 1234 Aden Ave N| [location:aden_ave s 3-4]
colleen| Thank you very much Caden| [person:caden u 1-1]
caden| No problem Colleen| [person:colleen f 2-2]

conv:people_chats_0629_224:aug_0:chat_0:chataug_0| daniel gabriel| [person:daniel m 0-0][person:gabriel m 1-1]
daniel| Hello|
daniel| I forgot to add cereal for Maxine and Lawrence| [person:daniel m 0-0][person:maxine f 6-6][person:lawrence m 8-8]
gabriel| Hey ok I will be sure to add cereal to the list| [person:daniel m 2-2]
daniel| Thank you You know how they get when they don t get their daily dose of Sugar Yummies| [person:gabriel m 2-2][person:they g(maxine:lawrence) 5-5][person:they g(maxine:lawrence) 8-8][person:they g(maxine:lawrence) 12-12]
gabriel| Yes LOL you re right about that| [person:daniel m 2-2]
gabriel| Do we also need milk| [person:we g(daniel:gabriel:maxine:lawrence) 1-1]
daniel| Yes we do I m glad you asked because because I forgot that we only have a little bit left| [person:we g(daniel:gabriel:maxine:lawrence) 1-1][person:daniel m 3-3][person:gabriel m 6-6][person:daniel m 10-10][person:we g(daniel:gabriel:maxine:lawrence) 13-13]
gabriel| Ok I will grab some milk| [person:gabriel m 1-1]
gabriel| Nothing s worse than having your favorite cereal but no milk lol| [person:we g(daniel:gabriel:maxine:lawrence) 5-5]
daniel| That s so true my dad would always forget milk lol| [person:daniel m 4-4][person:dad m 5-5]
daniel| Maxine and Lawrence are lucky to have a dad who doesn t forget the milk| [person:maxine f 0-0][person:lawrence m 2-2][person:gabriel m 8-8]
gabriel| HAHAHA yes Let me know if we need anything else| [person:gabriel m 3-3][person:we g(daniel:gabriel:maxine:lawrence) 6-6]
daniel| Ok I will Thanks so much| [person:daniel m 1-1]
gabriel| You re welcome| [person:daniel m 0-0]

conv:people_chats_0629_225:aug_0:chat_0:chataug_0| jacob lauren| [person:jacob m 0-0][person:lauren f 1-1]
jacob| I hope the weather is nice for the pool party this weekind| [person:jacob m 0-0]
lauren| I heard it s supposed to rain and storm| [person:lauren f 0-0]
lauren| We might have to postpone it| [person:jacob_and_lauren g(jacob:lauren) 0-0]
jacob| Well if it rains we could always go inside and play some board games or somthing| [person:jacob_and_lauren g(jacob:lauren) 4-4]
lauren| That sounds great I can bring some games just in case| [person:lauren f 3-3]
lauren| I really don t want the weather to keep us from getting together| [person:lauren f 0-0][person:jacob_and_lauren g(jacob:lauren) 9-9]
jacob| Me either I think I will ask Willis and Maurie if I can borrow their canopies| [person:jacob m 0-0][person:jacob m 2-2][person:jacob m 4-4][person:willis m 7-7][person:maurie f 9-9][person:jacob m 11-11][person:willis_and_maurie g(willis:maurie) 14-14]
lauren| That s a good idea|
jacob| That way people will have a place to take cover out of the rain| [location:place s 6-6]
lauren| Yeah it might just drizzle for a minute|
jacob| They have let me borrow the canopies before so I bet they will again| [person:willis_and_maurie g(willis:maurie) 0-0][person:jacob m 3-3][person:jacob m 9-9][person:willis_and_maurie g(willis:maurie) 11-11]
jacob| I should just ask them where they bought them from they come in handy| [person:jacob m 0-0][person:willis_and_maurie g(willis:maurie) 4-4][person:willis_and_maurie g(willis:maurie) 6-6][person:willis_and_maurie g(willis:maurie) 8-8][person:willis_and_maurie g(willis:maurie) 10-10]

conv:people_chats_0629_226:aug_0:chat_0:chataug_0| brad joy| [person:brad m 0-0][person:joy f 1-1]
joy| I had the strangest dream ever last night| [person:joy f 0-0]
joy| it was about my friends flora Eaton and there couch| [person:joy f 3-3][person:friends g() 4-4][person:flora f 5-5]
brad| I have a lot of wierd dreams as well too| [person:brad m 0-0]
brad| What was the dream about|
joy| Easton was mad at Flora and would let her into her house| [person:easton m 0-0][person:flora f 4-4][person:flora f 8-8][person:flora f 10-10]
brad| why|
joy| Flora had to get into her house to feed laundry to he couch and if she didn t she would lose her job| [person:flora f 0-0][person:flora f 5-5][person:flora f 11-11][person:flora f 15-15][person:flora f 18-18][person:flora f 21-21]
brad| Thats a strange dream|
brad| I have had many just like that| [person:brad m 0-0]
joy| She ended up getting in| [person:flora f 0-0]
brad| I wonder where your strange dreams come from| [person:brad m 0-0][person:joy f 3-3]
joy| Beats me| [person:joy f 1-1]

conv:people_chats_0629_227:aug_0:chat_0:chataug_0| drederick serenity| [person:drederick m 0-0][person:serenity f 1-1]
drederick| Are you still a master of the axe| [person:serenity f 1-1]
serenity| Are you axeing Why Haha| [person:drederick m 1-1]
serenity| Sorry that was a pun lol But yes I am definitely still capable of using an axe| [person:serenity f 8-8]
drederick| If only your wit was as sharp as your weapon it may not be necessary| [person:serenity f 2-2][person:serenity f 8-8]
drederick| I ask because Herald is trying to take over the convenience store and seems to think he can just conquer it| [person:drederick m 0-0][person:herald m 3-3][location:store s 11-11][person:herald m 16-16]
drederick| He is hoping to get a percent of the stock and profit| [person:herald m 0-0]
serenity| Ok so wouldn t me showing up with a battle axe potentially make him paranoid and even worse| [person:serenity f 4-4][person:herald m 13-13]
drederick| Do you want a paycheck or not| [person:serenity f 1-1]
serenity| Yes of course I do| [person:serenity f 3-3]
serenity| Which convenience store do I have to save| [person:serenity f 4-4]
drederick| It is the store closest to Belle s home| [location:store s 0-0][location:store s 3-3][person:belle f 6-6][location:home s 8-8]
serenity| But I don t know her or where she lives| [person:serenity f 1-1][person:belle f 5-5][person:belle f 8-8]
serenity| What is the street address|
drederick| Do you mean the address for the shop or of my grandmother| [person:serenity f 1-1][location:shop s 7-7][person:drederick m 10-10]

conv:people_chats_0629_229:aug_0:chat_0:chataug_0| haiden summaiya| [person:haiden m 0-0][person:summaiya f 1-1]
summaiya| Hello|
haiden| Hi Summaiya| [person:summaiya f 1-1]
summaiya| I m thinking of the perfect gift for Haiden for his birthday| [person:summaiya f 0-0][person:haiden m 8-8][person:haiden m 10-10]
summaiya| He loves Animals| [person:haiden m 0-0]
summaiya| So I thought he will appreciate a behind the scene tour of the Zoo| [person:summaiya f 1-1][person:haiden m 3-3]
summaiya| I ll need you to send me Grant s number| [person:summaiya f 0-0][person:haiden m 3-3][person:summaiya f 6-6][person:grant m 7-7]
