conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
chad| You can t go wrong with something so simple and classic| [person:rina f 0-0]
rina| Well that s a good choice but I want to get something more stylized that Xenu would be so exited| [person:rina f 7-7][person:son m 15-15]
rina| I was thinking of ScoobyDoo Pinata Do you have any idea about it| [person:rina f 0-0][person:chad m 7-7]
chad| As of I know ScoobyDoo hasn t been relevant for years and only lives on through meme culture| [person:chad m 2-2]
chad| My son Dave got same for his birthday and was not excited at all to beat it to a pulp| [person:chad m 0-0][person:dave m 1-1][person:dave m 2-2][person:dave m 6-6]
rina| Really I didn t know about it What do you suggest then| [person:rina f 1-1][person:chad m 9-9]
rina| Well I think we need to investigate a little more on this| [person:rina f 1-1][person:we g(rina:chad) 3-3]
chad| Okay let me ask few friends who have good knowledge in these| [person:chad m 2-2][person:friends g() 5-5]
rina| Yeah sure please let me know as I really want to surprise him with a wonderful Pinata| [person:rina f 4-4][person:rina f 7-7][person:son m 12-12]
chad| I will let you know as soon as I come to know| [person:chad m 0-0][person:rina f 3-3][person:chad m 8-8]
rina| If we cant find any better option I will definitely go with you choice of buying traditional Mexican pinata| [person:we g(rina:chad) 1-1][person:rina f 7-7][person:chad m 12-12]
chad| Yeah sure That will be a great idea I hope he will be excited with your gift| [person:chad m 8-8][person:son m 10-10][person:rina f 15-15]

conv:people_long_0313_195:aug_0:chat_0:chataug_0| hudson lana| [person:hudson m 0-0][person:lana f 1-1]
hudson| Hey Lana Did you receive the printout I sent you| [person:lana f 1-1][person:lana f 3-3][person:hudson m 7-7][person:lana f 9-9]
lana| Yeah Hudson I received the printout of the map| [person:hudson m 1-1][person:lana f 2-2]
lana| I m on the site right now inspecting the terrain| [person:lana f 0-0][location:terrain s 9-9]
hudson| What do you think of the site Will it be a good spot to build our movie set| [person:lana f 2-2][person:our g(hudson:lana) 15-15]
lana| Yeah It meets all our requirements| [person:our g(hudson:lana) 4-4]
lana| We will be able to replicate the terrain easily| [person:we g(hudson:lana) 0-0][location:terrain s 7-7]
hudson| Let s hire the landscapers Nate and Harper They did a great job on our last movie| [person:nate m 5-5][person:harper u 7-7][person:they g(nate:harper) 8-8][person:our g(hudson:lana) 14-14]
lana| They have experience replicating hillsides| [person:they g(nate:harper) 0-0]
hudson| Yeah and Harper is also a backhoe operator with an esteemed reputation as an earthmover| [person:harper u 2-2]
hudson| Let s invite them to our office and find out what how much they charge for this job| [person:they g(nate:harper) 3-3][person:our g(hudson:lana) 5-5][location:office s 6-6][person:they g(nate:harper) 13-13]
lana| Okay I will call them and arrange a meeting| [person:lana f 1-1][person:they g(nate:harper) 4-4]
lana| I think we should include a few more landscapers if our first choice is unavailable| [person:lana f 0-0][person:we g(hudson:lana) 2-2][person:our g(hudson:lana) 10-10]
hudson| I think that s a great idea Lana| [person:hudson m 0-0][person:lana f 7-7]
hudson| We have a deadline to build out set We can t risk depending on just one landscaper| [person:we g(hudson:lana) 0-0][person:we g(hudson:lana) 8-8]

conv:people_long_0313_197:aug_0:chat_0:chataug_0| mario nina| [person:mario m 0-0][person:nina f 1-1]
nina| I don t want to give the custody of our kid to you Please do not start an argument| [person:nina f 0-0][person:our g(nina:mario) 9-9][person:mario m 12-12]
mario| I don t think so Nina Kids are happy here with me| [person:mario m 0-0][person:nina f 5-5][person:kids g() 6-6][location:here s 9-9][person:mario m 11-11]
nina| Mario I am warning you ask your girlfriend to stop taking drugs in front of my kids| [person:mario m 0-0][person:nina f 1-1][person:mario m 4-4][person:mario m 6-6][person:vira f 7-7][person:nina f 15-15][person:kids g() 16-16]
mario| No Vira is not taking any drugs in front of kids| [person:vira f 1-1][person:kids g() 10-10]
mario| I think you should stop investigating me and Vira s activities from kids| [person:mario m 0-0][person:nina f 2-2][person:mario m 6-6][person:vira f 8-8][person:kids g() 12-12]
nina| I will never know about this if I didn t investigate them| [person:nina f 0-0][person:nina f 7-7][person:kids g() 11-11]
nina| I need you to warn her to mind her actions| [person:nina f 0-0][person:mario m 2-2][person:vira f 5-5][person:vira f 8-8]
mario| Stop blaming me like this Anyhow I won t be afraid of your words| [person:mario m 2-2][person:mario m 6-6][person:nina f 12-12]
nina| If you don t warn her I will inform the child services authority supervisor Costa| [person:mario m 1-1][person:vira f 5-5][person:nina f 6-6][person:costa m 14-14]
mario| Why do you want to inform the supervisor I haven t done anything wrong| [person:nina f 2-2][person:mario m 8-8]
nina| I will ask Costa to visit multiple times and check your property before kids next visit for safety and health purposes| [person:nina f 0-0][person:costa m 3-3][person:mario m 10-10][person:kids g() 13-13]
mario| I think you are complicating the situation too much| [person:mario m 0-0][person:nina f 2-2]
nina| Anyways let me know what you both have decided Otherwise I won t allow my kids to visit your place| [person:nina f 2-2][person:mario m 5-5][person:nina f 10-10][person:nina f 14-14][person:kids g() 15-15][person:mario m 18-18][location:place s 19-19]
mario| You don t have the authority over the custody of children In that case I can go for legal actions| [person:nina f 0-0][person:mario m 14-14]

conv:people_long_0313_199:aug_0:chat_0:chataug_0| maya nolan| [person:maya f 0-0][person:nolan m 1-1]
maya| Hey Nolan are you free now I have some discussion with you| [person:nolan m 1-1][person:nolan m 3-3][person:maya f 6-6][person:nolan m 11-11]
nolan| Yeah Maya I am free What do you want to discuss with me| [person:maya f 1-1][person:nolan m 2-2][person:maya f 7-7][person:nolan m 12-12]
maya| We need to discuss our upcoming crime beat deadline| [person:we g(maya:nolan) 0-0][person:we g(maya:nolan) 4-4]
nolan| I had a police scanner and I always keeps on top of the latest crime scenes| [person:nolan m 0-0][person:nolan m 6-6]
nolan| I just want you to search about today s prison escape of Cole| [person:nolan m 0-0][person:maya f 3-3][person:cole m 12-12]
maya| I heard some rumors that his girlfriend Heather help him to escape| [person:maya f 0-0][person:cole m 5-5][person:heather f 6-6][person:heather f 7-7][person:cole m 9-9]
maya| Whatever might be the situation now we need them as soon as possible| [person:we g(maya:nolan) 6-6][person:them_1 g(cole:heather) 8-8]
nolan| I stumbled across the prisoner s discarded jumpsuit| [person:nolan m 0-0]
nolan| I had a hunch I think I should attemp one more errand| [person:nolan m 0-0][person:nolan m 4-4][person:nolan m 6-6]
maya| Are you serious Nolan I think you should think twice before doing this| [person:nolan m 1-1][person:nolan m 3-3][person:maya f 4-4][person:nolan m 6-6]
maya| This might put you in a dangerous situation| [person:nolan m 3-3]
nolan| I know but I should do this again or else we can t find him forever| [person:nolan m 0-0][person:nolan m 3-3][person:we g(maya:nolan) 10-10][person:cole m 14-14]
maya| Fine let me join you I will help you in this| [person:maya f 2-2][person:nolan m 4-4][person:maya f 5-5][person:nolan m 8-8]
nolan| Okay I will let you know if I need any help| [person:nolan m 1-1][person:maya f 4-4][person:maya f 7-7]

conv:people_long_0313_200:aug_0:chat_0:chataug_0| armando carla| [person:armando m 0-0][person:carla f 1-1]
carla| Hey Armando are you busy| [person:armando m 1-1][person:carla f 3-3]
armando| No Carla I am going through old photos and suddenly came through pictures of Destiny| [person:carla f 1-1][person:armando m 2-2][person:carla f 14-14]
armando| I am really confused what I should do with them| [person:armando m 0-0][person:armando m 5-5][person:carla f 9-9]
carla| Seriously are you again recalling all those memories I think you should shop seeing those pictures and delete them as soon as possible| [person:armando m 2-2][person:carla f 8-8][person:armando m 10-10][person:armando m 18-18]
carla| Hope you remember how depressed you were those days recalling those can give you only painful memories| [person:armando m 1-1][person:armando m 5-5][person:armando m 13-13]
armando| I know that but I don t want to forget that period of my life which I spent with her| [person:armando m 0-0][person:armando m 4-4][person:armando m 13-13][person:armando m 16-16][person:carla f 19-19]
armando| Although it was painful one few memories can t be wiped out|
carla| Don t forget that now you are not single what will happen to Franca Do you want to hurt her without any reason| [person:armando m 5-5][person:franca f 13-13][person:armando m 15-15][person:franca f 19-19]
carla| Watching Destiny s picture might tempt you to get back to her| [person:destiny f 1-1][person:carla f 6-6][person:destiny f 11-11]
armando| I am unable to decide who is more important to me| [person:armando m 0-0][person:carla f 10-10]
armando| Can you suggest me something to get out those memories| [person:carla f 1-1][person:armando m 3-3]
carla| If Franca come across those pictures she might take it in other ways| [person:franca f 1-1][person:franca f 6-6]
carla| I think you should move forward with Franca deleting those old pictures and memories| [person:carla f 0-0][person:armando m 2-2][person:franca f 7-7]
armando| Yeah sure Thank you very much I will try to forget her and move on with new love| [person:carla f 3-3][person:armando m 6-6][person:franca f 11-11]

conv:people_long_0313_202:aug_0:chat_0:chataug_0| caroline evan| [person:caroline f 0-0][person:evan m 1-1]
evan| hi caroline I am very afraid of spiders| [person:caroline f 1-1][person:evan m 2-2]
caroline| Why should you be afraid they are not harmed at all| [person:evan m 2-2][person:evan m 5-5]
evan| Not only me but my brothers Joanna and Matt are afraid of spiders| [person:evan m 2-2][person:evan m 4-4][person:caroline f 6-6][person:evan m 8-8]
caroline| That is pretty amazing|
evan| I wonder if the spiders will destroy this world| [person:evan m 0-0]
caroline| Why you say so| [person:evan m 1-1]
evan| I ve heard spiders are very visceral| [person:evan m 0-0]
caroline| But not everything is toxic|
evan| Their appetite is likely to spread like a virus| [person:caroline f 0-0]
caroline| Nothing like that Someone has misled you| [person:evan m 3-3][person:evan m 6-6]
evan| There is no way to be like that|
caroline| Everything you said isn t right Please understand that| [person:evan m 1-1]
evan| If so let me check it out one by one| [person:evan m 3-3]
caroline| I think that s fine| [person:caroline f 0-0]

conv:people_long_0313_204:aug_0:chat_0:chataug_0| kate nate| [person:kate f 0-0][person:nate m 1-1]
nate| Hey Kate how you are doing| [person:kate f 1-1][person:kate f 3-3]
kate| Hey Nate I m fine cause my parents just gave me some salmon they caught yesterday fishing| [person:nate m 1-1][person:kate f 2-2][person:kate f 6-6][person:parents g() 7-7][person:kate f 10-10][person:parents g() 13-13]
nate| Oh nice|
kate| They should go next week to fish again but I don t know if mom is really up for it since it said it is tired| [person:parents g() 0-0][person:kate f 9-9][person:mom f 14-14]
kate| By the way what you think I should do with this salmon| [person:nate m 4-4][person:kate f 6-6]
nate| I think it s best if you grill some for dinner| [person:nate m 0-0][person:kate f 6-6]
kate| I was thinking the same thing| [person:kate f 0-0]
kate| But what about the salmon that remains|
nate| Freeze it for some other time|
kate| I d rather smoke it and eat it another time| [person:kate f 0-0]
nate| It is better if you freeze it so you can eat it whenever you want| [person:kate f 4-4][person:kate f 8-8][person:kate f 13-13]
nate| If you smoke it it will go bad really quickly| [person:kate f 1-1]
kate| No I think it will be fine smoked| [person:kate f 1-1]
nate| Listen to me Kate and trust me that you will regret this decision| [person:nate m 2-2][person:kate f 3-3][person:nate m 6-6][person:kate f 8-8]
nate| You are better off doing it in my way| [person:kate f 0-0][person:nate m 7-7]
