conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
tony| But I do need to get picked up you think either Joshua or Paul good drop by and pick me up before they get to the theater| [person:tony m 1-1][person:joe m 8-8][person:joshua m 11-11][person:paul m 13-13][person:tony m 19-19][person:they g(joshua:paul) 22-22][location:theater s 26-26]
joe| Sure I just talked to Paul and he said he ll get you in about 10 minutes| [person:joe m 1-1][person:paul m 5-5][person:paul m 7-7][person:paul m 9-9][person:tony m 12-12]
tony| That sounds great I ll make sure to treat him to some food at the diner before the movie| [person:tony m 3-3][person:paul m 9-9]
joe| I guess I ll head out there soon so we get there around the same time see you in a bit Tony| [person:joe m 0-0][person:joe m 2-2][location:theater s 6-6][person:we g(joe:joshua) 9-9][location:theater s 11-11][person:tony m 17-17][person:tony m 21-21]
tony| Sure see you soon| [person:joe m 2-2]
tony| Also tell Paul to pick me up from my house if he remembers where it is| [person:paul m 2-2][person:tony m 5-5][person:tony m 8-8][location:house s 9-9][person:paul m 11-11][location:house s 14-14]
joe| Yup I told him already take care| [person:joe m 1-1][person:paul m 3-3]

conv:people_2019081201_35:aug_0:chat_0:chataug_0| austin jose| [person:austin m 0-0][person:jose m 1-1]
jose| Do you have any idea what we should take to the Howard s place| [person:austin m 1-1][person:we g(jose:austin) 6-6][person:howard_s g() 11-11][location:howard_s_place s 13-13]
austin| I don t really know What are you thinking we should take| [person:austin m 0-0][person:jose m 7-7][person:we g(jose:austin) 9-9]
jose| I think that they might enjoy a bottle of wine or a box of chocolates| [person:jose m 0-0][person:howard_s g() 3-3]
austin| That seems pretty safe but I don t really know them very well| [person:austin m 5-5][person:howard_s g() 10-10]
jose| I know that they like entertaining and they are both very busy| [person:jose m 0-0][person:howard_s g() 3-3][person:howard_s g() 7-7]
austin| We need something that is thoughtful yet professional| [person:we g(jose:austin) 0-0]
jose| Maybe you should ask Jerry since he knows the Howards fairly well| [person:austin m 1-1][person:jerry m 4-4][person:jerry m 6-6][person:howard_s g() 9-9]
austin| That is a good idea since he has known them for many years| [person:jerry m 6-6][person:howard_s g() 9-9]
jose| Ask Jerry for a few suggestions and then we can decide what we want to take| [person:jerry m 1-1][person:we g(jose:austin) 8-8][person:we g(jose:austin) 12-12]
austin| I will get in touch with Jerry right away and then let you know what he says| [person:austin m 0-0][person:jerry m 6-6][person:jose m 12-12][person:jerry m 15-15]
jose| Thanks I appreciate you talking with Jerry| [person:jose m 1-1][person:austin m 3-3][person:jerry m 6-6]
austin| Not a problem Talk with you later| [person:jose m 5-5]

conv:people_2019081201_36:aug_0:chat_0:chataug_0| ethan lori| [person:ethan m 0-0][person:lori f 1-1]
ethan| Hey Lori I am running late at work Can you pick up Kim from the train station| [person:lori f 1-1][person:ethan m 2-2][person:lori f 9-9][person:kim f 12-12][location:train_station s 15-16]
lori| Sure but I won t have enough time to buy the ingredients for the lunch tomorrow with Tony Lucy Michelle and Oliver Could you stop on the way home| [person:lori f 2-2][person:tony m 17-17][person:lucy f 18-18][person:michelle f 19-19][person:ethan m 23-23][location:home s 28-28]
ethan| Yeah no problem I don t have the list though What are we making for them| [person:ethan m 3-3][person:we g(ethan:lori:kim:tony:lucy:michelle) 12-12][person:them g(kim:tony:lucy:michelle) 15-15]
lori| Well I was still thinking it over I was actually going to ask if you recall what they like I know Kim said Michelle loves tomatoes and citrus| [person:lori f 1-1][person:lori f 7-7][person:ethan m 14-14][person:they g(kim:tony:lucy:michelle) 17-17][person:lori f 19-19][person:kim f 21-21][person:michelle f 23-23]
ethan| She does That does help I think they have made some curries before so they like that| [person:michelle f 0-0][person:ethan m 5-5][person:they g(kim:tony:lucy:michelle) 7-7][person:they g(kim:tony:lucy:michelle) 14-14]
lori| What about a curried grain and tomato salad with lemon custard for dessert|
ethan| That sounds nice for lunch What all should I buy| [person:ethan m 8-8]
lori| Get tomatoes lentils some type of whole grain that tastes good cold and lemons We have the rest here| [person:we g(ethan:lori:kim:tony:lucy:michelle) 14-14][location:here s 18-18]
ethan| Sounds great I ll help you make the food Kim s train is supposed to arrive at 530PM| [person:ethan m 2-2][person:lori f 5-5][person:kim f 9-9]
lori| Thanks OK I better go get ready to go| [person:lori f 2-2]

conv:people_2019081201_37:aug_0:chat_0:chataug_0| martin mike| [person:martin m 0-0][person:mike m 1-1]
mike| Martin What s up bro| [person:martin m 0-0]
martin| Not much man How s it going|
mike| Alright did you talk to the guys Where are we watching the game| [person:mike m 2-2][person:we g(mike:martin) 9-9]
martin| I did but they re still undecided Jon wants to go to BDubs but Tim doesn t want to drive that far| [person:martin m 0-0][person:they g() 3-3][person:jon m 7-7][location:bdubs s 12-12][person:tim m 14-14]
mike| Yeah I could go for some wings too What if we pick Tim up| [person:mike m 1-1][person:we g(mike:martin) 10-10][person:tim m 12-12]
martin| I thought about it but he lives so out of the way| [person:martin m 0-0][person:tim m 5-5]
mike| That s true So doesn t BDubs deliver now| [location:bdubs s 6-6]
martin| Yeah I think they do why| [person:martin m 1-1][person:they g(jon:tim) 3-3]
mike| What if we order delivery and watch at my place I don t mind hosting| [person:we g(mike:martin) 2-2][person:mike m 8-8][location:place s 9-9][person:mike m 10-10]
martin| Yeah that could work Let me ask the guys and let you know| [person:martin m 5-5][person:mike m 11-11]
mike| Cool let me know ASAP so I can clean up a little bit| [person:mike m 2-2][person:mike m 6-6]
martin| No problem will do|

conv:people_2019081201_38:aug_0:chat_0:chataug_0| eva jon| [person:eva f 0-0][person:jon m 1-1]
eva| Wanna get drinks with me and Tony next week| [person:eva f 4-4][person:tony m 6-6]
jon| Oh sure I have not seen him in ages| [person:jon m 2-2][person:tony m 6-6]
eva| He will be glad to see you| [person:tony m 0-0][person:jon m 6-6]
jon| I just realized Andy will be in town| [person:jon m 0-0][person:andy m 3-3][location:town s 7-7]
eva| You should invite him too| [person:jon m 0-0][person:andy m 3-3]
jon| Yeah it would be nice since he hasn t met you yet| [person:andy m 6-6][person:eva f 10-10]
eva| How about you let him know| [person:jon m 2-2][person:andy m 4-4]
jon| I definitely will then| [person:jon m 0-0]
eva| Let s meet tomorrow night at the bar| [location:bar s 7-7]
jon| That sounds good to me| [person:jon m 4-4]

conv:people_2019081201_39:aug_0:chat_0:chataug_0| jerry tiffany| [person:jerry m 0-0][person:tiffany f 1-1]
jerry| Hey Tiffany good to see you again how is life these days| [person:jerry m 1-1][person:tiffany f 5-5]
tiffany| Jerry how lovely to see you life couldn t be better do you have a minute to discuss the barbecue in my back yard we talked about before| [person:jerry m 0-0][person:jerry m 5-5][person:jerry m 12-12][person:tiffany f 21-21][person:we g(jerry:tiffany) 24-24]
jerry| Yes of course have you thtought about what food and type of drinks to serve yet| [person:tiffany f 4-4]
tiffany| Why yes I have For the food I thought we would let people bring food we could share each person coming to call me And to drink we could have beer and some red wine and for those who don t like alcohol soda and juice Can you bring the beer| [person:tiffany f 2-2][person:tiffany f 7-7][person:we g(jerry:tiffany) 9-9][person:we g(jerry:tiffany) 15-15][person:tiffany f 23-23][person:we g(jerry:tiffany) 27-27][person:jerry m 47-47]
jerry| Yes Tiffany I can so assume we will have the traditional hamburgers hotdogs and maybe chicken to barbecue as well yes| [person:tiffany f 1-1][person:jerry m 2-2][person:we g(jerry:tiffany) 6-6]
tiffany| Yes that is what I thought as well for the food now have you thought who we should invite to our little gettogether| [person:tiffany f 4-4][person:jerry m 13-13][person:we g(jerry:tiffany) 16-16][person:ou f 20-20]
jerry| Well we definity have to invite Christopher and Rachael right so I can call them Who do you want to invite| [person:we g(jerry:tiffany:ou) 1-1][person:christopher m 6-6][person:jerry m 11-11][person:them g(christopher) 14-14][person:tiffany f 17-17]
tiffany| Yes definitely we should invite them and I can call Margaret and Michael as I am sure they will want to come as well| [person:we g(jerry:tiffany:ou) 2-2][person:them g(christopher) 5-5][person:tiffany f 7-7][person:margaret f 10-10][person:michael m 12-12][person:tiffany f 14-14]
jerry| Perfect that should give us a good group of people for sure It should be a great barbecue then Ok then Tiffany I am on my way but I will call you later this week to see how everything is going Have a wonderful day speak to you soon| [person:us g(jerry:tiffany:christopher:margaret:michael) 4-4][person:tiffany f 21-21][person:jerry m 22-22][person:jerry m 25-25][person:jerry m 28-28][person:tiffany f 31-31]
tiffany| OK Jerry sounds good I can t wait for our barbecue then talk with you later| [person:jerry m 1-1][person:tiffany f 4-4][person:our g(jerry:tiffany) 9-9][person:jerry m 14-14]

conv:people_2019081201_40:aug_0:chat_0:chataug_0| ann jacqueline| [person:ann f 0-0][person:jacqueline f 1-1]
jacqueline| Hey Ann how s it going| [person:ann f 1-1]
ann| Great Have you thought of a place for us to meet tonight| [person:jacqueline f 2-2][location:place s 6-6][person:us g(jacqueline:ann) 8-8]
jacqueline| Not yet Where do you think Sandra and Angela would like to go I can t get hold of them| [person:ann f 4-4][person:sandra f 6-6][person:angela f 8-8][person:jacqueline f 13-13][person:others g(sandra:angela) 19-19]
ann| Well Angela loves Mexican I know that for sure| [person:angela f 1-1][person:ann f 4-4]
jacqueline| Oh you know what so does Sandra She invited me to a Mexican place last year that she loves| [person:angela f 1-1][person:sandra f 6-6][person:sandra f 7-7][person:sandra f 9-9][location:place s 13-13][person:sandra f 17-17]
ann| Oh maybe we can go there| [person:us g(jacqueline:ann) 2-2][location:place s 5-5]
jacqueline| It s in the burbs Do you know any good places in town| [location:place s 0-0][person:ann f 6-6][location:places g() 10-10][location:town s 12-12]
ann| Oh yeah there is Revolucion Steakhouse on Broadway It will be perfect| [location:revolucion_steakhouse s 4-4]
jacqueline| Oh I know exactly where that is I ll make us a reservation for 8pm| [person:jacqueline f 1-1][person:jacqueline f 7-7][person:us g(jacqueline:ann) 10-10]
ann| Okay I ll tell the others See you there| [person:ann f 1-1][person:others g(sandra:angela) 5-5][person:jacqueline f 7-7][location:revolucion_steakhouse s 8-8]

conv:people_2019081201_41:aug_0:chat_0:chataug_0| jacob nick| [person:jacob m 0-0][person:nick m 1-1]
nick| Hey Jacob| [person:jacob m 1-1]
jacob| Nick what s going on my man| [person:nick m 0-0][person:jacob m 5-5]
nick| I wanted to reach out to you cause my friends John and Craig are heading to Dallas right around your area and was wondering if you could show them around| [person:nick m 0-0][person:jacob m 6-6][person:nick m 8-8][person:friends g() 9-9][person:john m 10-10][person:craig m 12-12][person:jacob m 19-19][person:jacob m 25-25]
jacob| That sounds fun I d love to meet your friends and show them around the parts where locals enjoy| [person:jacob m 3-3][person:nick m 8-8][person:friends g(john:craig) 9-9][person:friends g(john:craig) 12-12]
nick| I m so glad you feel that way I was afraid that you would say no| [person:nick m 0-0][person:jacob m 4-4][person:nick m 8-8][person:jacob m 12-12]
jacob| Of course not I love meeting new people| [person:jacob m 3-3]
jacob| Where would John and Craig like to go you think| [person:john m 2-2][person:craig m 4-4][person:nick m 8-8]
nick| They really like sports maybe a Dallas Cowboys game| [person:friends g(john:craig) 0-0][location:dallas s 6-6]
jacob| If they pay for the tickets why not| [person:friends g(john:craig) 1-1]
nick| Yes they will for sure so are you down if they pay for you| [person:friends g(john:craig) 1-1][person:jacob m 7-7][person:friends g(john:craig) 10-10][person:jacob m 13-13]
jacob| Yup count me in| [person:jacob m 2-2]
nick| OK I ll let them know I ll give you more details about their arrival soon| [person:nick m 1-1][person:friends g(john:craig) 4-4][person:nick m 6-6][person:jacob m 9-9][person:friends g(john:craig) 13-13]
jacob| Great just let me know take care| [person:jacob m 3-3]

conv:people_2019081201_44:aug_0:chat_0:chataug_0| gary samuel| [person:gary m 0-0][person:samuel m 1-1]
gary| hey bill whats app what do you guys take| [person:bill m 1-1][person:samuel m 6-6]
samuel| am cool and delighted what is that which is available currently|
gary| all available but don t know what will suit the Anderson s better| [person:anderson u 10-10]
samuel| i suggest you take a thrilling game to keep us lively What do you suggest| [person:samuel m 0-0][person:gary m 2-2][person:us g(gary:samuel) 9-9][person:gary m 13-13]
gary| i conquer a game that will make the evening quite interesting and fun| [person:gary m 0-0]
samuel| i have a suggestion should we take a FIFA 2019 disk| [person:samuel m 0-0][person:we g(gary:samuel) 5-5]
