conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
amanda| I remember how much Ryan liked the Cardinals so we would have a great time as long as it was okay with Harold| [person:amanda f 0-0][person:ryan m 4-4][person:we g(amanda:ryan) 9-9][person:harold m 22-22]
margaret| I think they both will like it Then we all could meet up for dinner and drinks| [person:margaret f 0-0][person:them g(harold:ryan) 2-2][person:we g(margaret:amanda:harold:ryan) 8-8]
amanda| This sounds fun When do I need to meet up with them| [person:amanda f 5-5][person:them g(harold:ryan) 11-11]
margaret| I ll let you know as soon as I talk to them Thanks for doing this for me I owe you one| [person:margaret f 0-0][person:amanda f 3-3][person:margaret f 8-8][person:them g(harold:ryan) 11-11][person:margaret f 17-17][person:margaret f 18-18][person:amanda f 20-20]
amanda| Or 2 or 3 No seriously I m happy to do it So I guess I ll talk to you later on today| [person:amanda f 6-6][person:amanda f 13-13][person:amanda f 15-15][person:margaret f 19-19]
margaret| Yep I ll call you back by 8 at the latest| [person:margaret f 1-1][person:amanda f 4-4]
amanda| Okay Talk to you then Bye| [person:margaret f 3-3]
margaret| Bye Amanda thanks| [person:amanda f 1-1]

conv:people_2019090101_156:aug_0:chat_0:chataug_0| bryan howard| [person:bryan m 0-0][person:howard m 1-1]
bryan| Still up for having a party next Saturday night|
howard| Yes Who will we invite| [person:we g(bryan:howard) 3-3]
bryan| How about Alan Brandon and Steven| [person:alan m 2-2][person:brandon m 3-3][person:steven m 5-5]
howard| How about Steven too| [person:steven m 2-2]
bryan| Well he s been getting on my nerves but he will find out from everyone else| [person:steven m 1-1][person:bryan m 6-6][person:steven m 9-9][person:everyone g() 14-14]
howard| You re right Don t want to make any bad waves| [person:bryan m 0-0]
bryan| Where will we go| [person:we g(bryan:howard:alan:brandon:steven:steven) 2-2]
howard| My parents will be out of town so my house is fine| [person:howard m 0-0][person:parents g() 1-1][location:town g() 6-6][person:howard m 8-8]
bryan| No way Awesome everyone will love it| [person:everyone g(bryan:howard:alan:brandon:steven:steven) 3-3][location:it u 6-6]
howard| Does everyone like beer| [person:everyone g(bryan:howard:alan:brandon:steven:steven) 1-1]
bryan| As far as I know they do| [person:bryan m 3-3][person:they g() 5-5]
howard| I will pick up a couple kegs| [person:howard m 0-0]
bryan| Awesome I will check and see if any girls want to come| [person:bryan m 1-1][person:girls g() 8-8]
howard| Does everyone like pizza| [person:everyone g() 1-1]
bryan| Who doesn t|
howard| Let the other guys know but only tell girls I don t want the party getting out of control| [person:girls g() 8-8][person:howard m 9-9]
bryan| LOL Will do I ll call you later| [person:bryan m 3-3][person:howard m 6-6]
howard| Don t tell my parents LOL See ya later| [person:howard m 3-3][person:parents g() 4-4]

conv:people_2019090101_157:aug_0:chat_0:chataug_0| cathy rebecca| [person:cathy f 0-0][person:rebecca f 1-1]
rebecca| Hi Cathy are you free this weekend| [person:cathy f 1-1][person:cathy f 3-3]
cathy| Yeah what s up Want to go somewhere|
rebecca| Actually I d like to practice basketball with you| [person:rebecca f 1-1][person:cathy f 8-8]
cathy| Sure Should we call the others to make a team| [person:we g(rebecca:cathy) 2-2][person:others g() 5-5]
rebecca| Yeah that d be great that s still only 5 people though|
cathy| No problem I ll see if they can also get others to come| [person:cathy f 2-2][person:others g() 6-6][person:others g() 10-10]
rebecca| Yeah sorry I don t know anyone from class too well besides those 3| [person:rebecca f 2-2][person:others g() 6-6]
cathy| Well I don t either really but Eve is pretty friendly with everyone| [person:cathy f 1-1][person:everyone g(rebecca:cathy) 12-12]
rebecca| Yeah even like 1 more person is fine as long as we have even teams| [person:we g(rebecca:cathy) 11-11]
cathy| Ok I ll talk to Eve about it then Where do you wanna meet everyone| [person:cathy f 1-1][person:rebecca f 11-11][person:everyone g(rebecca:cathy) 14-14]
rebecca| Meeting at the gym should be fine everyone should know how to get there right| [person:everyone g(rebecca:cathy) 7-7]
cathy| Yeah So I ll talk to you later| [person:cathy f 2-2][person:rebecca f 6-6]

conv:people_2019090101_158:aug_0:chat_0:chataug_0| leslie tara| [person:leslie f 0-0][person:tara f 1-1]
tara| Leslie My friend Ashley is coming in to town and I was supposed to meet her but I can t can you help me out| [person:leslie f 0-0][person:tara f 1-1][person:tara f 2-2][person:ashley f 3-3][person:tara f 10-10][person:ashley f 15-15][person:tara f 17-17][person:tara f 23-23]
leslie| A work conflict I presume I m not sure what time| [person:leslie f 3-3][person:leslie f 5-5]
tara| She comes it at 1 pm on Tuesday| [person:ashley f 0-0][location:town s 2-2]
leslie| Oh I have a meeting with my business partner Roy I can t| [person:leslie f 1-1][person:leslie f 6-6][person:roy m 9-9][person:leslie f 10-10]
tara| Can you try to reschedule Is it super important| [person:leslie f 1-1][location:town s 6-6]
leslie| I guess I could try let me ask him| [person:leslie f 0-0][person:leslie f 2-2][person:leslie f 6-6][person:roy m 8-8]
tara| Thanks so much Leslie you re my best friend| [person:leslie f 3-3][person:leslie f 4-4][person:tara f 6-6][person:leslie f 8-8]
leslie| Looks like Roy said we could move it to another day I m free to pick Ashley up| [person:roy m 2-2][person:we g(leslie:roy) 4-4][person:leslie f 11-11][person:ashley f 16-16]
tara| Thanks so much Leslie and say thank you to Roy too I ll buy both of you dinner next time| [person:leslie f 3-3][person:leslie f 7-7][person:roy m 9-9][person:tara f 11-11][person:we g(leslie:roy) 16-16]
leslie| OK I ll hold you to that take care Tara| [person:leslie f 1-1][person:tara f 4-4][person:tara f 9-9]

conv:people_2019090101_159:aug_0:chat_0:chataug_0| barbara jill| [person:barbara f 0-0][person:jill f 1-1]
barbara| What time should we have the party tonight| [person:we g(barbara:jill) 3-3]
jill| I was thinking 8 o clock is enough time for people to get off work and get ready| [person:jill f 0-0]
barbara| That s a good idea Who all is coming|
jill| Carol Charlotte and Pamela said they re coming| [person:carol f 0-0][location:charlotte s 1-1][person:pamela f 3-3][person:they g(carol:charlotte:pamela) 5-5]
barbara| Who s going to get the alcohol|
jill| Carol said she didn t mind stopping at the liquor store| [person:carol f 0-0][person:carol f 2-2]
barbara| Okay great I ll ask Charlotte and Pamela to grab some plates and napkins| [person:barbara f 2-2][location:charlotte s 5-5][person:pamela f 7-7]
jill| Who s getting the food|
barbara| I m going to order pizza and appetizers| [person:barbara f 0-0]
jill| Yum Sounds good See you tonight| [person:barbara f 4-4]

conv:people_2019090101_161:aug_0:chat_0:chataug_0| dave jack| [person:dave m 0-0][person:jack m 1-1]
jack| Wanna get some drinks tomorrow|
dave| That sounds good to me| [person:dave m 4-4]
jack| Alright that is great to hear|
dave| Can I invite Dorothy and Zachary| [person:dave m 1-1][person:dorothy f 3-3][person:zachary m 5-5]
jack| Of course you can| [person:dave m 2-2]
dave| what bar should we go to| [location:bar s 1-1][person:we g(jack:dave) 3-3]
jack| I think McCloud s would be the best| [person:jack m 0-0]
dave| I am a big fan of that place| [person:dave m 0-0][location:bar s 7-7]
jack| But can we make a reservation there| [person:we g(jack:dave) 2-2][location:bar s 6-6]
dave| Yes I think you can| [person:dave m 1-1][person:jack m 3-3]
jack| Can you make one then| [person:dave m 1-1]
dave| Sure I can make one| [person:dave m 1-1]

conv:people_2019090101_163:aug_0:chat_0:chataug_0| karen lara| [person:karen f 0-0][person:lara f 1-1]
lara| Hi Karen I just landed at the airport I can t wait to see everyone I d love it if we could all get together| [person:karen f 1-1][person:lara f 2-2][person:lara f 8-8][person:we g(lara:karen) 14-14][person:lara f 15-15][person:we g(lara:karen) 20-20]
karen| Yes me too Looking forward to it| [person:karen f 1-1][location:it s 6-6]
lara| I m trying to figure out a convenient place for us to meet that s not too far from everyone Do you know where Lori Josh and Thomas live| [person:lara f 0-0][person:we g(lara:karen) 10-10][person:we g(lara:karen) 19-19][person:lori f 24-24][person:josh m 25-25][person:thomas m 27-27]
karen| I do Lori and Josh live on the west side and Thomas lives further north| [person:karen f 0-0][person:lori f 2-2][person:josh m 4-4][person:thomas m 11-11]
lara| Okay so I ll try to pick somewhere in the middle| [person:lara f 2-2]
karen| That should be great Oh one thing Josh isn t comfortable driving very far so it might be better if we picked something closer to him| [person:josh m 7-7][location:it s 15-15][person:we g(lara:karen:lori:josh:thomas) 20-20][person:josh m 25-25]
lara| Okay that s good to know So I ll look for a restaurant out on the west side of the city| [person:lara f 7-7][location:restaurant s 12-12][location:city s 20-20]
karen| I think that s a great idea and he ll appreciate it| [person:karen f 0-0][person:josh m 8-8]
lara| Sure thing no problem Can t wait to see everyone| [person:we g(lara:karen:lori:josh:thomas) 9-9]
karen| Me too Let me know when you have a place picked out| [person:karen f 0-0][person:karen f 3-3][person:lara f 6-6][location:restaurant s 9-9]

conv:people_2019090101_164:aug_0:chat_0:chataug_0| brian thomas| [person:brian m 0-0][person:thomas m 1-1]
thomas| My friends Nate and Malcolm are coming to Los Angeles next week| [person:thomas m 0-0][person:friends g() 1-1][person:nate m 2-2][person:malcolm m 4-4][location:los_angeles s 8-9]
brian| Oh awesome What are they gonna be here for| [person:friends g(nate:malcolm) 4-4][location:here s 7-7]
thomas| They re going to the big tech convention downtown| [person:friends g(nate:malcolm) 0-0][location:downtown s 8-8]
brian| Oh yeah I forgot that s next week| [person:brian m 2-2]
thomas| Is there any way you could show them around while they re there| [location:there s 1-1][person:brian m 4-4][person:friends g(nate:malcolm) 7-7][person:friends g(nate:malcolm) 10-10][location:here s 12-12]
brian| Yeah no problem What kind of things do they enjoy| [person:friends g(nate:malcolm) 8-8]
thomas| They like gourmet food and craft cocktails They also like art museums and other museums| [person:friends g(nate:malcolm) 0-0][person:friends g(nate:malcolm) 7-7][location:art_museums g(downtown:here:downtown) 10-11][location:art_museums g(downtown:here:downtown) 11-11]
brian| I know some great food spots that they ll love| [person:brian m 0-0][person:friends g(nate:malcolm) 7-7]
brian| There are also several museums downtown| [location:there s 0-0][location:art_museums g(downtown:here:downtown) 4-4][location:downtown s 5-5]
thomas| I really appreciate it I ll give them your number Thanks again| [person:thomas m 0-0][location:it s 3-3][person:thomas m 4-4][person:friends g(nate:malcolm) 7-7][person:brian m 8-8]

conv:people_2019090101_165:aug_0:chat_0:chataug_0| barbara pamela| [person:barbara f 0-0][person:pamela f 1-1]
pamela| Hey Barbara does everyone know what time we re going on the road trip| [person:barbara f 1-1][person:everyone g(pamela:barbara) 3-3][person:we g(pamela:barbara) 7-7][location:road_trip s 12-13][location:road_trip s 13-13]
barbara| I think so but it d be good to make sure| [person:barbara f 0-0]
pamela| Ok but before we talk to them I think it d be good for us to figure out what we need| [person:we g(pamela:barbara) 3-3][person:everyone g(pamela:barbara) 6-6][person:pamela f 7-7][person:us g(pamela:barbara) 14-14][person:we g(pamela:barbara) 19-19]
barbara| You mean like food and stuff| [person:pamela f 0-0]
pamela| Yeah food drinks gas and whatever else we need| [person:we g(pamela:barbara) 7-7]
barbara| I ll cover the gas don t worry about it| [person:barbara f 0-0]
pamela| But we re going in your car right You sure about that| [person:we g(pamela:barbara) 1-1][person:barbara f 5-5][person:barbara f 8-8]
barbara| Yeah it s ok as long as everyone else has the other stuff| [person:everyone g(pamela:barbara) 7-7]
pamela| I ll get the misc supplies I already have a list made so you can just ask them about food and drink| [person:pamela f 0-0][person:pamela f 6-6][person:barbara f 13-13][person:everyone g(pamela:barbara) 17-17]
barbara| Ok I ll add them in a group chat and divide the foodstuffs among them See you later| [person:barbara f 1-1][person:everyone g(pamela:barbara) 4-4][person:everyone g(pamela:barbara) 14-14][person:pamela f 16-16]

conv:people_2019090101_166:aug_0:chat_0:chataug_0| dennis ralph| [person:dennis m 0-0][person:ralph m 1-1]
dennis| Hey Ralph how s it going man| [person:dennis m 1-1]
ralph| I m good bro how are you| [person:dennis m 0-0][person:dennis m 6-6]
dennis| Things are good Hey Stephen Josh and I are heading out on a road trip You should come with us| [person:dennis m 4-4][person:dennis m 5-5][person:dennis m 7-7][person:dennis m 15-15][person:dennis m 19-19]
ralph| That sounds like fun Only thing is I don t really know Josh and Stephen all that well Not sure how it would go| [person:dennis m 7-7][person:dennis m 12-12][person:dennis m 14-14]
dennis| Oh man I think you ll totally love these guys They re super cool| [person:dennis m 2-2][person:dennis m 4-4][person:dennis m 10-10]
ralph| Oh really What are they like| [person:dennis m 4-4]
dennis| Stephen is super laid back and mellow He pretty much gets along with anyone| [person:dennis m 0-0][person:dennis m 7-7][person:dennis m 13-13]
