conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
conv:people_chats_0629_459:aug_0:chat_0:chataug_0| phillip terry| [person:phillip m 0-0][person:terry m 1-1]
terry| What s up Phillip| [person:phillip m 3-3]
terry| Are you going fishing tonight| [person:phillip m 1-1]
phillip| Wasn t planning on it|
phillip| But it sounds like a good idea now that you mention it| [person:terry m 9-9]
terry| Glad you think so| [person:phillip m 1-1]
phillip| I need to make sure my wife Sara can keep an eye on the kids though| [person:phillip m 0-0][person:phillip m 5-5][person:sara f 6-6][person:sara f 7-7][person:kids g() 14-14]
phillip| If she can watch Sandra and Trisha then for sure I ll come fishing| [person:sara f 1-1][person:sandra f 4-4][person:trisha f 6-6][person:phillip m 10-10]
terry| Why don t you just bring them with you| [person:phillip m 3-3][person:them g(sara:sandra:trisha) 6-6][person:phillip m 8-8]
phillip| None of them care for fishing| [person:them g(sara:sandra:trisha) 2-2]
phillip| I ve taken them out many times before believe me And they had no interest in it| [person:phillip m 0-0][person:them g(sara:sandra:trisha) 3-3][person:phillip m 9-9][person:they g(sara:sandra:trisha) 11-11]
terry| Bummer|

conv:people_chats_0629_461:aug_0:chat_0:chataug_0| shanann susana| [person:shanann m 0-0][person:susana f 1-1]
susana| hey what brand of chocolate milk|
shanann| honestly any is fine|
susana| will the kids want any soda| [person:kids g() 2-2]
shanann| No brandy and tim do want fruit snacks though| [person:brandy f 1-1][person:tim m 3-3]
susana| do you think we should get them some| [person:shanann m 1-1][person:we g(susana:shanann) 3-3][person:kids g(brandy:tim) 6-6]
shanann| yes we can use it as a treat| [person:we g(susana:shanann) 1-1]
susana| do you want anything else| [person:shanann m 1-1]
shanann| yes please grab some pasta|
susana| i ll get the tricolor rotini because it is on sale| [person:susana f 0-0]
shanann| good idea did you bring the coupons| [person:susana f 3-3]
susana| oh no i forgot them on the table| [person:susana f 2-2]
susana| but i will grab some pasta sauce too alfredo or marinara| [person:susana f 1-1]
shanann| get both to be safe|

conv:people_chats_0629_468:aug_0:chat_0:chataug_0| caden donelle| [person:caden m 0-0][person:donelle f 1-1]
donelle| Hey Caden|
caden| Hey Donelle what s up| [person:donelle f 1-1]
donelle| Just wanted to say thank you so much for the Christmas gifts Natalia and Greyson love the pool| [person:caden m 5-5][person:natalia f 12-12][person:greyson m 14-14]
caden| No problem|
donelle| It fits perfectly in the backyard and they haven t stopped playing in it| [person:donelle f 7-7]
caden| I m so glad that they like it| [person:caden m 0-0][person:greyson m 5-5]
donelle| I m thinking of having the kids write you a thankyou letter| [person:donelle f 0-0][person:donelle f 6-6][person:caden m 8-8]
caden| That would be very nice|
donelle| What is your address again It s been a while| [person:donelle f 2-2]
caden| I ll call you in a few and tell you| [person:caden m 0-0][person:caden m 3-3][person:caden m 9-9]
donelle| Thanks Caden Talk to you soon| [person:natalia f 4-4]
caden| Sounds good talk to you soon| [person:natalia f 4-4]

conv:people_chats_0629_469:aug_0:chat_0:chataug_0| brenda samantha| [person:brenda f 0-0][person:samantha f 1-1]
brenda| Hey Samantha| [person:samantha f 1-1]
brenda| Do you want to go Easter dress shopping for the girls| [person:samantha f 1-1][person:girls g() 10-10]
samantha| When do you want to go| [person:brenda f 2-2]
samantha| I ve got a busy afternoon today| [person:samantha f 0-0]
samantha| My son Logan s baseball game is this afternoon and later I have dinner plans with my husband Keith| [person:samantha f 0-0][person:logan m 1-1][person:logan m 2-2][person:samantha f 11-11][person:samantha f 16-16][person:keith m 17-17][person:keith m 18-18]
samantha| We re going to go out and have Chinese| [person:group g(samantha:keith) 0-0]
samantha| We re trying to convince Logan to come with us and try it| [person:group g(samantha:keith) 0-0][person:logan m 5-5][person:group g(samantha:keith) 9-9]
brenda| Wow it does sound like you have a busy day ahead| [person:samantha f 5-5]
brenda| I bet if Logan s team wins you can convince him Chinese is a celebration| [person:brenda f 0-0][person:logan m 3-3][person:team g() 5-5][person:samantha f 7-7][person:logan m 10-10]
brenda| If not it can help him feel better too haha| [person:logan m 5-5]
brenda| I was thinking about going tomorrow morning if that works for you| [person:brenda f 0-0][person:samantha f 11-11]

conv:people_chats_0629_471:aug_0:chat_0:chataug_0| cameron hogan| [person:cameron f 0-0][person:hogan m 1-1]
hogan| hello dear cameron has anyone passed at the ambush point yet| [person:cameron f 2-2][person:anyone u 4-4]
cameron| yes a group of people passed|
cameron| several hours ago and they looked armed| [person:they g() 4-4]
cameron| very well armed so i didn t open fire| [person:cameron f 4-4]
hogan| Boss Lisa will be disappointed by your cowardice you know that right| [person:lisa f 1-1][person:cameron f 6-6][person:cameron f 8-8]
cameron| don t forget i am a woman all alone with a bolt action riffle Lisa will have to provide a better riffle and weapon if she is expecting me to carry out the ambush job| [person:cameron f 3-3][person:lisa f 14-14][person:lisa f 25-25][person:cameron f 28-28]
hogan| i will talk to the boss or the armorer to provide a better weapon then| [person:hogan m 0-0]
hogan| i think George will get you a better weapon to ambush the intruder| [person:hogan m 0-0][person:george m 2-2][person:cameron f 5-5]
cameron| what about me getting a vape as well| [person:cameron f 2-2]
hogan| i am not sure other armorer has spare parts right now| [person:hogan m 0-0]
cameron| just try since it will aid me to disappear into the vapour cloud if i am found| [person:cameron f 6-6][person:cameron f 14-14]

conv:people_chats_0629_472:aug_0:chat_0:chataug_0| alana chatsworth| [person:alana f 0-0][person:chatsworth m 1-1]
alana| Hey babe guess who just won two tickets to a heavy metal concert|
alana| Wanna come with or are you too busy| [person:chatsworth m 5-5]
chatsworth| Depends Are you going to sing along and get us kicked out again| [person:alana f 2-2][person:alana_and_chatsworth g(alana:chatsworth) 9-9]
alana| Lol no I promise| [person:alana f 2-2]
alana| That was a onetime thing|
chatsworth| Yeah we ll see about that| [person:alana_and_chatsworth g(alana:chatsworth) 1-1]
chatsworth| Who s playing where is it|
alana| It s Def Leppard and in the soccer stadium we used to go to| [location:stadium s 8-8][person:alana_and_chatsworth g(alana:chatsworth) 9-9]
chatsworth| Cool Can I bring Fumina if she buys her own ticket| [person:chatsworth m 2-2][person:fumina f 4-4][person:fumina f 6-6][person:fumina f 8-8]
alana| I was kinda hoping this would be a date And an apology I don t really want your friends to be there too| [person:alana f 0-0][person:alana f 12-12][person:friends g(fumina) 18-18][location:stadium s 21-21]
chatsworth| What if I just invite both her and her boyfriend| [person:chatsworth m 2-2][person:fumina f 6-6][person:fumina f 8-8]
chatsworth| Ernest spends all his time making out with her they wouldn t bother us at all| [person:ernest m 0-0][person:ernest m 3-3][person:fumina f 8-8][person:fumina_and_ernest g(fumina:ernest) 9-9][person:alana_and_chatsworth g(alana:chatsworth) 13-13]
alana| Yeah that s fine I guess| [person:alana f 4-4]
alana| But you have to make sure she knows to bring Ernest with her| [person:chatsworth m 1-1][person:fumina f 6-6][person:ernest m 10-10][person:fumina f 12-12]
chatsworth| Sure I ll see what I can do Any other rules for this apologydate| [person:chatsworth m 1-1][person:chatsworth m 5-5]

conv:people_chats_0629_473:aug_0:chat_0:chataug_0| dom florence| [person:dom m 0-0][person:florence f 1-1]
dom| What do you want to do this weekend| [person:florence f 2-2]
florence| Well both dinner parties are at the same time this weekend so we have to pick one| [person:we g(dom:florence) 12-12]
dom| Where do you want to go| [person:florence f 2-2]
florence| I d prefer Sam and Carol s| [person:florence f 0-0][person:sam m 3-3][person:carol f 5-5]
dom| How come you prefer Sam and Carol s| [person:florence f 2-2][person:sam m 4-4][person:carol f 6-6]
florence| They always invite a lot of people so I can try all kinds of dishes| [person:they g(sam:carol) 0-0][person:florence f 8-8]
dom| I agree that I have lots of interesting people to talk to at Sam s and have a better time there| [person:dom m 0-0][person:dom m 3-3][person:sam m 13-13][location:there u 20-20]
florence| Well I guess Sam and Carol s it is| [person:florence f 1-1][person:sam m 3-3][person:carol f 5-5]
dom| Sounds great to me I agree| [person:dom m 3-3][person:dom m 4-4]
florence| I can t wait to try the dishes| [person:florence f 0-0]

conv:people_chats_0629_474:aug_0:chat_0:chataug_0| philip retsuko| [person:philip m 0-0][person:retsuko f 1-1]
retsuko| LOL You re silly Philip| [person:philip m 1-1][person:philip m 4-4]
retsuko| listen there are some people out there that truly are concerned with the well being of animals|
philip| look Suk i get it but i feel like in the times we are living in humanity should focus on protecting humanity| [person:philip m 2-2][person:philip m 6-6][person:we g(retsuko:philip) 12-12]
philip| Not saying that protecting animals is irrelevant but on my priority list i would rather join a gorup to protect an aspect of humanity first| [person:philip m 9-9][person:philip m 12-12]
philip| and you know me suk I LOVE ANIMALS Mom is just too overbearing about it all| [person:retsuko f 1-1][person:philip m 3-3][person:philip m 5-5][person:mom f 8-8]
retsuko| I hear ya it is a little much at times but she means well| [person:retsuko f 0-0][person:mom f 11-11]
retsuko| not going to lie|
retsuko| i would actually probably laugh my butt off cliff is so clumsy in general| [person:retsuko f 0-0][person:retsuko f 5-5]
philip| LOL See you know how Clifford is i That s my guy though gotta love him| [person:philip m 2-2][person:clifford m 5-5][person:philip m 7-7][person:philip m 10-10][person:clifford m 15-15]
philip| I m going to give that a shot in all honesty i think i m going to youtube how to successfully walk my dog on treadmill| [person:philip m 0-0][person:philip m 11-11][person:philip m 13-13][person:philip m 22-22]
retsuko| That would help the both of you tremendously| [person:philip m 6-6]
philip| No seriously I was thinking the same thing there are so many benefits Suk I can get my things taken care of and Cliff can get his exercise on| [person:philip m 2-2][person:philip m 14-14][person:philip m 17-17][person:clifford m 26-26]
retsuko| LOL Yup Then you ll have to figure out how to make sure you re getting in your workouts| [person:philip m 3-3][person:philip m 13-13][person:philip m 17-17]

conv:people_chats_0629_475:aug_0:chat_0:chataug_0| gemma madison| [person:gemma f 0-0][person:madison f 1-1]
madison| Hey Gemma like to play some Poker this Friday| [person:gemma f 1-1]
gemma| I don t do no local game meant for peasants| [person:gemma f 0-0]
gemma| I m going to Vegas with Jess| [person:gemma f 0-0][location:vegas s 4-4][person:jess f 6-6]
madison| A simple no would have sufficed you know| [person:gemma f 6-6]
madison| Are you and Jess gonna playing any game as a team in Vegas| [person:gemma f 1-1][person:jess f 3-3][person:team g(gemma:jess) 10-10][location:vegas s 12-12]
gemma| I really don t want to give details so as not to jinx it| [person:gemma f 0-0]
madison| Lol You have the gamers watching you or why are you paranoid| [person:gemma f 1-1][person:gemma f 6-6][person:gemma f 10-10]
gemma| After William got spooked the last time he shared his plans I ve been cautious| [person:william m 1-1][person:william m 7-7][person:william m 9-9][person:gemma f 11-11]
gemma| So i m keeping my plans to myself| [person:gemma f 1-1][person:gemma f 4-4][person:gemma f 7-7]
madison| Okay then|
madison| Seems I will be playing the poker with some strangers then| [person:madison f 1-1]
gemma| Good for you and goodluck| [person:madison f 2-2]
madison| You all should have a nice time in Vegas| [person:gemma f 0-0][location:vegas s 8-8]
gemma| We sure will| [person:team g(gemma:jess) 0-0]

conv:people_chats_0629_476:aug_0:chat_0:chataug_0| sandy wendy| [person:sandy f 0-0][person:wendy f 1-1]
sandy| hello how are you| [person:wendy f 3-3]
sandy| can you help me do my make up for the dance| [person:wendy f 1-1][person:sandy f 3-3][person:sandy f 5-5]
wendy| i m doing good sandy and of course i can help you| [person:wendy f 0-0][person:sandy f 4-4][person:wendy f 8-8][person:sandy f 11-11]
wendy| Myke will be so excited he s never seen you in make up before right| [person:myke m 0-0][person:myke m 5-5][person:sandy f 9-9]
sandy| No i m excited too| [person:sandy f 1-1]
sandy| I ll be over shortly| [person:sandy f 0-0]
wendy| ok see u soon| [person:sandy f 2-2]
wendy| Actually I ll come over there and bring everything so you can get ready| [person:wendy f 1-1][location:there u 5-5][person:sandy f 10-10]
sandy| Ok|
sandy| What about kyle Guess you re always wearing make up so tonight won t be any different| [person:kyle m 2-2][person:wendy f 4-4]
