conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
ron| Yes I m ready Have you brought anything for Pam| [person:ron m 1-1][person:victor m 5-5][person:pam f 9-9]
victor| Yes I ve bought a teddy bear for her I hope she likes it| [person:victor m 1-1][person:pam f 8-8][person:victor m 9-9][person:pam f 11-11]
ron| I guess she might not like a teddy bear Victor| [person:ron m 0-0][person:pam f 2-2][person:victor m 9-9]
victor| Why Generally all girls like to have cute things around| [person:girls g() 3-3]
ron| I was talking to Ria She told me so| [person:ron m 0-0][person:ria f 4-4][person:ria f 5-5][person:ron m 7-7]
victor| I wasn t aware about that Alright then I ll take you both to the store before going to the hospital| [person:victor m 0-0][person:victor m 8-8][person:ria f 11-11][location:hospital s 20-20]
ron| That would be nice We can both pick some nice greeting cards presents for her| [person:we g(victor:ron) 4-4][person:pam f 14-14]
ron| How long will you take to reach here| [person:victor m 3-3][location:here s 7-7]
victor| It won t take me more than 30 minutes| [location:here s 0-0][person:victor m 4-4]

conv:people_chats_04182020_141:aug_0:chat_0:chataug_0| caleb gregory| [person:caleb m 0-0][person:gregory m 1-1]
gregory| Hi Caleb Are you free| [person:caleb m 1-1][person:caleb m 3-3]
caleb| Yeah Gregory What s the matter| [person:gregory m 1-1]
gregory| I m very hungry but I m too tired to go out for dinner I was wondering if you could drive me to get food| [person:gregory m 0-0][person:gregory m 5-5][person:gregory m 14-14][person:caleb m 18-18][person:gregory m 21-21]
caleb| Why don t you ask your roommates Dorothy and Maryam| [person:gregory m 3-3][person:gregory m 5-5][person:dorothy f 7-7][person:maryam f 9-9]
gregory| The girls are on vacation and will not be home for a while That s why I asked for your help| [person:girls g(dorothy:maryam) 1-1][location:vacation s 4-4][location:home s 9-9][person:gregory m 16-16][person:caleb m 19-19]
caleb| Alright but it will take me some time I am not done with my work yet| [person:caleb m 5-5][person:caleb m 8-8][person:caleb m 13-13]
gregory| How long will it take you to finish your work| [person:caleb m 5-5][person:caleb m 8-8]
caleb| I think it will take an hour more| [person:caleb m 0-0]
gregory| Okay I ll wait Pick me up as soon as you are done| [person:gregory m 1-1][person:gregory m 5-5][person:caleb m 10-10]
caleb| Alright I will give you a call once I am done with my work| [person:caleb m 1-1][person:gregory m 4-4][person:caleb m 8-8][person:caleb m 12-12]

conv:people_chats_04182020_142:aug_0:chat_0:chataug_0| christian mason| [person:christian m 0-0][person:mason m 1-1]
mason| Christian what time are you free on Saturday to watch the new action movie that Timothy you and I were planning to go to| [person:christian m 0-0][person:christian m 4-4][person:timothy m 15-15][person:christian m 16-16][person:mason m 18-18]
christian| Hold on Timothy just called me He is saying that Tony is sick| [person:timothy m 2-2][person:christian m 5-5][person:timothy m 6-6][person:tony m 10-10]
mason| That s terrible He just recovered from diarrhea| [person:tony m 3-3]
christian| Exactly Instead of watching a movie let s visit Tony| [person:tony m 9-9]
mason| Yes That s a good idea Christian| [person:christian m 6-6]
christian| My car will be back from the mechanic this Friday So I ll drive us to his house| [person:christian m 0-0][person:christian m 11-11][person:us g(mason:christian:timothy) 14-14][person:tony m 16-16]
mason| Alright You can pick up Timothy from his apartment| [person:christian m 1-1][person:timothy m 5-5][person:timothy m 7-7][location:apartment s 8-8]
christian| Okay Where should I pick you up| [person:christian m 3-3][person:mason m 5-5]
mason| I ll be at the Central Library After Timothy you can come and get me from there| [person:mason m 0-0][person:timothy m 8-8][person:christian m 9-9][person:mason m 14-14][location:apartment s 16-16]
christian| Cool see you on Saturday| [person:mason m 2-2]

conv:people_chats_04182020_143:aug_0:chat_0:chataug_0| jane john| [person:jane f 0-0][person:john m 1-1]
john| Hy dear did you already hired a babysitter for tonight| [person:jane f 3-3]
jane| Not already I m not sure who it s difficult to choose between Rita and Adam| [person:jane f 2-2][person:rita f 13-13][person:adam m 15-15]
john| Why is it so difficult to make your decision| [person:jane f 7-7]
jane| I like Rita very much because she will keep the place tidy| [person:jane f 0-0][person:rita f 2-2][person:rita f 6-6][location:place s 10-10]
john| Choose Rita then| [person:rita f 1-1]
jane| But Adam was very good with little Timmy so| [person:adam m 1-1][person:timmy m 7-7]
john| Stop arguing with yourself and choose Adam| [person:rita f 3-3][person:adam m 6-6]
jane| Yes you re right but I m so confident about Rita I should perhaps choose her| [person:john m 1-1][person:jane f 5-5][person:rita f 10-10][person:jane f 11-11][person:rita f 15-15]
john| You re so complicated stop debating make your choice| [person:jane f 0-0][person:rita f 7-7]
jane| Yes I should| [person:jane f 1-1]
john| Make it Adam Rita it s on you now Both are very nice| [person:adam m 2-2][person:rita f 3-3][person:jane f 7-7]
jane| You re right as always This time it will be Rita| [person:john m 0-0][person:rita f 10-10]
john| Yes you did it Call her now And next time we ll hire Adam| [person:jane f 1-1][person:rita f 5-5][person:we g(john:jane) 10-10][person:adam m 13-13]
jane| Thanks for your help my dear| [person:john m 2-2][person:jane f 4-4]
john| It was a pleasure See you later| [person:jane f 5-5]
jane| See you later my love| [person:john m 1-1][person:jane f 3-3]

conv:people_chats_04182020_149:aug_0:chat_0:chataug_0| katherine millie| [person:katherine f 0-0][person:millie f 1-1]
katherine| Mom are we going for the prayer It s already late Father Patrick called me| [person:millie f 0-0][person:we g(katherine:millie) 2-2][person:patrick m 12-12][person:katherine f 14-14]
millie| I am all ears honey Almost done with the chores I wonder where our bad boy Dylan is| [person:millie f 0-0][person:millie f 10-10][person:we g(katherine:millie) 13-13][person:dylan m 16-16]
katherine| Didn t he tell you His team is playing a oneoff against Oregon Giants in the Fenway Park| [person:dylan m 2-2][person:millie f 4-4][person:dylan m 5-5][person:team g() 6-6]
millie| I see that little chap was restless last night Now I realized why Did he say anything about returning I am getting late I need to rush to the church| [person:millie f 0-0][person:millie f 10-10][person:dylan m 14-14][person:millie f 19-19][person:millie f 23-23][location:church s 29-29]
katherine| Mom I am just saying what if I go cheer my little brother My friends are already there| [person:millie f 0-0][person:katherine f 1-1][person:katherine f 7-7][person:katherine f 10-10][person:dylan m 12-12][person:katherine f 13-13][person:friends g() 14-14][location:church s 17-17]
millie| Are you sure honey You better take the car And I don t want to see and hear you anywhere near Broody Is that clear| [person:katherine f 1-1][person:katherine f 4-4][person:millie f 10-10][person:katherine f 18-18]
katherine| Aye captain I need pancakes for the dinner We both will be famished by the time we return| [person:katherine f 2-2][person:we g(katherine:millie) 8-8][person:we g(katherine:millie) 16-16]
millie| You got that young lady You better hurry up Hope the Giants are losing| [person:katherine f 0-0][person:katherine f 5-5]
katherine| I will take your new Lincoln that dad gifted Bye mommy| [person:katherine f 0-0][person:millie f 3-3][person:dad m 7-7]
millie| Hey be careful with the new car I don t want to see you screwing it up And no booze Take care good bye| [person:millie f 7-7][person:katherine f 13-13]

conv:people_chats_04182020_150:aug_0:chat_0:chataug_0| gregory patrick| [person:gregory m 0-0][person:patrick m 1-1]
gregory| Hey Patrick what shall we give Cassie and Derek on their marriage day| [person:patrick m 1-1][person:we g(gregory:patrick) 4-4][person:cassie f 6-6][person:derek m 8-8][person:their g(cassie:derek) 10-10]
patrick| I have been thinking about it too and yet I can t make up my mind| [person:patrick m 0-0][person:patrick m 9-9][person:patrick m 14-14]
gregory| We should think about a gift soon we don t have much time| [person:we g(gregory:patrick) 0-0][person:we g(gregory:patrick) 7-7]
patrick| I agree but what gifts do you think they need| [person:patrick m 0-0][person:gregory m 6-6][person:their g(cassie:derek) 8-8]
gregory| How would I know that what would a new couple like to have| [person:gregory m 2-2]
patrick| I think they would like new crockery| [person:patrick m 0-0][person:their g(cassie:derek) 2-2]
gregory| That s a good idea we should also print their pictures on it What do you think| [person:we g(gregory:patrick) 5-5][person:their g(cassie:derek) 9-9][person:patrick m 15-15]
patrick| That sounds like a good plan What else do you have in mind| [person:gregory m 9-9]
gregory| I think this would be enough We better go and look for a person who can do this type of editing on the crockery and present it to the new bride and groom| [person:gregory m 0-0][person:we g(gregory:patrick) 6-6]
patrick| I will get on it as soon as possible and let you know once it is done| [person:patrick m 0-0][person:gregory m 11-11]

conv:people_chats_04182020_151:aug_0:chat_0:chataug_0| macy nicholas| [person:macy f 0-0][person:nicholas m 1-1]
macy| I am not able to agree on the custody of Christine What do you say| [person:macy f 0-0][person:christine f 10-10][person:nicholas m 13-13]
nicholas| Even me too wanted to say you about the agreement of our child custody| [person:nicholas m 1-1][person:macy f 6-6][person:our g(macy:nicholas) 11-11]
macy| I would rather like to prefer about What the Christine likes| [person:macy f 0-0][person:christine f 9-9]
nicholas| I groove on where she should be spending more time with| [person:nicholas m 0-0][person:christine f 4-4]
macy| According to the agreement given by Bruce I feel like it was biased towards you| [person:bruce m 6-6][person:macy f 7-7][person:nicholas m 14-14]
nicholas| Yeah The same thing reminds me| [person:nicholas m 5-5]
macy| It will be better if we could approach a new Lawyer and get solved| [person:we g(macy:nicholas) 5-5][person:lawyer u 10-10]
nicholas| I was also disgusted and wanted to solve the trouble soon| [person:nicholas m 0-0]
macy| It will be solved unless we get a new Lawyer| [person:we g(macy:nicholas) 5-5][person:lawyer u 9-9]
nicholas| Yeah We should go to a new Layer| [person:we g(macy:nicholas) 1-1]

conv:people_chats_04182020_153:aug_0:chat_0:chataug_0| ginger timothy| [person:ginger f 0-0][person:timothy m 1-1]
ginger| Hey Timothy what are you doing| [person:timothy m 1-1][person:timothy m 4-4]
timothy| I was just finishing my homework Ginger What about you| [person:timothy m 0-0][person:timothy m 4-4][person:ginger f 6-6][person:ginger f 9-9]
ginger| Me too Do you know the answer to question 5 I m unable to solve it| [person:ginger f 0-0][person:timothy m 3-3][person:ginger f 10-10]
timothy| No I do not know the answer Why don t you ask Bernard| [person:timothy m 1-1][person:ginger f 10-10][person:bernard m 12-12]
ginger| No I do not want to ask him| [person:ginger f 1-1][person:bernard m 7-7]
timothy| Why What is the matter|
ginger| He is very mean to me He s not going to help me with my homework| [person:bernard m 0-0][person:ginger f 5-5][person:bernard m 6-6][person:ginger f 12-12][person:ginger f 14-14]
timothy| Okay let s email Professor Brad because he knows answers to all the questions| [person:brad m 5-5][person:brad m 7-7]
ginger| That s a good idea He will definitely help us he s the teacher after all| [person:brad m 5-5][person:us g(ginger:timothy) 9-9][person:brad m 10-10]
timothy| Alright I will send him an email| [person:timothy m 1-1][person:brad m 4-4]

conv:people_chats_04182020_154:aug_0:chat_0:chataug_0| joann matt| [person:joann f 0-0][person:matt m 1-1]
matt| Hi Joann As summer is near shall we plan a trip| [person:joann f 1-1][person:we g(matt:joann) 7-7]
joann| Hey Matt That sounds like a great idea I ve heard Europe is a beautiful place We could go there| [person:matt m 1-1][person:joann f 8-8][location:europe s 11-11][location:europe s 15-15][person:we g(matt:joann) 16-16][location:europe s 19-19]
matt| Yeah I was also thinking about Europe But I am unable to decide on the countries to visit| [person:matt m 1-1][location:europe s 6-6][person:matt m 8-8][location:countries g() 15-15]
joann| How about Italy or Belgium They are very famous| [location:italy s 2-2][location:belgium s 4-4]
matt| Or we could ask my parents about where we should go because they have been to Europe many times| [person:we g(matt:joann) 1-1][person:matt m 4-4][person:parents g() 5-5][person:we g(matt:joann) 8-8][person:parents g() 12-12][location:europe s 16-16]
