conv:chats_1127_159:aug_0:chat_0:chataug_0| aiden rusell| [person:aiden m 0-0][person:rusell m 1-1]
annika| I think we should tell Mike about the vacation because he has a job that sometimes requires him to work extra hours on the weekend| [person:annika f 0-0][person:we g(leanne:annika) 2-2][person:mike m 5-5][location:vacation s 8-8][person:mike m 10-10][person:mike m 17-17]
leanne| I have an idea of asking about his work schedule| [person:leanne f 0-0][person:mike m 7-7]
annika| What is your plan about it Leanne| [person:leanne f 2-2][person:leanne f 6-6]
leanne| I will ask him about his work schedule covertly without letting him know about the vacation| [person:leanne f 0-0][person:mike m 3-3][person:mike m 5-5][person:mike m 11-11][location:vacation s 15-15]
annika| That s a great idea ask him and tell me and we ll plan accordingly| [person:mike m 6-6][person:annika f 9-9][person:we g(leanne:annika) 11-11]
annika| Till then I ll look for some good ski resorts for the vacation| [person:annika f 2-2][location:resort g() 9-9][location:vacation s 12-12]
leanne| Okay I will let you know about his schedule as soon as possible| [person:leanne f 1-1][person:annika f 4-4][person:mike m 7-7]

conv:long_chats_0223_44:aug_0:chat_0:chataug_0| hank marcus| [person:hank u 0-0][person:marcus m 1-1]
marcus| Hey Hank are you ready for the skiing trip| [person:hank m 1-1][person:hank m 3-3][location:trip s 8-8]
hank| Yes I m completely ready for the trip Marcus| [person:hank m 1-1][location:trip s 7-7][person:marcus m 8-8]
marcus| I have already invited our friends Bonny and Shannon I m sure they will make our trip more joyful| [person:marcus m 0-0][person:our g(marcus:hank) 4-4][person:friends g() 5-5][person:bonny m 6-6][person:shannon m 8-8][person:marcus m 9-9][person:our g(marcus:hank) 15-15]
hank| Yes buddy The more the members the more will be the enjoyment| [person:marcus m 1-1]
marcus| Have you made any preparations for the trip| [person:hank m 1-1][location:trip s 7-7]
hank| I ve already rented a ski cabin for the weekend for us as well as our friends| [person:hank m 0-0][person:our g(marcus:hank) 11-11][person:our g(marcus:hank) 15-15][person:friends g(bonny:shannon) 16-16]
marcus| I am very pleased to hear that buddy| [person:marcus m 0-0][person:hank m 7-7]
marcus| I am looking forward to partake in all the ski activities with you people| [person:marcus m 0-0][person:hank m 12-12]
hank| I want to go immediately for snowboarding and mountain skiing after touring the ski resort| [person:hank m 0-0][location:snowboarding s 6-6][location:mountain s 8-8][location:resort s 14-14]
hank| Yeah that s a good idea we all can also go snowmobiling on the trails| [person:we g(marcus:hank:bonny:shannon) 6-6]
marcus| Wow I think you have a sequence of plans ready we won t have any difficulty regarding it| [person:marcus m 1-1][person:hank m 3-3][person:we g(marcus:hank:bonny:shannon) 10-10][location:trip s 17-17]
hank| These are just the basic plans buddy I have more plans lined up for you people| [person:marcus m 6-6][person:hank m 7-7][person:marcus m 14-14]
hank| We can also try Snow biking and Zip wire at the ski resort| [person:we g(marcus:hank:bonny:shannon) 0-0][location:resort s 12-12]
marcus| Oh that sounds good buddy I think we will really have a great time there| [person:hank m 4-4][person:marcus m 5-5][person:our g(marcus:hank) 7-7][location:trip s 14-14]

conv:long_chats_0223_45:aug_0:chat_0:chataug_0| dira emma| [person:dira f 0-0][person:emma f 1-1]
emma| Hey Dira What do you think about the real estate agents Josie and Gina| [person:dira f 1-1][person:dira f 4-4][person:josie f 11-11][person:gina f 13-13]
dira| I don t know but they progressed a lot as real estate agents| [person:dira f 0-0][person:they g(josie:gina) 5-5]
emma| Yeah they really did a great work and has an enough progress| [person:they g(josie:gina) 1-1]
dira| Yeah but I m really unhappy with them| [person:dira f 2-2][person:they g(josie:gina) 7-7]
emma| What s the reason that you are unhappy with them| [person:dira f 5-5][person:they g(josie:gina) 9-9]
dira| I m extremely frustrated by their lazy and unprofessional behaviour with us| [person:dira f 0-0][person:they g(josie:gina) 5-5][person:us g(dira) 11-11]
dira| Later that day I received a threatening text from the agents| [person:dira f 3-3]
emma| What kind of threatening text did you receive from them| [person:dira f 6-6][person:they g(josie:gina) 9-9]
dira| They texted me about the contract we had with them| [person:they g(josie:gina) 0-0][person:dira f 2-2][person:us g(dira) 6-6][person:they g(josie:gina) 9-9]
emma| Oh then it is really very complicated to continue the contract with them| [person:they g(josie:gina) 12-12]
emma| What shall we do now| [person:us g(dira:emma) 2-2]
dira| I don t know I m thinking whether to stay bound in the contract or take some legal action against the agents| [person:dira f 0-0][person:dira f 4-4]
emma| We better take some legal action against them as they do not have any right to threaten you| [person:us g(dira:emma) 0-0][person:they g(josie:gina) 7-7][person:they g(josie:gina) 9-9][person:dira f 17-17]
dira| Yeah I ll take a legal action against them for sure| [person:dira f 1-1][person:they g(josie:gina) 8-8]

conv:long_chats_0223_46:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Hey Rita How are you doing| [person:rita f 1-1][person:rita f 4-4]
rita| Hey Jane I am doing good| [person:jane f 1-1][person:rita f 2-2]
rita| Are you ready to talk to John tonight| [person:jane f 1-1][person:john m 6-6]
jane| I have been preparing for this since long back but I think I can t make it tonight| [person:jane f 0-0][person:jane f 10-10][person:jane f 12-12]
jane| I m feeling so because I know I will be panicked in front of him and blur out things which I m not supposed to say| [person:jane f 0-0][person:jane f 5-5][person:jane f 7-7][person:john m 14-14][person:jane f 20-20]
rita| Just don t assume things from your side let s give a try as this isn t the end of the world| [person:jane f 6-6]
rita| I am sure that John will love to hear anything from you| [person:rita f 0-0][person:john m 4-4][person:jane f 11-11]
jane| It is too good to listen from you it gives little confidence in me| [person:rita f 7-7][person:jane f 13-13]
jane| It could be helpful for me if you ask Adam about how John is feeling about the meeting| [person:jane f 5-5][person:rita f 7-7][person:adam m 9-9][person:john m 12-12]
rita| Sure I will help you with this and don t be tensed| [person:rita f 1-1][person:jane f 4-4]
jane| Thank you for your help and let me know as soon as possible| [person:rita f 1-1][person:rita f 3-3][person:jane f 7-7]
rita| Whatever the things might be make sure we will endup this matter tonight| [person:we g(jane:rita) 7-7]
jane| Yeah sure We will end up this tonight| [person:we g(jane:rita) 2-2]
rita| I hope everything will be fine| [person:rita f 0-0]

conv:long_chats_0223_47:aug_0:chat_0:chataug_0| britol fareed| [person:britol f 0-0][person:fareed m 1-1]
britol| Hey Fareed what are you doing| [person:fareed m 1-1][person:fareed m 4-4]
fareed| I am looking over my notes for an upcoming speech for the society of the ascendency of koalas| [person:fareed m 0-0][person:fareed m 4-4]
britol| Are you ready with the speech| [person:fareed m 1-1]
fareed| No Britol I just noticed some grammatical errors in the speech| [person:britol f 1-1][person:fareed m 2-2]
fareed| This might interrupt my flow and ruin my speech| [person:fareed m 3-3][person:fareed m 7-7]
britol| Okay that s not at all an issue|
britol| You can make lastminute edits on Sarah s computer| [person:fareed m 0-0][person:sara f 6-6]
fareed| Are you sure Will she let me use her computer| [person:britol f 1-1][person:sara f 4-4][person:fareed m 6-6][person:sara f 8-8]
britol| I already asked her She said after Lola finishes editing her speech you can use it| [person:britol f 0-0][person:sara f 3-3][person:sara f 4-4][person:lola f 7-7][person:lola f 10-10][person:fareed m 12-12]
fareed| I think we should look for another option| [person:fareed m 0-0][person:we g(britol:fareed) 2-2]
britol| Why are you saying so Already there is a shortage of time| [person:fareed m 2-2]
fareed| Because I know Lola is a perfectionist and she will take hours to finish editing her speech| [person:fareed m 1-1][person:lola f 3-3][person:lola f 8-8][person:lola f 15-15]
fareed| I will track down Nina and ask her permission to resolve the situation I think she will help us| [person:fareed m 0-0][person:nina f 4-4][person:nina f 7-7][person:fareed m 13-13][person:nina f 15-15][person:we g(britol:fareed) 18-18]
britol| Anyway edit it where ever you get a chance that is necessary| [person:fareed m 5-5]

conv:long_chats_0223_49:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Hey Rita I am thinking about visiting my husband John in prison| [person:rita f 1-1][person:jane f 2-2][person:jane f 7-7][person:john m 8-8][person:john m 9-9]
rita| Are you mad Why do you want to go to the prison to meet him| [person:jane f 1-1][person:jane f 5-5][person:john m 14-14]
jane| I just had a feeling to meet him in person| [person:jane f 0-0][person:john m 7-7]
rita| Okay and what made you feel like that| [person:jane f 4-4]
jane| It s because I feel that I should see him after the death of his parents| [person:jane f 3-3][person:jane f 6-6][person:john m 9-9][person:john m 14-14][person:parents g() 15-15]
rita| Okay I understand but I wonder if he would want to see you| [person:rita f 1-1][person:rita f 4-4][person:john m 7-7][person:jane f 12-12]
jane| My husband knows me and he will definitely appreciate it| [person:jane f 0-0][person:john m 1-1][person:jane f 3-3][person:john m 5-5]
jane| Can I know that you and your husband Adam can give me a ride| [person:jane f 1-1][person:rita f 4-4][person:rita f 6-6][person:adam m 7-7][person:adam m 8-8][person:jane f 11-11]
rita| I am not sure about it Jane| [person:rita f 0-0][person:jane f 6-6]
rita| I don t think Adam will be willing to give you a ride to the prison| [person:rita f 0-0][person:adam m 4-4][person:jane f 10-10]
jane| Can you please ask him and intimate me about the ride earlier| [person:rita f 1-1][person:adam m 4-4][person:jane f 7-7]
rita| Yeah I will get back to you about it soon| [person:rita f 1-1][person:jane f 6-6]
jane| Thanks for your help Rita I really appreciate you| [person:rita f 2-2][person:rita f 4-4][person:jane f 5-5][person:rita f 8-8]
rita| It s my pleasure to help you Jane| [person:rita f 2-2][person:jane f 6-6][person:jane f 7-7]

conv:long_chats_0223_51:aug_0:chat_0:chataug_0| catherine lester| [person:catherine f 0-0][person:lester m 1-1]
catherine| Hey Lester have you packed your bags for our business trip| [person:lester m 1-1][person:lester m 3-3][person:lester m 5-5][person:our g(catherine:lester) 8-8][location:trip s 10-10]
lester| Hi Catherine Yes I m just working on my presentations right now| [person:catherine f 1-1][person:lester m 3-3][person:lester m 8-8]
catherine| I need help with shopping I have to buy a lot of things| [person:catherine f 0-0][person:catherine f 5-5]
lester| I can help you with that I can work on my computer while you are shopping| [person:lester m 0-0][person:catherine f 3-3][person:lester m 6-6][person:lester m 10-10][person:catherine f 13-13]
catherine| Okay thank you Can we bring our children Jessy and Anderson to the trip| [person:lester m 2-2][person:our g(catherine:lester) 4-4][person:our g(catherine:lester) 6-6][person:jessy f 8-8][person:anderson m 10-10][location:trip s 13-13]
catherine| Because I don t know what to do with them for all those days| [person:catherine f 1-1][person:them g(jessy:anderson) 9-9]
lester| I don t think it s a good idea to bring our kids with us on a business trip| [person:lester m 0-0][person:our g(catherine:lester) 11-11][person:them g(jessy:anderson) 12-12][person:our g(catherine:lester) 14-14][location:trip s 18-18]
catherine| Yes Lester you are correct but they said that they would love to go| [person:lester m 1-1][person:lester m 2-2][person:them g(jessy:anderson) 6-6][person:them g(jessy:anderson) 9-9]
lester| We can take them on a vacation when we come back| [person:our g(catherine:lester) 0-0][person:them g(jessy:anderson) 3-3][location:vacation s 6-6][person:our g(catherine:lester) 8-8]
lester| Do you think you will be able to convince them to stay back| [person:catherine f 1-1][person:catherine f 3-3][person:them g(jessy:anderson) 9-9]
catherine| Okay I will convince them My parents can take care of them during the trip| [person:catherine f 1-1][person:them g(jessy:anderson) 4-4][person:catherine f 5-5][person:parents g() 6-6][person:them g(jessy:anderson) 11-11][location:trip s 14-14]
