conv:long_chats_0223_199:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
william| Yes I got her a teddy bear| [person:william m 1-1][person:grace f 3-3]
mason| Sorry unfortunately that won t work|
mason| I was talking to Graces girlfriend Juliet| [person:grace f 0-0][person:juliet f 5-5][person:juliet f 6-6]
william| Oh unfortunately I didn t know that information| [person:william m 2-2]
william| Can I drive to the store on the way to the hospital to pick up cards and presents| [person:william m 1-1][location:store s 5-5][location:hospital s 11-11]
mason| That would be nice How long until you ll be here| [person:william m 7-7][location:hospital s 10-10]
william| It will be another thirty minutes|
mason| Okay Well hurry up I don t have all day| [person:mason m 4-4]
william| It would be faster if I wasn t using my phone| [person:william m 5-5][person:william m 9-9]
mason| Fair enough I will let you go then| [person:mason m 2-2][person:william m 5-5]

conv:people_0610_70:aug_0:chat_0:chataug_0| amy sabrina| [person:amy f 0-0][person:sabrina f 1-1]
sabrina| Hey Amy Want to go swimming today| [person:amy f 1-1]
amy| Hey Sabrina What a good idea yes| [person:sabrina f 1-1]
sabrina| Yay It s been so long since I ve been swimming| [person:sabrina f 7-7]
amy| Well I don t even know how to swim| [person:amy f 1-1]
sabrina| My friends Romeo and Dante are really athletic and might tag along as well They can help teach you don t worry| [person:sabrina f 0-0][person:friends g() 1-1][person:romeo m 2-2][person:dante m 4-4][person:friends g(romeo:dante) 14-14][person:amy f 18-18]
amy| Let s invite more friends| [person:friends g() 4-4]
sabrina| Okay you can invite who ever you want| [person:amy f 1-1][person:amy f 6-6]
amy| Where do you buy your bathing suits I don t know where I should get one| [person:sabrina f 2-2][person:sabrina f 4-4][person:amy f 7-7][person:amy f 12-12]
sabrina| I can take you shopping before we go swimming We have plenty of time| [person:sabrina f 0-0][person:amy f 3-3][person:we g(sabrina:amy) 6-6][person:we g(sabrina:amy) 9-9]
amy| Thanks so much Text me when you re on your way| [person:amy f 4-4][person:sabrina f 6-6][person:sabrina f 9-9]

conv:people_0610_72:aug_0:chat_0:chataug_0| ira sima| [person:ira f 0-0][person:sima f 1-1]
ira| i really like this dress from nouman s workplace| [person:ira f 0-0][person:nouman m 6-6]
ira| i am wondering if i should take the employee discount| [person:ira f 0-0][person:ira f 4-4]
sima| Nouman always asks for a favour in return| [person:nouman m 0-0]
sima| i think that would not be a good idea| [person:sima f 0-0]
ira| oh|
ira| thats true|
sima| remember niz from the other store| [person:niz f 1-1]
sima| you can get similar discount| [person:ira f 0-0]
ira| okay|
ira| nouman just texted if i still need the dress| [person:nouman m 0-0][person:ira f 4-4]
sima| okay|
sima| what was your response| [person:ira f 2-2]
ira| i am more confused for whom i should ask for a favor| [person:ira f 0-0][person:ira f 6-6]

conv:people_0610_74:aug_0:chat_0:chataug_0| marco mirella| [person:marco m 0-0][person:mirella f 1-1]
mirella| hi|
marco| So you are looking for a kitten| [person:mirella f 1-1]
mirella| Yes to keep my older cat company| [person:mirella f 3-3]
marco| Any breeds in particular|
mirella| Not really just need a good place to find one| [location:place s 6-6]
marco| My friend Jane is a cat breeder| [person:marco m 0-0][person:jane f 1-1][person:jane f 2-2]
mirella| Oh great has she been doing it a long time| [person:jane f 3-3]
marco| Yes many years|
marco| She just had a litter of kittens| [person:jane f 0-0]
mirella| Oh wonderful please give me her contact information| [person:mirella f 4-4][person:jane f 5-5]
marco| Sure thing 5555555555|
mirella| Perfect I will call her| [person:mirella f 1-1][person:jane f 4-4]
marco| Great tell her Marco sent you| [person:jane f 2-2][person:marco m 3-3][person:mirella f 5-5]
mirella| Thanks again|

conv:people_0610_75:aug_0:chat_0:chataug_0| donelle josh| [person:donelle f 0-0][person:josh m 1-1]
josh| are we still making an instructional cooking this weekend| [person:we g(josh:donelle) 1-1]
donelle| yes we are| [person:we g(josh:donelle) 1-1]
donelle| i have a suggestion| [person:donelle f 0-0]
josh| okay|
josh| what is that|
donelle| i am suggesting we invite Tanisha and Lorry to be featured on one of the videos| [person:donelle f 0-0][person:we g(josh:donelle) 3-3][person:tanisha f 5-5][person:lorry f 7-7]
josh| i am not so sure they would adhere| [person:josh m 0-0][person:they g(tanisha:lorry) 5-5]
josh| they really do not like exposure| [person:they g(tanisha:lorry) 0-0]
donelle| yes|
donelle| but i would try to convince them| [person:donelle f 1-1][person:they g(tanisha:lorry) 6-6]
josh| okay|
josh| if you can| [person:donelle f 1-1]
donelle| sure|
donelle| i will try| [person:donelle f 0-0]

conv:people_0610_76:aug_0:chat_0:chataug_0| cameron rachel| [person:cameron f 0-0][person:rachel f 1-1]
rachel| I m so excited about our field trip| [person:rachel f 0-0][person:rachel___cameron g(rachel:cameron) 5-5][location:trip s 7-7]
cameron| Me too It s always fun to go somewhere new| [person:cameron f 0-0][location:trip s 2-2]
rachel| What do you think we should eat when we are there| [person:cameron f 2-2][person:rachel___cameron g(rachel:cameron) 4-4][person:rachel___cameron g(rachel:cameron) 8-8][location:trip s 10-10]
cameron| Well I remember Logan and Jonathan said if we ever went there we had to try the MeatFest Pizza| [person:cameron f 1-1][person:logan m 3-3][person:jonathan m 5-5][person:rachel___cameron g(rachel:cameron) 8-8][person:rachel___cameron g(rachel:cameron) 12-12]
rachel| Really That sounds good What did the boys say about it| [person:logan___jonathan g(logan:jonathan) 7-7]
cameron| They said it s the best ever I check and it should be right on the corner where we will be| [person:logan___jonathan g(logan:jonathan) 0-0][person:cameron f 7-7][person:rachel___cameron g(rachel:cameron) 18-18]
rachel| Well when it comes to food those boys usually know what they are talking about| [person:logan___jonathan g(logan:jonathan) 7-7][person:logan___jonathan g(logan:jonathan) 11-11]
cameron| Oh yes They definitely have great taste for sure| [person:logan___jonathan g(logan:jonathan) 2-2]
rachel| Definitely won t be a waste of money to trust their expert opinions| [person:logan___jonathan g(logan:jonathan) 10-10]
cameron| For sure They should be food critics| [person:logan___jonathan g(logan:jonathan) 2-2]
rachel| Ha We should recommend a career change to them| [person:rachel___cameron g(rachel:cameron) 1-1][person:logan___jonathan g(logan:jonathan) 8-8]
cameron| I think I will as long as the pizza is as good as they say| [person:cameron f 0-0][person:cameron f 2-2][person:logan___jonathan g(logan:jonathan) 13-13]

conv:people_0610_78:aug_0:chat_0:chataug_0| colleen liam| [person:colleen f 0-0][person:liam m 1-1]
colleen| Did you see Uncle Geoffrey and Aunt Bridgit are in Greece right now I cannot believe it I am so jealous| [person:liam m 1-1][person:geoffrey m 4-4][person:aunt f 6-7][person:aunt f 7-7][person:colleen f 13-13][person:colleen f 17-17]
liam| I did see they arrived last night But why are you jealous| [person:liam m 0-0][person:they g(geoffrey) 3-3][person:colleen f 10-10]
colleen| Isn t it obvious Liam We are stuck inside and they are enjoying the adventure of a life time| [person:liam m 4-4][person:we g(colleen:liam) 5-5][person:they g(geoffrey) 10-10]
liam| Well I can understand jealousy in normal times but it seems a bit dangerous to be traveling abroad with everything going on| [person:liam m 1-1]
liam| Don t you think so Colleen| [person:colleen f 2-2][person:colleen f 5-5]
colleen| I suppose you re right I am just super anxious from staying inside so long I cannot wait to go on a vacation We should start checking out spots| [person:colleen f 0-0][person:liam m 2-2][person:colleen f 5-5][person:colleen f 15-15][location:vacation s 22-22][person:we g(colleen:liam) 23-23]
liam| I suppose now it a better time than any but its tough to know when all this will end| [person:liam m 0-0]
colleen| I don t really care at this point I just need something to look forward to| [person:colleen f 0-0][person:colleen f 8-8]
colleen| Should we try the beach this year| [person:we g(colleen:liam) 1-1][location:beach s 4-4]
liam| I heard there will be a ton of cancellations so we might be able to get in somewhere super last minute Let s play it by ear| [person:liam m 0-0][location:beach s 2-2][person:we g(colleen:liam) 10-10]
colleen| Agreed it s better to wait and see how everything shakes out|

conv:people_0610_79:aug_0:chat_0:chataug_0| brendan logan| [person:brendan m 0-0][person:logan m 1-1]
brendan| The girls are on vacation so they can not go| [person:madeline___christine g() 1-1][location:vacation s 4-4][person:madeline___christine g() 6-6]
logan| That is a bummer|
logan| Do you know when they will be back| [person:brendan m 1-1][person:madeline___christine g() 4-4]
brendan| Not sure but we can reschedule for when they get back| [person:brendan___logan g(brendan:logan) 3-3][person:madeline___christine g() 8-8]
logan| Ah okay I guess that is fine with me| [person:logan m 2-2][person:logan m 8-8]
logan| I can t wait to meet Madeline and Christine| [person:logan m 0-0][person:madeline f 6-6][person:christine f 8-8]
brendan| Yes they are super nice and you will like them| [person:madeline___christine g(madeline:christine) 1-1][person:logan m 6-6][person:madeline___christine g(madeline:christine) 9-9]
logan| What type of food do they like| [person:madeline___christine g(madeline:christine) 5-5]
brendan| They are not very picky they do love sushi though| [person:madeline___christine g(madeline:christine) 0-0][person:madeline___christine g(madeline:christine) 5-5]
logan| Oh me too We could go get that| [person:logan m 1-1][person:brendan___logan g(brendan:logan) 3-3]
brendan| Yes I am excited for that| [person:brendan m 1-1]
logan| Me too I can t wait| [person:logan m 0-0][person:logan m 2-2]
brendan| Alright we will catch up next week when they get back| [person:brendan___logan g(brendan:logan) 1-1][person:madeline___christine g(madeline:christine) 8-8]
logan| Sounds good Brendan talk to you later| [person:brendan m 2-2][person:brendan m 5-5]

conv:people_0610_83:aug_0:chat_0:chataug_0| amber claudia| [person:amber f 0-0][person:claudia f 1-1]
claudia| Amber I still think putting Pete on the stand will be good for this case| [person:amber f 0-0][person:claudia f 1-1][person:pete m 5-5]
amber| If we put Pete on stand you know we have to put Harrison on the stand as well| [person:we g(claudia:amber) 1-1][person:pete m 3-3][person:claudia f 6-6][person:we g(claudia:amber) 8-8][person:harrison m 12-12]
amber| And you know how Harrison is Cannot depend on him| [person:claudia f 1-1][person:harrison m 4-4][person:harrison m 9-9]
claudia| I understand How about we talk to them to see what is their opinion| [person:claudia f 0-0][person:we g(claudia:amber) 4-4][person:them g(pete:harrison) 7-7][person:them g(pete:harrison) 12-12]
claudia| Maybe they don t want to speak in the courtroom at all| [person:them g(pete:harrison) 1-1]
amber| Another point is based on the charges against Harrison judge may not sympathize with our clients| [person:harrison m 8-8][person:we g(claudia:amber) 14-14][person:them g(pete:harrison) 15-15]
claudia| But our clients are innocent We have all the proofs| [person:we g(claudia:amber) 1-1][person:them g(pete:harrison) 2-2][person:we g(claudia:amber) 5-5]
amber| Does not matter with this Judge|
claudia| We have to make sure Jury likes them I can prepare them and we can do practice trial with them What do you say| [person:we g(claudia:amber) 0-0][person:them g(pete:harrison) 7-7][person:claudia f 8-8][person:them g(pete:harrison) 11-11][person:we g(claudia:amber) 13-13][person:them g(pete:harrison) 19-19]
amber| This is a lot of work and you know we don t have much time| [person:claudia f 7-7][person:we g(claudia:amber) 9-9]
amber| But if you think we can do it in 2 days then I am up for it| [person:claudia f 2-2][person:we g(claudia:amber) 4-4][person:amber f 12-12]
claudia| Let me contact Pete right away and I will setup time with both of them| [person:claudia f 1-1][person:pete m 3-3][person:claudia f 7-7][person:them g(pete:harrison) 14-14]

conv:people_0610_85:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Rita I don t think I want to be an accountant anymore| [person:rita f 0-0][person:jane f 1-1][person:jane f 5-5]
rita| What Why not|
jane| I want to be an actress Accounting is just too boring for me| [person:jane f 0-0][person:jane f 12-12]
rita| I don t know You already have such a great thing set up with your dads| [person:rita f 0-0][person:jane f 4-4][person:jane f 14-14]
rita| Are you sure you want to give that up| [person:jane f 1-1][person:jane f 3-3]
jane| They don t want me to leave the firm but this is my passion| [person:they g() 0-0][person:jane f 4-4][person:jane f 12-12]
rita| You d be a great actress but your dads are just as stubborn as you It s going to be hard to convince them| [person:jane f 0-0][person:jane f 7-7][person:jane f 14-14][person:they g() 23-23]
